艾尔莎,ai'er'sha
昂达,ang'da
百搭,bai'da
白金条,bai'jin'tiao
百美元,bai'mei'yuan
百美元笔记本,bai'mei'yuan'bi'ji'ben
板载,ban'zai
暴跌,bao'die
奔腾,ben'teng
崩盘,beng'pan
标星,biao'xing
博帝,bo'di
插槽,cha'cao
拆机,chai'ji
长城,chang'cheng
超磐手,chao'pan'shou
超频,chao'pin
超胜,chao'sheng
超线程,chao'xian'cheng
超线程技术,chao'xian'cheng'ji'shu
处理器,chu'li'qi
创见,chuang'jian
纯平显示器,chun'ping'xian'shi'qi
磁盘接口,ci'pan'jie'kou
攒机,cuan'ji
大板,da'ban
大屏,da'ping
戴尔,dai'er
代工,dai'gong
代工厂商,dai'gong'chang'shang
单核,dan'he
刀版,dao'ban
德州仪器,de'zhou'yi'qi
迪兰恒进,di'lan'heng'jin
电脑硬件,dian'nao'ying'jian
鼎好,ding'hao
顶星,ding'xing
东翎,dong'ling
东芝,dong'zhi
独立显卡,du'li'xian'ka
独显,du'xian
方正,fang'zheng
封闭式电感,feng'bi'shi'dian'gan
富豪,fu'hao
富士通,fu'shi'tong
钢化屏,gang'hua'ping
高清硬件解码,gao'qing'ying'jian'jie'ma
耕升,geng'sheng
公版,gong'ban
工包,gong'bao
供电模式,gong'dian'mo'shi
固态电容,gu'tai'dian'rong
冠捷,guan'jie
冠盟,guan'meng
光宝,guang'bao
广达,guang'da
海盗船,hai'dao'chuan
悍马,han'ma
翰士奇,han'shi'qi
浩鑫,hao'xin
核心,he'xin
盒装,he'zhuang
黑豹,hei'bao
黑豹二代,hei'bao'er'dai
黑潮,hei'chao
黑盒,hei'he
黑晶,hei'jing
黑龙条,hei'long'tiao
横评,heng'ping
鸿海,hong'hai
宏连,hong'lian
宏碁,hong'qi
华东承启,hua'dong'cheng'qi
华擎,hua'qing
华硕,hua'shuo
惠普,hui'pu
火星版,huo'xing'ban
集成显卡,ji'cheng'xian'ka
技嘉,ji'jia
机箱,ji'xiang
家庭用户,jia'ting'yong'hu
家用机,jia'yong'ji
兼容机,jian'rong'ji
奸商,jian'shang
键鼠,jian'shu
键鼠套装,jian'shu'tao'zhuang
捷波,jie'bo
接口类型,jie'kou'lei'xing
杰微,jie'wei
金邦,jin'bang
金士顿,jin'shi'dun
金士刚,jin'shi'gang
金泰克,jin'tai'ke
金特尔,jin'te'er
金条,jin'tiao
劲芯,jin'xin
劲永,jin'yong
精威,jing'wei
静音版,jing'yin'ban
精英,jing'ying
狙击手,ju'ji'shou
角色网,jue'se'wang
开源,kai'yuan
开源社区,kai'yuan'she'qu
科脑,ke'nao
可视角度,ke'shi'jiao'du
酷睿,ku'rui
蓝宝,lan'bao
联强,lian'qiang
联想,lian'xiang
漏光,lou'guang
迈威,mai'wei
美格,mei'ge
美光,mei'guang
梅捷,mei'jie
明基,ming'ji
铭瑄,ming'xuan
魔固版,mo'gu'ban
魔剑,mo'jian
南亚易胜,nan'ya'yi'sheng
内存,nei'cun
内存插槽,nei'cun'cha'cao
内存规格,nei'cun'gui'ge
磐英,pan'ying
磐正,pan'zheng
品牌电脑,pin'pai'dian'nao
品牌机,pin'pai'ji
平板电脑,ping'ban'dian'nao
