暗火力点,an'huo'li'dian
半渡击,ban'du'ji
背水击,bei'shui'ji
表面阵地,biao'mian'zhen'di
仓猝防御,cang'cu'fang'yu
侧方阵地,ce'fang'zhen'di
撤退,che'tui
城市防御,cheng'shi'fang'yu
迟滞,chi'zhi
处处设防,chu'chu'she'fang
出击,chu'ji
次要防御方向,ci'yao'fang'yu'fang'xiang
打炸阻,da'zha'zu
袋形阵地,dai'xing'zhen'di
岛屿防御,dao'yu'fang'yu
第二阵地,di'er'zhen'di
抵抗,di'kang
第三阵地,di'san'zhen'di
第一阵地,di'yi'zhen'di
短兵火力,duan'bing'huo'li
对空防御,dui'kong'fang'yu
多层火网,duo'ceng'huo'wang
扼守,e'shou
发射点,fa'she'dian
反包围,fan'bao'wei
反冲击,fan'chong'ji
反伏击,fan'fu'ji
反攻,fan'gong
反合围,fan'he'wei
反击,fan'ji
反空降阵地,fan'kong'jiang'zhen'di
反射火力,fan'she'huo'li
反坦克预备队展开地区,fan'tan'ke'yu'bei'dui'zhan'kai'de'qu
反坦克阵地,fan'tan'ke'zhen'di
反突击,fan'tu'ji
反围攻,fan'wei'gong
反袭击,fan'xi'ji
防步兵火力配系,fang'bu'bing'huo'li'pei'xi
防空火力配系,fang'kong'huo'li'pei'xi
防区,fang'qu
防守,fang'shou
防卫,fang'wei
防线,fang'xian
防御,fang'yu
防御地带,fang'yu'di'dai
防御地段,fang'yu'di'duan
防御地区,fang'yu'di'qu
防御地域,fang'yu'di'yu
防御体系,fang'yu'ti'xi
防御样式,fang'yu'yang'shi
防御要点,fang'yu'yao'dian
防御战斗,fang'yu'zhan'dou
防御战役,fang'yu'zhan'yi
防御阵地,fang'yu'zhen'di
防御阵地前沿,fang'yu'zhen'di'qian'yan
防御阵地前沿前,fang'yu'zhen'di'qian'yan'qian
防御正面,fang'yu'zheng'mian
防御纵深,fang'yu'zong'shen
分兵把守,fen'bing'ba'shou
分区防守,fen'qu'fang'shou
分区守备,fen'qu'shou'bei
封闭核突破口,feng'bi'he'tu'po'kou
封闭突破口,feng'bi'tu'po'kou
封锁核突破口,feng'suo'he'tu'po'kou
封锁突破口,feng'suo'tu'po'kou
海岸防御,hai'an'fang'yu
核心阵地,he'xin'zhen'di
环形防御,huan'xing'fang'yu
恢复阵地,hui'fu'zhen'di
火袋,huo'dai
火力点,huo'li'dian
火力反击,huo'li'fan'ji
火力反准备,huo'li'fan'zhun'bei
火力集中,huo'li'ji'zhong
火力控制,huo'li'kong'zhi
火力配系,huo'li'pei'xi
火器分散,huo'qi'fen'san
火网,huo'wang
火制地带,huo'zhi'di'dai
积极防御,ji'ji'fang'yu
既设阵地,ji'she'zhen'di
假火力点,jia'huo'li'dian
假阵地,jia'zhen'di
坚固阵地,jian'gu'zhen'di
坚固阵地防御,jian'gu'zhen'di'fang'yu
坚守,jian'shou
坚守防御,jian'shou'fang'yu
间隙地,jian'xi'di
江河防御,jiang'he'fang'yu
节节抗击,jie'jie'kang'ji
警戒地带,jing'jie'di'dai
警戒阵地,jing'jie'zhen'di
警卫,jing'wei
狙击,ju'ji
军民联防,jun'min'lian'fang
抗登陆,kang'deng'lu
抗击,kang'ji
宽大正面防御,kuan'da'zheng'mian'fang'yu
冷枪冷炮,leng'qiang'leng'pao
立体防御,li'ti'fang'yu
立体火力配系,li'ti'huo'li'pei'xi
前沿,qian'yan
前沿阵地,qian'yan'zhen'di
桥头堡,qiao'tou'bao
桥头阵地,qiao'tou'zhen'di
求心退却,qiu'xin'tui'que
设防,she'fang
守备,shou'bei
守势,shou'shi
守卫,shou'wei
突围,tu'wei
退却,tui'que
退却方向,tui'que'fang'xiang
退却终点,tui'que'zhong'dian
退守,tui'shou
网状阵地,wang'zhuang'zhen'di
卫戍,wei'shu
消极防御,xiao'ji'fang'yu
斜切阵地,xie'qie'zhen'di
野战防御,ye'zhan'fang'yu
野战阵地,ye'zhan'zhen'di
野战阵地防御,ye'zhan'zhen'di'fang'yu
以点制面,yi'dian'zhi'mian
永备火力点,yong'bei'huo'li'dian
运动防御,yun'dong'fang'yu
占领阵地,zhan'ling'zhen'di
战略反攻,zhan'lue'fan'gong
战略防御,zhan'lue'fang'yu
战略守势,zhan'lue'shou'shi
战略退却,zhan'lue'tui'que
战略转移,zhan'lue'zhuan'yi
战术防区,zhan'shu'fang'qu
战役反攻,zhan'yi'fan'gong
战役反击,zhan'yi'fan'ji
战役防区,zhan'yi'fang'qu
阵地编成,zhen'di'bian'cheng
阵地编号,zhen'di'bian'hao
阵地防御,zhen'di'fang'yu
阵地体系,zhen'di'ti'xi
支撑点,zhi'cheng'dian
重点设防,zhong'dian'she'fang
重点守备,zhong'dian'shou'bei
中间阵地,zhong'jian'zhen'di
驻防,zhu'fang
主要防区,zhu'yao'fang'qu
主要防御方向,zhu'yao'fang'yu'fang'xiang
自卫,zi'wei
阻击,zu'ji
阻击战,zu'ji'zhan
阻击阵地,zu'ji'zhen'di
阻援,zu'yuan
阻滞,zu'zhi
