哀莫大于心死,ai'mo'da'yu'xin'si
安乐窝,an'le'wo
安危相易祸福相生,an'wei'xiang'yi'huo'fu'xiang'sheng
八仙过海各显神通,ba'xian'guo'hai'ge'xian'shen'tong
八字成语,ba'zi'cheng'yu
八字没一撇,ba'zi'mei'yi'pie
百尺竿头更进一步,bai'chi'gan'tou'geng'jin'yi'bu
百动不如一静,bai'dong'bu'ru'yi'jing
百花齐放百家争鸣,bai'hua'qi'fang'bai'jia'zheng'ming
百事问,bai'shi'wen
百思不得其解,bai'si'bu'de'qi'jie
百万买宅千万买邻,bai'wan'mai'zhai'qian'wan'mai'lin
百闻不如一见,bai'wen'bu'ru'yi'jian
百足之虫死而不僵,bai'zu'zhi'chong'si'er'bu'jiang
板板六十四,ban'ban'liu'shi'si
版版六十四,ban'ban'liu'shi'si
搬起石头打自己的脚,ban'qi'shi'tou'da'zi'ji'de'jiao
半夜敲门心不惊,ban'ye'qiao'men'xin'bu'jing
邦以民为本,bang'yi'min'wei'ben
饱暖生淫欲,bao'nuan'sheng'yin'yu
饱食终日无所用心,bao'shi'zhong'ri'wu'suo'yong'xin
报喜不报优,bao'xi'bu'bao'you
卑卑不足道,bei'bei'bu'zu'dao
杯中物,bei'zhong'wu
闭门羹,bi'men'geng
闭门造车出门合辙,bi'men'zao'che'chu'men'he'zhe
避其锐气击其惰归,bi'qi'rui'qi'ji'qi'duo'gui
比上不足比下有余,bi'shang'bu'zu'bi'xia'you'yu
鞭长不及马腹,bian'chang'bu'ji'ma'fu
变色龙,bian'se'long
兵败如山倒,bing'bai'ru'shan'dao
冰冻三尺非一日之寒,bing'dong'san'chi'fei'yi'ri'zhi'han
病急乱投医,bing'ji'luan'tou'yi
兵来将挡水来土掩,bing'lai'jiang'dang'shui'lai'tu'yan
兵来将迎水来土堰,bing'lai'jiang'ying'shui'lai'tu'yan
冰炭不相容,bing'tan'bu'xiang'rong
步步生莲花,bu'bu'sheng'lian'hua
不打不相识,bu'da'bu'xiang'shi
布袋里老鸦,bu'dai'li'lao'ya
不到黄河心不死,bu'dao'huang'he'xin'bu'si
不得其门而入,bu'de'qi'men'er'ru
不登大雅之堂,bu'deng'da'ya'zhi'tang
不费吹灰之力,bu'fei'chui'hui'zhi'li
不分青红皂白,bu'fen'qing'hong'zao'bai
不敢越雷池一步,bu'gan'yue'lei'chi'yi'bu
不管三七二十一,bu'guan'san'qi'er'shi'yi
步后尘,bu'hou'chen
不见棺材不下泪,bu'jian'guan'cai'bu'xia'lei
不经一事不长一智,bu'jing'yi'shi'bu'zhang'yi'zhi
不看僧面看佛面,bu'kan'seng'mian'kan'fo'mian
不可同日而语,bu'ke'tong'ri'er'yu
不能赞一词,bu'neng'zan'yi'ci
不求有功但求无过,bu'qiu'you'gong'dan'qiu'wu'guo
不入虎穴焉得虎子,bu'ru'hu'xue'yan'de'hu'zi
不识庐山真面目,bu'shi'lu'shan'zhen'mian'mu
不食人间烟火,bu'shi'ren'jian'yan'huo
不食烟火食,bu'shi'yan'huo'shi
不为五斗米折腰,bu'wei'wu'dou'mi'zhe'yao
不幸而言中,bu'xing'er'yan'zhong
不以辞害志,bu'yi'ci'hai'zhi
布衣交,bu'yi'jiao
不以人废言,bu'yi'ren'fei'yan
不在其位不谋其政,bu'zai'qi'wei'bu'mou'qi'zheng
不知天高地厚,bu'zhi'tian'gao'di'hou
不知者不罪,bu'zhi'zhe'bu'zui
不足为外人道,bu'zu'wei'wai'ren'dao
差之毫厘缪以千里,cha'zhi'hao'li'miu'yi'qian'li
差之毫厘失之千里,cha'zhi'hao'li'shi'zhi'qian'li
长江后浪推前浪,chang'jiang'hou'lang'tui'qian'lang
长他人志气灭自己威风,chang'ta'ren'zhi'qi'mie'zi'ji'wei'feng
车到山前必有路,che'dao'shan'qian'bi'you'lu
