巴布基内谢梅奇基,ba'bu'ji'nei'xie'mei'qi'ji
邦费特季,bang'fei'te'ji
邦季河马,bang'ji'he'ma
福尔赛特,fu'er'sai'te
哈里托沙,ha'li'tuo'sha
基里耶什基,ji'li'ye'shen'ji
贾兹济,jia'zi'ji
康吉,kang'ji
克德夫,ke'de'fu
克罗坎特,ke'luo'kan'te
尼利斯,ni'li'si
诺塔布姆,nuo'ta'bu'mu
奇奥里奥,qi'ao'li'ao
斯拉夫,si'la'fu
斯伦季,si'lun'ji
斯普林特,si'pu'lin'te
亚尔切,ya'er'qie
亚什基诺,ya'shen'ji'nuo
亚什基诺土豆,ya'shen'ji'nuo'tu'dou
亚什金诺,ya'shen'jin'nuo
耶夫格沙,ye'fu'ge'sha
泽菲尔,ze'fei'er
