百年曾无百岁人,bai'nian'ceng'wu'bai'sui'ren
百岁复如何,bai'sui'fu'ru'he
白鸦养雏时,bai'ya'yang'chu'shi
半是鸡声半马蹄,ban'shi'ji'sheng'ban'ma'ti
必高举之,bi'gao'ju'zhi
必重累之,bi'zhong'lei'zhi
便今无事亦凄凉,bian'jin'wu'shi'yi'qi'liang
不道云从底处来,bu'dao'yun'cong'di'chu'lai
不管兴亡,bu'guan'xing'wang
不尽长江滚滚流,bu'jin'chang'jiang'gun'gun'liu
不尽凭阑思,bu'jin'ping'lan'si
步随流水觅溪源,bu'sui'liu'shui'mi'xi'yuan
不许人间见白头,bu'xu'ren'jian'jian'bai'tou
不知天地有清霜,bu'zhi'tian'di'you'qing'shuang
长江,chang'jiang
长江后浪催前浪,chang'jiang'hou'lang'cui'qian'lang
长江后浪推前浪,chang'jiang'hou'lang'tui'qian'lang
朝为越溪女,chao'wei'yue'xi'nv
晨起帐中歌,chen'qi'zhang'zhong'ge
澄澄变今古,cheng'cheng'bian'jin'gu
盛满则衰,cheng'man'ze'shuai
城头今古,cheng'tou'jin'gu
雏凤清于老凤声,chu'feng'qing'yu'lao'feng'sheng
传语万古观潮客,chuan'yu'wan'gu'guan'chao'ke
达人安所遇,da'ren'an'suo'yu
荡去荡来元不觉,dang'qu'dang'lai'yuan'bu'jue
帝遣天吴移海水,di'qian'tian'wu'yi'hai'shui
动必计仙才,dong'bi'ji'xian'cai
东君也是,dong'jun'ye'shi
断梗枯槎无泊处,duan'geng'ku'cha'wu'bo'chu
短亭流水长亭树,duan'ting'liu'shui'chang'ting'shu
多少六朝兴废事,duo'shao'liu'chao'xing'fei'shi
二分梁甫一分骚,er'fen'liang'fu'yi'fen'sao
风月无私慰寂寥,feng'yue'wu'si'wei'ji'liao
浮世新人换旧人,fu'shi'xin'ren'huan'jiu'ren
干戈此际最抢攘,gan'ge'ci'ji'zui'qiang'rang
各领风骚数百年,ge'ling'feng'sao'shu'bai'nian
更变千年如走马,geng'bian'qian'nian'ru'zou'ma
共禹论功不较多,gong'yu'lun'gong'bu'jiao'duo
古来万事东流水,gu'lai'wan'shi'dong'liu'shui
古墓犁为田,gu'mu'li'wei'tian
故人不见天地老,gu'ren'bu'jian'tian'di'lao
古往今来共一时,gu'wang'jin'lai'gong'yi'shi
归近不可忍,gui'jin'bu'ke'ren
过如霹雳忙,guo'ru'pi'li'mang
胡乃缠百忧,hu'nai'chan'bai'you
忽然一片岸沙摧,hu'ran'yi'pian'an'sha'cui
忽随人事往,hu'sui'ren'shi'wang
花香似粉香,hua'xiang'si'fen'xiang
化作危峰与怒潮,hua'zuo'wei'feng'yu'nu'chao
淮水东边旧时月,huai'shui'dong'bian'jiu'shi'yue
黄尘清水三山下,huang'chen'qing'shui'san'shan'xia
黄河日夜东去,huang'he'ri'ye'dong'qu
几家欢乐几家愁,ji'jia'huan'le'ji'jia'chou
检点风来无处觅,jian'dian'feng'lai'wu'chu'mi
鉴面只知西子姣,jian'mian'zhi'zhi'xi'zi'jiao
江山代有才人出,jiang'shan'dai'you'cai'ren'chu
江山如画思豪杰,jiang'shan'ru'hua'si'hao'jie
将欲碚之,jiang'yu'bei'zhi
将欲毁之,jiang'yu'hui'zhi
皎洁既同君子节,jiao'jie'ji'tong'jun'zi'jie
解把飞花蒙日月,jie'ba'fei'hua'meng'ri'yue
今古销沉名利中,jin'gu'xiao'chen'ming'li'zhong
今日富贵忘我为,jin'ri'fu'gui'wang'wo'wei
尽入渔樵闲话,jin'ru'yu'qiao'xian'hua
今朝寻不见,jin'zhao'xun'bu'jian
经过失是非,jing'guo'shi'shi'fei
经天纬地物,jing'tian'wei'di'wu
举贤而授能兮,ju'xian'er'shou'neng'xi
看尽春江多少山,kan'jin'chun'jiang'duo'shao'shan
可怜雨歇东风定,ke'lian'yu'xie'dong'feng'ding
可能消得英雄气,ke'neng'xiao'de'ying'xiong'qi
老却英雄似等闲,lao'que'ying'xiong'si'deng'xian
老天不忍销奇气,lao'tian'bu'ren'xiao'qi'qi
泪比长生殿上多,lei'bi'chang'sheng'dian'shang'duo
雷转空山惊,lei'zhuan'kong'shan'jing
历代关于人生的哲理诗词句,li'dai'guan'yu'ren'sheng'de'zhe'li'shi'ci'ju
临当相别时烹乳鸡,lin'dang'xiang'bie'shi'peng'ru'ji
林深那听鼓钟声,lin'shen'na'ting'gu'zhong'sheng
流到前溪无半语,liu'dao'qian'xi'wu'ban'yu
柳魂花魄都无恙,liu'hun'hua'po'dou'wu'yang
乱条犹未变初黄,luan'tiao'you'wei'bian'chu'huang
漫流尽英雄泪万行,man'liu'jin'ying'xiong'lei'wan'hang
美人自古如名将,mei'ren'zi'gu'ru'ming'jiang
靡不有初,mi'bu'you'chu
莫观老潮观壮潮,mo'guan'lao'chao'guan'zhuang'chao
莫信诗人竟平澹,mo'xin'shi'ren'jing'ping'dan
暮作吴宫妃,mu'zuo'wu'gong'fei
乃有见疑患,nai'you'jian'yi'huan
南风吹山作平地,nan'feng'chui'shan'zuo'ping'di
平地倏忽成山溪,ping'di'shu'hu'cheng'shan'xi
破窗一隙小于钱,po'chuang'yi'xi'xiao'yu'qian
岂是有为增感慨,qi'shi'you'wei'zeng'gan'kai
岂言陵霜质,qi'yan'ling'shuang'zhi
其余万事尽依然,qi'yu'wan'shi'jin'yi'ran
千古溪山为谁好,qian'gu'xi'shan'wei'shui'hao
千古兴亡多少事,qian'gu'xing'wang'duo'shao'shi
千载光争日月多,qian'zai'guang'zheng'ri'yue'duo
琼田倘致长生草,qiong'tian'tang'zhi'chang'sheng'cao
去远即相忘,qu'yuan'ji'xiang'wang
屈指百万世,qu'zhi'bai'wan'shi
曲直还今古,qu'zhi'hai'jin'gu
苒苒几盈虚,ran'ran'ji'ying'xu
人情旦暮有翻覆,ren'qing'dan'mu'you'fan'fu
人生芳秽有千载,ren'sheng'fang'hui'you'qian'zai
人生何处不相逢,ren'sheng'he'chu'bu'xiang'feng
人生万事无不有,ren'sheng'wan'shi'wu'bu'you
人生无百岁,ren'sheng'wu'bai'sui
人事有代谢,ren'shi'you'dai'xie
人寿能几何,ren'shou'neng'ji'he
日日东趋海,ri'ri'dong'qu'hai
日日西流,ri'ri'xi'liu
如何两相激,ru'he'liang'xiang'ji
若无水殿龙舟事,ruo'wu'shui'dian'long'zhou'shi
山川历历,shan'chuan'li'li
身死而家灭,shen'si'er'jia'mie
身外复何求,shen'wai'fu'he'qiu
视丹如绿,shi'dan'ru'lv
史公椽笔分明在,shi'gong'chuan'bi'fen'ming'zai
石壕村里夫妻别,shi'hao'cun'li'fu'qi'bie
世间何物催人老,shi'jian'he'wu'cui'ren'lao
世间行客,shi'jian'xing'ke
世间行乐亦如此,shi'jian'xing'le'yi'ru'ci
世上荣枯无百年,shi'shang'rong'ku'wu'bai'nian
世事茫茫,shi'shi'mang'mang
事殊兴极忧思集,shi'shu'xing'ji'you'si'ji
始信真源行不到,shi'xin'zhen'yuan'xing'bu'dao
石中本无声,shi'zhong'ben'wu'sheng
数穷则尽,shu'qiong'ze'jin
水性自云静,shui'xing'zi'yun'jing
谁言气盖世,shui'yan'qi'gai'shi
松柏摧为薪,song'bai'cui'wei'xin
隋末唐初与汉亡,sui'mo'tang'chu'yu'han'wang
滩高湾曲舟行缓,tan'gao'wan'qu'zhou'xing'huan
贪吏安可为也,tan'li'an'ke'wei'ye
天淡云闲今古同,tian'dan'yun'xian'jin'gu'tong
桐花万里丹山路,tong'hua'wan'li'dan'shan'lu
万树千条各自垂,wan'shu'qian'tiao'ge'zi'chui
往来成古今,wang'lai'cheng'gu'jin
为臣良独难,wei'chen'liang'du'nan
为奸触大罪,wei'jian'chu'da'zui
为君既不易,wei'jun'ji'bu'yi
唯觅少年心不得,wei'mi'shao'nian'xin'bu'de
无情最是台城柳,wu'qing'zui'shi'tai'cheng'liu
勿为谗口能谤亵,wu'wei'chan'kou'neng'bang'xie
无缘对面不相逢,wu'yuan'dui'mian'bu'xiang'feng
西施宁久微,xi'shi'ning'jiu'wei
下国卧龙空寤主,xia'guo'wo'long'kong'wu'zhu
霞衣如锦衣,xia'yi'ru'jin'yi
鲜克有终,xian'ke'you'zhong
鲜鲜染人指,xian'xian'ran'ren'zhi
向来歌舞地,xiang'lai'ge'wu'di
小睡醒来欲二更,xiao'shui'xing'lai'yu'er'geng
小溪清水平如镜,xiao'xi'qing'shui'ping'ru'jing
辛苦钱塘江上水,xin'ku'qian'tang'jiang'shang'shui
心之忧矣,xin'zhi'you'yi
行到源头却惘然,xing'dao'yuan'tou'que'wang'ran
循绳墨而不颇,xun'sheng'mo'er'bu'po
眼见诸侯尽入关,yan'jian'zhu'hou'jin'ru'guan
艳色天下重,yan'se'tian'xia'zhong
遥山不能见,yao'shan'bu'neng'jian
夜深还过女墙来,ye'shen'hai'guo'nv'qiang'lai
夜深鸣寒螀,ye'shen'ming'han'jiang
夜夜啼达曙,ye'ye'ti'da'shu
一川寒碧自萦回,yi'chuan'han'bi'zi'ying'hui
倚得东风势便狂,yi'de'dong'feng'shi'bian'kuang
依旧商量作好春,yi'jiu'shang'liang'zuo'hao'chun
依旧烟笼十里堤,yi'jiu'yan'long'shi'li'di
一年又过一年春,yi'nian'you'guo'yi'nian'chun
倚筇随处弄潺湲,yi'qiong'sui'chu'nong'chan'yuan
一时人物尽鹰扬,yi'shi'ren'wu'jin'ying'yang
一替新人趱旧人,yi'ti'xin'ren'zan'jiu'ren
一样烟波,yi'yang'yan'bo
一叶飞来细浪生,yi'ye'fei'lai'xi'lang'sheng
一叶浮萍归大海,yi'ye'fu'ping'gui'da'hai
一叶落知天下秋,yi'ye'luo'zhi'tian'xia'qiu
已在污泥底,yi'zai'wu'ni'di
有吟人景便多,you'yin'ren'jing'bian'duo
悠悠,you'you
有缘千里能相会,you'yuan'qian'li'neng'xiang'hui
愿王更隐抚忠节,yuan'wang'geng'yin'fu'zhong'jie
元知造物心肠别,yuan'zhi'zao'wu'xin'chang'bie
月子弯弯照几州,yue'zi'wan'wan'zhao'ji'zhou
在山做得许多声,zai'shan'zuo'de'xu'duo'sheng
沾濡多着小人面,zhan'ru'duo'zhe'xiao'ren'mian
照心难见比干真,zhao'xin'nan'jian'bi'gan'zhen
只道寒天不会明,zhi'dao'han'tian'bu'hui'ming
只看云断成飞雨,zhi'kan'yun'duan'cheng'fei'yu
只为晚烟深,zhi'wei'wan'yan'shen
知遇谁家,zhi'yu'shui'jia
终古越山澒洞里,zhong'gu'yue'shan'gong'dong'li
终难恃带砺之形,zhong'nan'shi'dai'li'zhi'xing
忠信事不显,zhong'xin'shi'bu'xian
中原得鹿不由人,zhong'yuan'de'lu'bu'you'ren
舟中反复无穷事,zhou'zhong'fan'fu'wu'qiong'shi
自古王公设险,zi'gu'wang'gong'she'xian
昨日枝头红,zuo'ri'zhi'tou'hong
