阿兄中举与你何干,a'xiong'zhong'ju'yu'ni'he'gan
爱雅寒死阿旦仔,ai'ya'han'si'a'dan'zai
懊角堵着有人惜,ao'jiao'du'zhe'you'ren'xi
扒喉抓舌,ba'hou'zhua'she
跋徒癞实在歹,ba'tu'lai'shi'zai'dai
白淡无味,bai'dan'wu'wei
白话剧文明戏白字戏喷高浪筲,bai'hua'ju'wen'ming'xi'bai'zi'xi'pen'gao'lang'shao
百句五十双,bai'ju'wu'shi'shuang
百人之细,bai'ren'zhi'xi
摆头摆面,bai'tou'bai'mian
半路债,ban'lu'zhai
半天吊灯笼,ban'tian'diao'deng'long
半外江半福佬,ban'wai'jiang'ban'fu'lao
半夜出船日,ban'ye'chu'chuan'ri
半夜返外江,ban'ye'fan'wai'jiang
抱脚瓜带死缠,bao'jiao'gua'dai'si'chan
报凶报急,bao'xiong'bao'ji
被迫无奈炊甜粿,bei'po'wu'nai'chui'tian'guo
鼻浏入目,bi'liu'ru'mu
鼻无人味去到例例,bi'wu'ren'wei'qu'dao'li'li
鼻笑嘴笑,bi'xiao'zui'xiao
变做鬼,bian'zuo'gui
兵头将尾,bing'tou'jiang'wei
补箩惜竹花旦惜曲,bu'luo'xi'zhu'hua'dan'xi'qu
布田割稻,bu'tian'ge'dao
财多身弱,cai'duo'shen'ruo
参深过潮阳,can'shen'guo'chao'yang
插米赔阿奶,cha'mi'pei'a'nai
茶三酒四,cha'san'jiu'si
差蜀一万人在块柴浪控丁假灵精,cha'shu'yi'wan'ren'zai'kuai'chai'lang'kong'ding'jia'ling'jing
柴头小生,chai'tou'xiao'sheng
谗臣害忠臣,chan'chen'hai'zhong'chen
长话短担勿罗嗦,chang'hua'duan'dan'wu'luo'suo
长衫阔裤,chang'shan'kuo'ku
嘲房哺角也无用,chao'fang'bu'jiao'ye'wu'yong
嘲过王莽,chao'guo'wang'mang
嘲门脚口,chao'men'jiao'kou
潮州人福建祖,chao'zhou'ren'fu'jian'zu
潮州无三日好生理,chao'zhou'wu'san'ri'hao'sheng'li
成模成样,cheng'mo'cheng'yang
乘势请戏,cheng'shi'qing'xi
成双成对,cheng'shuang'cheng'dui
赤脚生仔阿姨个从暹罗啖到猪槽,chi'jiao'sheng'zai'a'yi'ge'cong'xian'luo'dan'dao'zhu'cao
齿屎喷通间,chi'shi'pen'tong'jian
齿痛痛还骂赢十三条巷,chi'tong'tong'hai'ma'ying'shi'san'tiao'xiang
抽柴头,chou'chai'tou
抽死人,chou'si'ren
抽纸影,chou'zhi'ying
出出爱钱,chu'chu'ai'qian
歜个开元,chu'ge'kai'yuan
除三去四,chu'san'qu'si
锄头畚箕,chu'tou'ben'ji
出戏过大,chu'xi'guo'da
吹筲锯弦,chui'shao'ju'xian
捶腰拍噗,chui'yao'pai'pu
厝边头尾战到遭,cuo'bian'tou'wei'zhan'dao'zao
大熬小炒,da'ao'xiao'chao
大白整,da'bai'zheng
大班戏有看头,da'ban'xi'you'kan'tou
