按级任教,an'ji'ren'jiao
靶子,ba'zi
备课,bei'ke
本级战术,ben'ji'zhan'shu
本科,ben'ke
比武,bi'wu
毕业考试,bi'ye'kao'shi
编组练习,bian'zu'lian'xi
编组作业,bian'zu'zuo'ye
兵教兵,bing'jiao'bing
兵教官,bing'jiao'guan
兵棋作业,bing'qi'zuo'ye
兵种战术训练,bing'zhong'zhan'shu'xun'lian
步兵战斗教程,bu'bing'zhan'dou'jiao'cheng
补充情况,bu'chong'qing'kuang
补充想定,bu'chong'xiang'ding
部队训练工作条例,bu'dui'xun'lian'gong'zuo'tiao'li
参观教学,can'guan'jiao'xue
参谋六会,can'mou'liu'hui
参谋人员,can'mou'ren'yuan
长方形地靶,chang'fang'xing'di'ba
刺杀基本动作,ci'sha'ji'ben'dong'zuo
刺杀训练,ci'sha'xun'lian
单方战术演习,dan'fang'zhan'shu'yan'xi
单个教练,dan'ge'jiao'lian
到课率,dao'ke'lv
导演,dao'yan
导演计划,dao'yan'ji'hua
地段调理员,di'duan'tiao'li'yuan
电化教学,dian'hua'jiao'xue
动作要领,dong'zuo'yao'ling
端末调理员,duan'mo'tiao'li'yuan
对刺,dui'ci
对刺基本动作,dui'ci'ji'ben'dong'zuo
对抗演习,dui'kang'yan'xi
队列训练,dui'lie'xun'lian
多级演习,duo'ji'yan'xi
飞行教令,fei'xing'jiao'ling
分段演习,fen'duan'yan'xi
分段作业,fen'duan'zuo'ye
分练,fen'lian
分组作业,fen'zu'zuo'ye
辅导,fu'dao
干部训练,gan'bu'xun'lian
干部战术训练四个环节,gan'bu'zhan'shu'xun'lian'si'ge'huan'jie
岗位练兵,gang'wei'lian'bing
高度的纪律性,gao'du'de'ji'lv'xing
共同科目,gong'tong'ke'mu
官兵互教,guan'bing'hu'jiao
官教兵,guan'jiao'bing
观摩教学,guan'mo'jiao'xue
国家考试,guo'jia'kao'shi
海军五项,hai'jun'wu'xiang
函授,han'shou
函授作业,han'shou'zuo'ye
合练,he'lian
合同训练,he'tong'xun'lian
合同战术训练,he'tong'zhan'shu'xun'lian
后勤学院,hou'qin'xue'yuan
会操,hui'cao
会传,hui'chuan
会读,hui'du
会画,hui'hua
会记,hui'ji
会算,hui'suan
会写,hui'xie
基本案,ji'ben'an
基本想定,ji'ben'xiang'ding
基础训练,ji'chu'xun'lian
机动日,ji'dong'ri
机枪靶,ji'qiang'ba
技术训练,ji'shu'xun'lian
集团作业,ji'tuan'zuo'ye
集训队,ji'xun'dui
假定作战时间,jia'ding'zuo'zhan'shi'jian
假想敌,jia'xiang'di
坚定正确的政治方向,jian'ding'zheng'que'de'zheng'zhi'fang'xiang
艰苦奋斗,jian'ku'fen'dou
艰苦朴素的工作作风,jian'ku'pu'su'de'gong'zuo'zuo'feng
讲稿,jiang'gao
讲评,jiang'ping
讲义,jiang'yi
教案,jiao'an
教材,jiao'cai
教程,jiao'cheng
教导队,jiao'dao'dui
教范,jiao'fan
教练弹,jiao'lian'tan
教令,jiao'ling
教学编制,jiao'xue'bian'zhi
教学大纲,jiao'xue'da'gang
教学法集训,jiao'xue'fa'ji'xun
教学计划,jiao'xue'ji'hua
教学民主,jiao'xue'min'zhu
教学勤务,jiao'xue'qin'wu
教学勤务分队,jiao'xue'qin'wu'fen'dui
教学日志,jiao'xue'ri'zhi
教学设施,jiao'xue'she'shi
教学实施计划,jiao'xue'shi'shi'ji'hua
教学提纲,jiao'xue'ti'gang
教学提示,jiao'xue'ti'shi
教学研究室,jiao'xue'yan'jiu'shi
教学装备,jiao'xue'zhuang'bei
教研室,jiao'yan'shi
进修,jin'xiu
警报传递演习,jing'bao'chuan'di'yan'xi
军队院校,jun'dui'yuan'xiao
军教片,jun'jiao'pian
军教影片,jun'jiao'ying'pian
军人体质,jun'ren'ti'zhi
军事训练,jun'shi'xun'lian
抗大教育方针,kang'da'jiao'yu'fang'zhen
抗大校风,kang'da'xiao'feng
抗大校训,kang'da'xiao'xun
考核,kao'he
考核性演习,kao'he'xing'yan'xi
考勤,kao'qin
课程配当,ke'cheng'pei'dang
课题,ke'ti
可行案,ke'xing'an
课终测验,ke'zhong'ce'yan
科终测验,ke'zhong'ce'yan
空包弹,kong'bao'dan
空军五项,kong'jun'wu'xiang
理论学习,li'lun'xue'xi
练兵热忱,lian'bing're'chen
连贯作业,lian'guan'zuo'ye
联合演习,lian'he'yan'xi
练习分队,lian'xi'fen'dui
临战训练,lin'zhan'xun'lian
灵活机动的战略战术,ling'huo'ji'dong'de'zhan'lue'zhan'shu
陆军五项,lu'jun'wu'xiang
轮训,lun'xun
轮训队,lun'xun'dui
模拟教学,mo'ni'jiao'xue
模拟训练器材,mo'ni'xun'lian'qi'cai
模拟训练弹,mo'ni'xun'lian'tan
培训,pei'xun
评教评学,ping'jiao'ping'xue
汽车维护修理教范,qi'che'wei'hu'xiu'li'jiao'fan
企图立案,qi'tu'li'an
器械体操训练,qi'xie'ti'cao'xun'lian
期终考试,qi'zhong'kao'shi
情况显示,qing'kuang'xian'shi
群众性练兵,qun'zhong'xing'lian'bing
三手活动,san'shou'huo'dong
沙盘作业,sha'pan'zuo'ye
射击出发地线,she'ji'chu'fa'di'xian
射击地线,she'ji'di'xian
射击规则,she'ji'gui'ze
射击基础训练,she'ji'ji'chu'xun'lian
射击纪律,she'ji'ji'lv
射击技术,she'ji'ji'shu
射击教范,she'ji'jiao'fan
射击训练,she'ji'xun'lian
射击预习,she'ji'yu'xi
涉及姿势,she'ji'zi'shi
实兵演习,shi'bing'yan'xi
实兵指挥,shi'bing'zhi'hui
实弹射击教令,shi'dan'she'ji'jiao'ling
实弹演习,shi'dan'yan'xi
实弹战术演习,shi'dan'zhan'shu'yan'xi
示范动作,shi'fan'dong'zuo
示范分队,shi'fan'fen'dui
示范演习,shi'fan'yan'xi
示范作业,shi'fan'zuo'ye
试教,shi'jiao
示教,shi'jiao
室内作业,shi'nei'zuo'ye
实习,shi'xi
实验室,shi'yan'shi
实验性演习,shi'yan'xing'yan'xi
适应性训练,shi'ying'xing'xun'lian
首长机关演习,shou'zhang'ji'guan'yan'xi
司令部训练,si'ling'bu'xun'lian
司令部演习,si'ling'bu'yan'xi
速成系,su'cheng'xi
坦克靶,tan'ke'ba
坦克战斗教程,tan'ke'zhan'dou'jiao'cheng
梯形投弹场,ti'xing'tou'dan'chang
体育训练,ti'yu'xun'lian
调理员,tiao'li'yuan
通过障碍训练,tong'guo'zhang'ai'xun'lian
投弹训练,tou'dan'xun'lian
投弹中心线,tou'dan'zhong'xin'xian
图上作业,tu'shang'zuo'ye
推演,tui'yan
完成系,wan'cheng'xi
现地备课,xian'di'bei'ke
现地作业,xian'di'zuo'ye
先训连,xian'xun'lian
想定,xiang'ding
想定作业,xiang'ding'zuo'ye
协同作战训练,xie'tong'zuo'zhan'xun'lian
形象化教学,xing'xiang'hua'jiao'xue
胸靶,xiong'ba
学术报告会,xue'shu'bao'gao'hui
学术讲座,xue'shu'jiang'zuo
学术研究会,xue'shu'yan'jiu'hui
学制,xue'zhi
训练保障,xun'lian'bao'zhang
训练编制,xun'lian'bian'zhi
训练标兵,xun'lian'biao'bing
训练标准,xun'lian'biao'zhun
训练场地,xun'lian'chang'di
训练大纲,xun'lian'da'gang
训练弹药,xun'lian'dan'yao
训练地图,xun'lian'di'tu
训练点,xun'lian'dian
训练方针,xun'lian'fang'zhen
训练改革,xun'lian'gai'ge
