阿部丰,a'bu'feng
阿笠博士,a'li'bo'shi
阿笠人偶,a'li'ren'ou
爱德华克洛,ai'de'hua'ke'luo
爱狗一族,ai'gou'yi'zu
艾琳安多拉,ai'lin'an'duo'la
爱犬约翰杀人事件,ai'quan'yue'han'sha'ren'shi'jian
爱幽灵和地球遗产后篇,ai'you'ling'he'di'qiu'yi'chan'hou'pian
爱幽灵和地球遗产前篇,ai'you'ling'he'di'qiu'yi'chan'qian'pian
爱与决心的必杀球上集,ai'yu'jue'xin'de'bi'sha'qiu'shang'ji
爱与决心的必杀球下集,ai'yu'jue'xin'de'bi'sha'qiu'xia'ji
暗夜公爵,an'ye'gong'jue
暗夜公爵夫人登场,an'ye'gong'jue'fu'ren'deng'chang
八头蛇的剑后篇,ba'tou'she'de'jian'hou'pian
八头蛇的剑前篇,ba'tou'she'de'jian'qian'pian
白鹤报恩杀人事件,bai'he'bao'en'sha'ren'shi'jian
百货公司挟持事件,bai'huo'gong'si'xie'chi'shi'jian
白马探,bai'ma'tan
白鸟任三郎,bai'niao'ren'san'lang
白色的雪黑色的影子,bai'se'de'xue'hei'se'de'ying'zi
白色海滩杀人事件,bai'se'hai'tan'sha'ren'shi'jian
白色世界,bai'se'shi'jie
白昼,bai'zhou
包房的死角后篇,bao'fang'de'si'jiao'hou'pian
包房的死角前篇,bao'fang'de'si'jiao'qian'pian
宝石抢匪现行犯后篇,bao'shi'qiang'fei'xian'xing'fan'hou'pian
宝石抢匪现行犯前篇,bao'shi'qiang'fei'xian'xing'fan'qian'pian
报应,bao'ying
爆炸犯的目标,bao'zha'fan'de'mu'biao
悲惨结局的雪山,bei'can'jie'ju'de'xue'shan
北斗星,bei'dou'xing
贝尔摩得,bei'er'mo'de
被封印的秘密,bei'feng'yin'de'mi'mi
被封印的欧式窗后篇,bei'feng'yin'de'ou'shi'chuang'hou'pian
被封印的欧式窗前篇,bei'feng'yin'de'ou'shi'chuang'qian'pian
被改写的留言,bei'gai'xie'de'liu'yan
被钢筋阻止的男人,bei'gang'jin'zu'zhi'de'nan'ren
被禁止了的文件,bei'jin'zhi'le'de'wen'jian
悲剧,bei'ju
被狙击的名侦探上集,bei'ju'ji'de'ming'zhen'tan'shang'ji
被狙击的名侦探下集,bei'ju'ji'de'ming'zhen'tan'xia'ji
贝克街的亡灵,bei'ke'jie'de'wang'ling
被密封的汽车,bei'mi'feng'de'qi'che
背叛的街角,bei'pan'de'jie'jiao
被囚禁的刑警,bei'qiu'jin'de'xing'jing
被杀了四次的男人,bei'sha'le'si'ci'de'nan'ren
悲伤的虎卷,bei'shang'de'hu'juan
被送来的恶意,bei'song'lai'de'e'yi
被挑拨的友情后篇,bei'tiao'bo'de'you'qing'hou'pian
被挑拨的友情前篇,bei'tiao'bo'de'you'qing'qian'pian
被遗留下桌子的真相,bei'yi'liu'xia'zhuo'zi'de'zhen'xiang
被遗忘的手机后篇,bei'yi'wang'de'shou'ji'hou'pian
被遗忘的手机前篇,bei'yi'wang'de'shou'ji'qian'pian
被遗忘的行动电话,bei'yi'wang'de'xing'dong'dian'hua
被隐藏的真相,bei'yin'cang'de'zhen'xiang
被遮盖的事实,bei'zhe'gai'de'shi'shi
本堂瑛海,ben'tang'ying'hai
本堂瑛佑,ben'tang'ying'you
本厅刑事恋爱物语后篇,ben'ting'xing'shi'lian'ai'wu'yu'hou'pian
本厅刑事恋爱物语前篇,ben'ting'xing'shi'lian'ai'wu'yu'qian'pian
本厅刑事恋爱物语上集,ben'ting'xing'shi'lian'ai'wu'yu'shang'ji
本厅刑事恋爱物语下集,ben'ting'xing'shi'lian'ai'wu'yu'xia'ji
本厅刑事恋爱物语虚假的婚礼,ben'ting'xing'shi'lian'ai'wu'yu'xu'jia'de'hun'li
本厅刑事恋爱物语左手的无名指,ben'ting'xing'shi'lian'ai'wu'yu'zuo'shou'de'wu'ming'zhi
本厅刑事恋物语后篇,ben'ting'xing'shi'lian'wu'yu'hou'pian
本厅刑事恋物语前篇,ben'ting'xing'shi'lian'wu'yu'qian'pian
笔记本型电子地图,bi'ji'ben'xing'dian'zi'di'tu
比赛结束,bi'sai'jie'shu
比赛开始,bi'sai'kai'shi
比星星更秘密,bi'xing'xing'geng'mi'mi
便当型传真机,bian'dang'xing'chuan'zhen'ji
变化的剑士,bian'hua'de'jian'shi
便利店的陷阱后篇,bian'li'dian'de'xian'jing'hou'pian
便利店的陷阱前篇,bian'li'dian'de'xian'jing'qian'pian
别有玄机的八音盒上集,bie'you'xuan'ji'de'ba'yin'he'shang'ji
别有玄机的八音盒下集,bie'you'xuan'ji'de'ba'yin'he'xia'ji
兵法,bing'fa
博士的初恋,bo'shi'de'chu'lian
不纯的大搜捕,bu'chun'de'da'sou'bu
