挨头子,ai'tou'zi
安居,an'ju
安文钦的买公债尽力而为,an'wen'qin'de'mai'gong'zhai'jin'li'er'wei
八成,ba'cheng
白格醵酥,bai'ge'ju'su
白格生生,bai'ge'sheng'sheng
拜识,bai'shi
半吊子,ban'diao'zi
板子,ban'zi
棒棒,bang'bang
宝塔山,bao'ta'shan
背兴,bei'xing
屄斗,bi'dou
鼻塌憨水,bi'ta'han'shui
薄忽闪闪,bo'hu'shan'shan
卜唻,bu'lai
不怕一万只怕万一,bu'pa'yi'wan'zhi'pa'wan'yi
擦们,ca'men
茬戏,cha'xi
长上千只手按不住万人口,chang'shang'qian'zhi'shou'an'bu'zhu'wan'ren'kou
炒面捏的个人熟人,chao'mian'nie'de'ge'ren'shu'ren
炒面神,chao'mian'shen
成松蓝,cheng'song'lan
赤独子,chi'du'zi
吃蓝么,chi'lan'me
串可蓝,chuan'ke'lan
纯粹,chun'cui
瓷脑,ci'nao
打发,da'fa
当旮旯,dang'ga'la
道擦,dao'ca
倒势,dao'shi
都成松蓝,dou'cheng'song'lan
毒子,du'zi
端格争争,duan'ge'zheng'zheng
多乎,duo'hu
多或,duo'huo
二百五,er'bai'wu
二打流,er'da'liu
二道该,er'dao'gai
尔格,er'ge
儿话,er'hua
二流子,er'liu'zi
儿路,er'lu
二马路,er'ma'lu
儿猫,er'mao
儿人,er'ren
儿人儿事,er'ren'er'shi
儿事,er'shi
二庄科,er'zhuang'ke
飞起要落张开要合,fei'qi'yao'luo'zhang'kai'yao'he
缶古,fou'gu
浮起,fu'qi
盖老,gai'lao
干格巴巴,gan'ge'ba'ba
擀面皮,gan'mian'pi
赶事情,gan'shi'qing
高四五,gao'si'wu
搞笑,gao'xiao
圪钵,ge'bo
咯戳,ge'chuo
圪洞,ge'dong
圪蹴,ge'jiu
圪蹴哈,ge'jiu'ha
圪楞,ge'leng
圪梁,ge'liang
圪柳,ge'liu
圪峁,ge'mao
各囊,ge'nang
格生,ge'sheng
圪台,ge'tai
格台,ge'tai
格枝,ge'zhi
姑舅,gu'jiu
骨敛,gu'lian
瓜地挑瓜挑得眼花,gua'di'tiao'gua'tiao'de'yan'hua
光棍,guang'gun
过啐,guo'cui
哈七搅,ha'qi'jiao
哈说,ha'shuo
害哈勒,hai'ha'le
憨儿,han'er
憨流少势,han'liu'shao'shi
航标,hang'biao
好汉死在阵上赖汉死在炕上,hao'han'si'zai'zhen'shang'lai'han'si'zai'kang'shang
好蓝,hao'lan
好事情,hao'shi'qing
黑格褚褚,hei'ge'chu'chu
黑天打洞,hei'tian'da'dong
红稻黍,hong'dao'shu
红格丹丹,hong'ge'dan'dan
红火,hong'huo
红树林,hong'shu'lin
后生,hou'sheng
猴娃,hou'wa
猴小小,hou'xiao'xiao
唿噜,hu'lu
胡脑,hu'nao
挥笔,hui'bi
灰怂,hui'song
饥荒,ji'huang
贱货,jian'huo
贱脏,jian'zang
搅茅棍,jiao'mao'gun
解不下,jie'bu'xia
羯羝,jie'di
解下,jie'xia
羯猪,jie'zhu
就那么个,jiu'na'me'ge
局劲,ju'jin
俊格丹丹,jun'ge'dan'dan
可儿哩,ke'er'li
啦当,la'dang
拉话,la'hua
拉里了,la'li'le
烂货,lan'huo
兰炭,lan'tan
拦羊,lan'yang
拦羊打酸枣捎带,lan'yang'da'suan'zao'shao'dai
捞饭,lao'fan
牢饭,lao'fan
老家亲,lao'jia'qin
老去了,lao'qu'le
立不定,li'bu'ding
两挑,liang'tiao
两姨,liang'yi
溜尻子,liu'kao'zi
柳生,liu'sheng
龙抓,long'zhua
绿格茵茵,lv'ge'yin'yin
驴哈的,lv'ha'de
慢格腾腾,man'ge'teng'teng
毛鬼神,mao'gui'shen
么门,me'men
么求意思,me'qiu'yi'si
门限,men'xian
猛好蓝,meng'hao'lan
梦胡,meng'hu
米汤,mi'tang
苗格条条,miao'ge'tiao'tiao
殁下了,mo'xia'le
木匠的斧子一面砍,mu'jiang'de'fu'zi'yi'mian'kan
木囊,mu'nang
哪可也,na'ke'ye
难活,nan'huo
脑畔,nao'pan
闹一瓶,nao'yi'ping
嫩格蛋蛋,nen'ge'dan'dan
你甘没事么,ni'gan'mei'shi'me
