白玉蟾,bai'yu'chan
白云霁,bai'yun'ji
鲍靓,bao'liang
柴元皋,chai'yuan'gao
陈靖姑,chen'jing'gu
陈景元,chen'jing'yuan
陈楠,chen'nan
陈朴,chen'pu
陈抟,chen'tuan
陈显微,chen'xian'wei
陈撄宁,chen'ying'ning
成玄英,cheng'xuan'ying
崔希范,cui'xi'fan
戴起宗,dai'qi'zong
杜处逸,du'chu'yi
杜光庭,du'guang'ting
范长生,fan'chang'sheng
傅金铨,fu'jin'quan
傅圆天,fu'yuan'tian
高仁峒,gao'ren'dong
葛洪,ge'hong
葛玄,ge'xuan
郝大通,hao'da'tong
何道全,he'dao'quan
胡道玄,hu'dao'xuan
胡海牙,hu'hai'ya
胡惠超,hu'hui'chao
黄公望,huang'gong'wang
黄裳,huang'shang
黄舜申,huang'shun'shen
黄元吉,huang'yuan'ji
姬逸,ji'yi
姬志真,ji'zhi'zhen
蒋宗瀚,jiang'zong'han
蒋宗瑛,jiang'zong'ying
金善信,jin'shan'xin
金允中,jin'yun'zhong
寇谦之,kou'qian'zhi
雷思齐,lei'si'qi
李淳风,li'chun'feng
李道纯,li'dao'chun
李含光,li'han'guang
李涵虚,li'han'xu
李理山,li'li'shan
李筌,li'quan
李西月,li'xi'yue
李志常,li'zhi'chang
林灵素,lin'ling'su
林默娘,lin'mo'niang
刘处玄,liu'chu'xuan
刘大彬,liu'da'bin
刘海蟾,liu'hai'chan
柳华阳,liu'hua'yang
刘混康,liu'hun'kang
刘名瑞,liu'ming'rui
刘一明,liu'yi'ming
刘玉,liu'yu
刘渊然,liu'yuan'ran
娄近垣,lou'jin'yuan
陆潜虚,lu'qian'xu
陆西星,lu'xi'xing
陆修静,lu'xiu'jing
罗公远,luo'gong'yuan
罗虚舟,luo'xu'zhou
吕洞宾,lv'dong'bin
闾丘方远,lv'qiu'fang'yuan
闵小艮,min'xiao'gen
闵一得,min'yi'de
莫月鼎,mo'yue'ding
潘师正,pan'shi'zheng
彭椿仙,peng'chun'xian
彭耜,peng'si
彭晓,peng'xiao
毗陵禅师,pi'ling'chan'shi
强思齐,qiang'si'qi
丘处机,qiu'chu'ji
丘玄清,qiu'xuan'qing
任自垣,ren'zi'yuan
萨守坚,sa'shou'jian
邵以正,shao'yi'zheng
邵元节,shao'yuan'jie
施道渊,shi'dao'yuan
石泰,shi'tai
石杏林,shi'xing'lin
司马承祯,si'ma'cheng'zhen
宋德方,song'de'fang
苏元朗,su'yuan'lang
孙不二,sun'bu'er
孙仁,sun'ren
孙思邈,sun'si'miao
孙玄清,sun'xuan'qing
谭处端,tan'chu'duan
谭峭,tan'qiao
谭五雷,tan'wu'lei
谭悟真,tan'wu'zhen
谭阳,tan'yang
陶弘景,tao'hong'jing
陶素耜,tao'su'si
陶仲文,tao'zhong'wen
田诚阳,tian'cheng'yang
王常月,wang'chang'yue
王重阳,wang'chong'yang
王处一,wang'chu'yi
王理仙,wang'li'xian
王灵官,wang'ling'guan
王文卿,wang'wen'qing
王玄览,wang'xuan'lan
王远知,wang'yuan'zhi
王志谨,wang'zhi'jin
魏华存,wei'hua'cun
伍冲虚,wu'chong'xu
吴筠,wu'jun
伍柳仙宗,wu'liu'xian'zong
吴猛,wu'meng
吴全节,wu'quan'jie
伍守阳,wu'shou'yang
悟元子,wu'yuan'zi
夏元鼎,xia'yuan'ding
萧抱珍,xiao'bao'zhen
萧礼,xiao'li
萧雨轩,xiao'yu'xuan
谢守灏,xie'shou'hao
谢自然,xie'zi'ran
许谧,xu'mi
薛道光,xue'dao'guang
薛阳桂,xue'yang'gui
叶法善,ye'fa'shan
叶静能,ye'jing'neng
易心莹,yi'xin'ying
尹文操,yin'wen'cao
尹志平,yin'zhi'ping
圆顿子,yuan'dun'zi
岳崇岱,yue'chong'dai
张伯端,zhang'bo'duan
张恩溥,zhang'en'pu
张果,zhang'guo
张继先,zhang'ji'xian
张静虚,zhang'jing'xu
张留孙,zhang'liu'sun
张清夜,zhang'qing'ye
张三丰,zhang'san'feng
张万福,zhang'wan'fu
张无梦,zhang'wu'meng
张雨,zhang'yu
张与材,zhang'yu'cai
张宇初,zhang'yu'chu
张紫阳,zhang'zi'yang
赵道一,zhao'dao'yi
赵升,zhao'sheng
赵宜真,zhao'yi'zhen
赵友钦,zhao'you'qin
赵圆,zhao'yuan
赵真嵩,zhao'zhen'song
郑所南,zheng'suo'nan
钟离权,zhong'li'quan
周思得,zhou'si'de
褚伯秀,zhu'bo'xiu
朱君绪,zhu'jun'xu
朱权,zhu'quan
朱象先,zhu'xiang'xian
朱元育,zhu'yuan'yu
朱自英,zhu'zi'ying
