北海路,bei'hai'lu
北亚泰大街,bei'ya'tai'da'jie
长春站,chang'chun'zhan
长春站北广场,chang'chun'zhan'bei'guang'chang
长影世纪城,chang'ying'shi'ji'cheng
车场,che'chang
东北师大,dong'bei'shi'da
东大桥,dong'da'qiao
东南湖大路,dong'nan'hu'da'lu
东新路,dong'xin'lu
芙蓉桥,fu'rong'qiao
抚松路,fu'song'lu
福祉路,fu'zhi'lu
公平路,gong'ping'lu
硅谷大街,gui'gu'da'jie
国道,guo'dao
湖光路,hu'guang'lu
湖西桥,hu'xi'qiao
华桥外院,hua'qiao'wai'yuan
滑雪场,hua'xue'chang
会展中心,hui'zhan'zhong'xin
吉林大路,ji'lin'da'lu
解放桥,jie'fang'qiao
净月公园,jing'yue'gong'yuan
宽平桥,kuan'ping'qiao
辽宁路,liao'ning'lu
临河街,lin'he'jie
南昌路,nan'chang'lu
南湖大路,nan'hu'da'lu
南三环,nan'san'huan
农博园,nong'bo'yuan
浦东路,pu'dong'lu
前进,qian'jin
前进大街,qian'jin'da'jie
世纪广场,shi'ji'guang'chang
世荣路,shi'rong'lu
卫光街,wei'guang'jie
伪满皇宫,wei'man'huang'gong
卫明街,wei'ming'jie
卫星广场,wei'xing'guang'chang
卫星路,wei'xing'lu
西安桥,xi'an'qiao
仙台大街,xian'tai'da'jie
亚泰大街,ya'tai'da'jie
伊通河,yi'tong'he
朝阳桥,zhao'yang'qiao
中医药大学,zhong'yi'yao'da'xue
紫杉路,zi'shan'lu
自由大路,zi'you'da'lu
