耙,ba
八卦大枪,ba'gua'da'qiang
八卦刀,ba'gua'dao
八卦钺,ba'gua'yue
崩龙袖锤,beng'long'xiu'chui
笔刀,bi'dao
笔架叉,bi'jia'cha
匕首,bi'shou
鞭杆,bian'gan
镖,biao
钹,bo
叉,cha
铲,chan
禅杖,chan'zhang
长柄单锤,chang'bing'dan'chui
陈式太极单刀,chen'shi'tai'ji'dan'dao
陈式太极双刀,chen'shi'tai'ji'shuang'dao
齿翼月牙镋,chi'yi'yue'ya'tang
杵棒,chu'bang
船,chuan
锤,chui
春秋大刀,chun'qiu'da'dao
大刀,da'dao
大环刀,da'huan'dao
大枪,da'qiang
傣族刀,dai'zu'dao
弹弓,dan'gong
刀,dao
刀类,dao'lei
刀术,dao'shu
掉刀,diao'dao
短柄双锤,duan'bing'shuang'chui
峨嵋刺,e'mei'ci
峨嵋剑,e'mei'jian
二节棍,er'jie'gun
飞钩,fei'gou
飞石,fei'shi
凤嘴刀,feng'zui'dao
斧,fu
傅家剑,fu'jia'jian
浮萍拐,fu'ping'guai
戈,ge
弓,gong
钩,gou
钩镶,gou'xiang
拐,guai
棍,gun
棍棒杆类,gun'bang'gan'lei
棍术,gun'shu
猴棍,hou'gun
护手棒,hu'shou'bang
护手铲,hu'shou'chan
花枪,hua'qiang
锽,huang
戟,ji
戟刀,ji'dao
锏,jian
剑,jian
剑类,jian'lei
剑术,jian'shu
景颇长刀,jing'po'chang'dao
九节八卦龙头凤尾亮银盘龙棍,jiu'jie'ba'gua'long'tou'feng'wei'liang'yin'pan'long'gun
九节鞭,jiu'jie'bian
橛,jue
狼筅,lang'xian
狼牙棒,lang'ya'bang
梨花枪夹白猿棍,li'hua'qiang'jia'bai'yuan'gun
傈僳族弯尖刀,li'su'zu'wan'jian'dao
链夹,lian'jia
练子锤,lian'zi'chui
刘,liu
流星锤,liu'xing'chui
龙行刀,long'hang'dao
龙头杆棒,long'tou'gan'bang
梅花刀,mei'hua'dao
眉尖刀,mei'jian'dao
棉绳套索,mian'sheng'tao'suo
苗族尖刀,miao'zu'jian'dao
南少林十三枪棍,nan'shao'lin'shi'san'qiang'gun
牛头月镋,niu'tou'yue'tang
牛心双拐,niu'xin'shuang'guai
弩,nu
朴刀,po'dao
戚,qi
其它兵器,qi'ta'bing'qi
乾坤日月刀,qian'kun'ri'yue'dao
枪,qiang
枪类,qiang'lei
枪术,qiang'shu
青萍剑,qing'ping'jian
屈刀,qu'dao
圈,quan
软兵器类,ruan'bing'qi'lei
三尖两刃刀,san'jian'liang'ren'dao
少林风魔棍,shao'lin'feng'mo'gun
少林九宫剑,shao'lin'jiu'gong'jian
梢子棍,shao'zi'gun
绳镖,sheng'biao
矢,shi
手刀,shou'dao
殳,shu
梳子,shu'zi
双飞挝,shuang'fei'wo
双头枪,shuang'tou'qiang
槊,shuo
四节镋,si'jie'tang
索莱拐,suo'lai'guai
太极大杆,tai'ji'da'gan
太极单剑,tai'ji'dan'jian
太极剑,tai'ji'jian
太极十三杆,tai'ji'shi'san'gan
太极双锏,tai'ji'shuang'jian
太极双剑,tai'ji'shuang'jian
太极玄门剑,tai'ji'xuan'men'jian
镋,tang
藤牌,teng'pai
铁齿,tie'chi
铁矛,tie'mao
武当剑对练法,wu'dang'jian'dui'lian'fa
武当剑法,wu'dang'jian'fa
袖箭,xiu'jian
掩月刀,yan'yue'dao
杨家枪,yang'jia'qiang
腰刀,yao'dao
彝族波长剑,yi'zu'bo'chang'jian
彝族短体插刀,yi'zu'duan'ti'cha'dao
彝族流星,yi'zu'liu'xing
钺,yue
抓,zhua
抓枪,zhua'qiang
壮族古杆,zhuang'zu'gu'gan
壮族尖刀,zhuang'zu'jian'dao
子午鸳鸯钺,zi'wu'yuan'yang'yue
