挨根儿,ai'gen'er
挨斤帮谱,ai'jin'bang'pu
傲强,ao'qiang
把姑娘,ba'gu'niang
罢脚子,ba'jiao'zi
扒手,ba'shou
把戏,ba'xi
把作,ba'zuo
白脖子,bai'bo'zi
白打光儿,bai'da'guang'er
白水饭,bai'shui'fan
白水寺,bai'shui'si
白竹园寺,bai'zhu'yuan'si
半不拉子,ban'bu'la'zi
板到了,ban'dao'le
绊跤,ban'jiao
绊脚索,ban'jiao'suo
板桥店,ban'qiao'dian
板它,ban'ta
半子,ban'zi
膀实,bang'shi
包弹,bao'dan
包谷糁儿,bao'gu'shen'er
保康县,bao'kang'xian
保康县城关,bao'kang'xian'cheng'guan
保康县城关镇中学,bao'kang'xian'cheng'guan'zhen'zhong'xue
保康县第一中学,bao'kang'xian'di'yi'zhong'xue
保康县实验中学,bao'kang'xian'shi'yan'zhong'xue
保康县职业高中职业高中,bao'kang'xian'zhi'ye'gao'zhong'zhi'ye'gao'zhong
报庙,bao'miao
包园儿,bao'yuan'er
包圆儿,bao'yuan'er
保佐,bao'zuo
背隔拉儿,bei'ge'la'er
背生子儿,bei'sheng'zi'er
被窝戏儿,bei'wo'xi'er
贬忌,bian'ji
彪人,biao'ren
婊子的儿,biao'zi'de'er
鳖圪瘩,bie'ge'da
薄刀,bo'dao
不爱见,bu'ai'jian
不打紧,bu'da'jin
布袋,bu'dai
布袋儿,bu'dai'er
不惯相,bu'guan'xiang
不含糊,bu'han'hu
不吭气儿,bu'keng'qi'er
不宽畅,bu'kuan'chang
步老盖儿,bu'lao'gai'er
不贴,bu'tie
不熨帖,bu'yu'tie
不沾嫌,bu'zhan'xian
不沾嫌儿,bu'zhan'xian'er
菜脚子,cai'jiao'zi
踩水,cai'shui
猜中指,cai'zhong'zhi
藏猫儿,cang'mao'er
草猪,cao'zhu
叉水,cha'shui
抄手儿,chao'shou'er
炒现饭,chao'xian'fan
车河农场车河中学,che'he'nong'chang'che'he'zhong'xue
扯谎白,che'huang'bai
扯拉锯,che'la'ju
扯皮拉筋,che'pi'la'jin
臣哈子,chen'ha'zi
陈金超,chen'jin'chao
承恩寺,cheng'en'si
程河,cheng'he
承头儿,cheng'tou'er
吃场儿,chi'chang'er
吃场子,chi'chang'zi
吃风喝沫,chi'feng'he'mo
吃隔食,chi'ge'shi
吃接茶,chi'jie'cha
吃妈妈儿,chi'ma'ma'er
吃体已儿,chi'ti'yi'er
吃子儿,chi'zi'er
虫虫飞,chong'chong'fei
床根前,chuang'gen'qian
床头起,chuang'tou'qi
磁板,ci'ban
茨河,ci'he
磁实,ci'shi
粗溜,cu'liu
攒体己,cuan'ti'ji
酂阳,cuo'yang
打把式,da'ba'shi
打把子,da'ba'zi
打测,da'ce
打茶围,da'cha'wei
打抽丰,da'chou'feng
打单帮,da'dan'bang
打得罗儿,da'de'luo'er
打儿呵呵,da'er'he'he
打发,da'fa
打拐,da'guai
打花巴场,da'hua'ba'chang
打花鼓,da'hua'gu
打灰暴,da'hui'bao
打火,da'huo
打加官,da'jia'guan
打搅,da'jiao
打捞叉,da'lao'cha
打马虎眼儿,da'ma'hu'yan'er
打男,da'nan
打呕吼儿,da'ou'hou'er
打漂游儿,da'piao'you'er
打头儿,da'tou'er
打瞎蒙儿,da'xia'meng'er
打丫巴儿,da'ya'ba'er
