暗巫,an'wu
碧瑶,bi'yao
比翼双飞不思归,bi'yi'shuang'fei'bu'si'gui
不枉人生长风流,bu'wang'ren'sheng'zhang'feng'liu
不知是入了蝴蝶之梦,bu'zhi'shi'ru'le'hu'die'zhi'meng
残荷一潇潇,can'he'yi'xiao'xiao
澈王妃,che'wang'fei
陈忻泽,chen'xin'ze
处处与君同,chu'chu'yu'jun'tong
春有风花秋有月,chun'you'feng'hua'qiu'you'yue
此生与君共,ci'sheng'yu'jun'gong
淡看半生旧痕,dan'kan'ban'sheng'jiu'hen
都如一局棋枰,dou'ru'yi'ju'qi'ping
朵霞,duo'xia
翻作一词新曲,fan'zuo'yi'ci'xin'qu
仿佛庄生晓梦,fang'fu'zhuang'sheng'xiao'meng
方晓莉,fang'xiao'li
粉黛江山,fen'dai'jiang'shan
凤家幺女,feng'jia'yao'nv
凤鸾飞,feng'luan'fei
凤卿尘,feng'qing'chen
风轻暖,feng'qing'nuan
高一清,gao'yi'qing
龚俊,gong'jun
还是自己梦到了蝴蝶,hai'shi'zi'ji'meng'dao'le'hu'die
韩栋,han'dong
红尘万丈皆自惹,hong'chen'wan'zhang'jie'zi're
胡森,hu'sen
花微香,hua'wei'xiang
华翊郡主,hua'yi'jun'zhu
黄梦莹,huang'meng'ying
皇族,huang'zu
季晨,ji'chen
几乎比爱一个人还要难,ji'hu'bi'ai'yi'ge'ren'hai'yao'nan
家国大义,jia'guo'da'yi
皎皎于清波,jiao'jiao'yu'qing'bo
金蝶,jin'die
靳妃,jin'fei
君子如玉,jun'zi'ru'yu
君子坦荡,jun'zi'tan'dang
刻痕深寂,ke'hen'shen'ji
李呈媛,li'cheng'yuan
李麟,li'lin
莲妃,lian'fei
梁胜权,liang'sheng'quan
林玉芬,lin'yu'fen
灵虫,ling'chong
灵力,ling'li
玲珑解语,ling'long'jie'yu
留得半湖烟雨,liu'de'ban'hu'yan'yu
刘奕君,liu'yi'jun
刘颖伦,liu'ying'lun
陆迁,lu'qian
马春瑞,ma'chun'rui
马月,ma'yue
毛方圆,mao'fang'yuan
梦如人生,meng'ru'ren'sheng
冥剑护剑使,ming'jian'hu'jian'shi
冥魇,ming'yan
冥衣楼,ming'yi'lou
冥衣楼楼主,ming'yi'lou'lou'zhu
明玉似水,ming'yu'si'shui
莫不平,mo'bu'ping
寞然相伴流年,mo'ran'xiang'ban'liu'nian
木颏沙,mu'ke'sha
南梁王爷,nan'liang'wang'ye
七皇子,qi'huang'zi
秦展,qin'zhan
情深不悔是娑婆,qing'shen'bu'hui'shi'suo'po
任海涛,ren'hai'tao
人生如梦,ren'sheng'ru'meng
山高远,shan'gao'yuan
上穷碧落下黄泉,shang'qiong'bi'luo'xia'huang'quan
少年裘马多快意,shao'nian'qiu'ma'duo'kuai'yi
舍得是因为舍不得,she'de'shi'yin'wei'she'bu'de
圣巫女,sheng'wu'nv
十四夜,shi'si'ye
双时空,shuang'shi'kong
水东流,shui'dong'liu
瞬间转移,shun'jian'zhuan'yi
苏航,su'hang
岁岁长相伴,sui'sui'chang'xiang'ban
汤晶媚,tang'jing'mei
桃殀,tao'yao
天帝,tian'di
天舞醉坊,tian'wu'zui'fang
听心,ting'xin
停滞时空,ting'zhi'shi'kong
吐谷浑公主,tu'yu'hun'gong'zhu
万世千生,wan'shi'qian'sheng
王侯事业,wang'hou'shi'ye
卫长征,wei'chang'zheng
温文优雅,wen'wen'you'ya
武娉婷,wu'ping'ting
巫族,wu'zu
巫族巫女,wu'zu'wu'nv
巫族长老,wu'zu'zhang'lao
西魏皇帝,xi'wei'huang'di
西魏皇子,xi'wei'huang'zi
西魏九皇子,xi'wei'jiu'huang'zi
昔邪,xi'xie
萧续,xiao'xu
徐嘉苇,xu'jia'wei
徐剑,xu'jian
徐沐婵,xu'mu'chan
许鑫,xu'xin
玄甲军,xuan'jia'jun
玄甲军将领,xuan'jia'jun'jiang'ling
杨韬歌,yang'tao'ge
移形换影,yi'xing'huan'ying
殷采倩,yin'cai'qian
殷贵妃,yin'gui'fei
有时候拒绝一个人的爱,you'shi'hou'ju'jue'yi'ge'ren'de'ai
余翠华,yu'cui'hua
御林军统领,yu'lin'jun'tong'ling
御前修仪,yu'qian'xiu'yi
于阗王,yu'tian'wang
元澈,yuan'che
元灏,yuan'hao
元济,yuan'ji
元漓,yuan'li
元凌,yuan'ling
元溟,yuan'ming
元湛,yuan'zhan
造梦,zao'meng
曾黎,zeng'li
战神,zhan'shen
湛王妃,zhan'wang'fei
张弓,zhang'gong
张赫,zhang'he
张束,zhang'shu
知己相逢,zhi'ji'xiang'feng
灼灼之仙姿,zhuo'zhuo'zhi'xian'zi
醉里红尘,zui'li'hong'chen
