暗袋,an'dai
安全带,an'quan'dai
安全管理人员,an'quan'guan'li'ren'yuan
安全环境监督管理部,an'quan'huan'jing'jian'du'guan'li'bu
安全帽,an'quan'mao
安全员,an'quan'yuan
暗室定时器,an'shi'ding'shi'qi
暗室红灯,an'shi'hong'deng
敖利平,ao'li'ping
白胶布,bai'jiao'bu
办公室,ban'gong'shi
半径样板,ban'jing'yang'ban
备自投,bei'zi'tou
避雷器,bi'lei'qi
变比,bian'bi
变比极性,bian'bi'ji'xing
变电所,bian'dian'suo
便携式直流电位差计,bian'xie'shi'zhi'liu'dian'wei'cha'ji
变压比,bian'ya'bi
表棒,biao'bang
标牌,biao'pai
标准交流电流表,biao'zhun'jiao'liu'dian'liu'biao
标准直流电流表,biao'zhun'zhi'liu'dian'liu'biao
并联,bing'lian
并列,bing'lie
丙烷压力表,bing'wan'ya'li'biao
冰乙酸,bing'yi'suan
铂铑铂热电偶,bo'lao'bo're'dian'ou
玻璃液体温度计,bo'li'ye'ti'wen'du'ji
部门,bu'men
补贴,bu'tie
部长,bu'zhang
蔡建晓,cai'jian'xiao
蔡淑媛,cai'shu'yuan
财务部,cai'wu'bu
裁纸刀,cai'zhi'dao
残压,can'ya
曹路,cao'lu
曹振,cao'zhen
操作票,cao'zuo'piao
测力仪,ce'li'yi
测试仪,ce'shi'yi
差动,cha'dong
常闭,chang'bi
常开,chang'kai
超声波测厚仪,chao'sheng'bo'ce'hou'yi
超声波流量计,chao'sheng'bo'liu'liang'ji
陈东坡,chen'dong'po
陈航,chen'hang
陈浩,chen'hao
陈静,chen'jing
陈惊雷,chen'jing'lei
陈军兴,chen'jun'xing
陈莲英,chen'lian'ying
陈晓宁,chen'xiao'ning
陈新宇,chen'xin'yu
陈元,chen'yuan
陈子希,chen'zi'xi
程林,cheng'lin
重合闸,chong'he'zha
冲击试验低温仪,chong'ji'shi'yan'di'wen'yi
冲击试验机,chong'ji'shi'yan'ji
串联,chuan'lian
床上用品,chuang'shang'yong'pin
磁钢,ci'gang
磁铁,ci'tie
磁悬液浓度沉淀管,ci'xuan'ye'nong'du'chen'dian'guan
粗糙度样块,cu'cao'du'yang'kuai
崔俊杰,cui'jun'jie
崔俊阳,cui'jun'yang
单位资质,dan'wei'zi'zhi
党吉贤,dang'ji'xian
党群工作部,dang'qun'gong'zuo'bu
刀口尺,dao'kou'chi
灯管,deng'guan
灯泡,deng'pao
地刷,di'shua
低压,di'ya
电池,dian'chi
电磁感应,dian'ci'gan'ying
电导,dian'dao
电动机,dian'dong'ji
电动势,dian'dong'shi
电度表,dian'du'biao
电感,dian'gan
电工胶布,dian'gong'jiao'bu
电工进网证,dian'gong'jin'wang'zheng
电弧,dian'hu
电抗,dian'kang
电抗器,dian'kang'qi
电缆故障测试仪,dian'lan'gu'zhang'ce'shi'yi
电缆盘,dian'lan'pan
电烙铁,dian'lao'tie
电力变压器,dian'li'bian'ya'qi
电力电缆,dian'li'dian'lan
电流,dian'liu
电流表,dian'liu'biao
电流互感器,dian'liu'hu'gan'qi
电路,dian'lu
电秒表,dian'miao'biao
电能表,dian'neng'biao
电气设备,dian'qi'she'bei
电强度自动测试仪,dian'qiang'du'zi'dong'ce'shi'yi
电桥,dian'qiao
电容,dian'rong
电容电感测试仪,dian'rong'dian'gan'ce'shi'yi
电容量表,dian'rong'liang'biao
电容器,dian'rong'qi
电枢,dian'shu
电网,dian'wang
电位,dian'wei
电压,dian'ya
电压表,dian'ya'biao
电压互感器,dian'ya'hu'gan'qi
电压降,dian'ya'jiang
电源,dian'yuan
电子版,dian'zi'ban
电阻,dian'zu
电阻测试仪,dian'zu'ce'shi'yi
定时钟,ding'shi'zhong
定影粉,ding'ying'fen
定子,ding'zi
董事长,dong'shi'zhang
读数显微镜,du'shu'xian'wei'jing
