爱崩,ai'beng
爱国体,ai'guo'ti
爱国贼,ai'guo'zei
爱妻,ai'qi
按头党,an'tou'dang
傲娇脸,ao'jiao'lian
奥运神经,ao'yun'shen'jing
霸屏,ba'ping
白干安,bai'gan'an
宝宝心里苦,bao'bao'xin'li'ku
抱背,bao'bei
宝贝时差,bao'bei'shi'cha
包剧,bao'ju
报社,bao'she
背个棒,bei'ge'bang
背锅王,bei'guo'wang
北京七环,bei'jing'qi'huan
北京瘫,bei'jing'tan
北京折叠,bei'jing'zhe'die
北上广流浪狗,bei'shang'guang'liu'lang'gou
备胎式约会,bei'tai'shi'yue'hui
比薄体,bi'bo'ti
碧池,bi'chi
碧池脸,bi'chi'lian
毕赣,bi'gan
比基尼桥,bi'ji'ni'qiao
必剩客,bi'sheng'ke
逼王,bi'wang
闭眼黑,bi'yan'hei
碧瑶坐,bi'yao'zuo
逼真,bi'zhen
病娇,bing'jiao
冰淇淋线,bing'qi'lin'xian
不成熟的小建议,bu'cheng'shu'de'xiao'jian'yi
不如跳舞,bu'ru'tiao'wu
才华碾压,cai'hua'nian'ya
超级丹,chao'ji'dan
超音蝠,chao'yin'fu
陈以三,chen'yi'san
程序基,cheng'xu'ji
吃瓜群众,chi'gua'qun'zhong
赤鸡,chi'ji
嗤之以鼻孔,chi'zhi'yi'bi'kong
丑拒,chou'ju
初代目,chu'dai'mu
处女脸,chu'nv'lian
川普,chuan'pu
唇典,chun'dian
崔顺实,cui'shun'shi
打到忘爱,da'dao'wang'ai
打分体,da'fen'ti
打脸卡,da'lian'ka
大蜜范儿,da'mi'fan'er
大鱼海棠,da'yu'hai'tang
呆若继科,dai'ruo'ji'ke
单身公害,dan'shen'gong'hai
单身猪,dan'shen'zhu
但我还是买不起房,dan'wo'hai'shi'mai'bu'qi'fang
稻米节,dao'mi'jie
等妖三角形,deng'yao'san'jiao'xing
滴滴打船,di'di'da'chuan
地毯应援,di'tan'ying'yuan
电一王者,dian'yi'wang'zhe
钓鱼婊,diao'yu'biao
动力火锅,dong'li'huo'guo
冻龄,dong'ling
斗图,dou'tu
毒鸡汤,du'ji'tang
毒奶,du'nai
毒唯,du'wei
朵蜜,duo'mi
鹅妹子嘤,e'mei'zi'ying
恶心萌,e'xin'meng
鳄鱼臂,e'yu'bi
二手尴尬,er'shou'gan'ga
反差萌,fan'cha'meng
翻船体,fan'chuan'ti
番茄炒蛋装,fan'qie'chao'dan'zhuang
反套路,fan'tao'lu
废鼠,fei'shu
菲鱼,fei'yu
飞猪,fei'zhu
非主牛,fei'zhu'niu
粉丝滤镜,fen'si'lv'jing
凤凰男,feng'huang'nan
封麦,feng'mai
风油精体,feng'you'jing'ti
腹黑友,fu'hei'you
扶脸杀,fu'lian'sha
釜山行,fu'shan'xing
腐眼看人基,fu'yan'kan'ren'ji
福原爱,fu'yuan'ai
傅园慧,fu'yuan'hui
扶朕起来体,fu'zhen'qi'lai'ti
尬聊,ga'liao
钙蜜,gai'mi
盖中盖体,gai'zhong'gai'ti
尴尬癌,gan'ga'ai
感觉身体被掏空,gan'jue'shen'ti'bei'tao'kong
肝游戏,gan'you'xi
高低男,gao'di'nan
隔壁老王,ge'bi'lao'wang
葛优躺,ge'you'tang
跟风丑,gen'feng'chou
梗王,geng'wang
狗癌,gou'ai
狗策,gou'ce
狗带,gou'dai
故宫表情包,gu'gong'biao'qing'bao
棺材板,guan'cai'ban
广播体操式舞蹈,guang'bo'ti'cao'shi'wu'dao
过劳肥,guo'lao'fei
国胖,guo'pang
哈酒,ha'jiu
哈租族,ha'zu'zu
海待,hai'dai
海蒂拉玛,hai'di'la'ma
憨妮,han'ni
合影帝,he'ying'di
红红火火恍恍惚惚,hong'hong'huo'huo'huang'huang'hu'hu
洪荒之力,hong'huang'zhi'li
后空巢老人,hou'kong'chao'lao'ren
互相伤害,hu'xiang'shang'hai
花圈求婚,hua'quan'qiu'hun
话题废,hua'ti'fei
华天,hua'tian
幻城,huan'cheng
黄油手,huang'you'shou
回忆杀,hui'yi'sha
活撸辈,huo'lu'bei
霍心,huo'xin
季白,ji'bai
纪梵希小猪皮,ji'fan'xi'xiao'zhu'pi
基基复基基,ji'ji'fu'ji'ji
吉赛尔邦辰,ji'sai'er'bang'chen
极限民,ji'xian'min
嫁衣撩,jia'yi'liao
