阿伯丁测试中心,a'bo'ding'ce'shi'zhong'xin
阿斯洛克,a'si'luo'ke
阿斯洛克反潜导弹,a'si'luo'ke'fan'qian'dao'dan
阿斯特拉罕,a'si'te'la'han
埃拉特号驱逐舰,ai'la'te'hao'qu'zhu'jian
艾利克,ai'li'ke
艾森豪威尔号,ai'sen'hao'wei'er'hao
按动力,an'dong'li
按动力分,an'dong'li'fen
按吨位分,an'dun'wei'fen
岸基部队,an'ji'bu'dui
按排水量,an'pai'shui'liang
按其,an'qi
安全责任范围,an'quan'ze'ren'fan'wei
岸上目标,an'shang'mu'biao
安装工作,an'zhuang'gong'zuo
安装了,an'zhuang'le
安装在,an'zhuang'zai
奥格斯堡,ao'ge'si'bao
白根,bai'gen
摆满了,bai'man'le
伴随护航,ban'sui'hu'hang
半主动雷达,ban'zhu'dong'lei'da
保护航舰,bao'hu'hang'jian
保护航空母舰,bao'hu'hang'kong'mu'jian
被安装到,bei'an'zhuang'dao
备弹,bei'dan
北德文斯克,bei'de'wen'si'ke
北方舰队,bei'fang'jian'dui
北海舰队,bei'hai'jian'dui
被击沉,bei'ji'chen
倍于,bei'yu
北约编号,bei'yue'bian'hao
北约名为,bei'yue'ming'wei
本次发射,ben'ci'fa'she
本科学历,ben'ke'xue'li
编制有,bian'zhi'you
标准排水量,biao'zhun'pai'shui'liang
标准作业程序,biao'zhun'zuo'ye'cheng'xu
并且担任,bing'qie'dan'ren
兵种,bing'zhong
波罗的斯克,bo'luo'de'si'ke
波罗的海舰队,bo'luo'di'hai'jian'dui
不断减少,bu'duan'jian'shao
部队结构,bu'dui'jie'gou
部分护卫舰,bu'fen'hu'wei'jian
补给舰,bu'ji'jian
布莱克,bu'lai'ke
不莱梅级,bu'lai'mei'ji
布雷,bu'lei
布设水雷,bu'she'shui'lei
布什号,bu'shi'hao
不依赖空气推进技术,bu'yi'lai'kong'qi'tui'jin'ji'shu
不再建造,bu'zai'jian'zao
捕捉目标,bu'zhuo'mu'biao
部族级驱逐舰,bu'zu'ji'qu'zhu'jian
采访组,cai'fang'zu
采购信息,cai'gou'xin'xi
裁减了,cai'jian'le
采用了,cai'yong'le
参演舰队,can'yan'jian'dui
参与战事,can'yu'zhan'shi
舱盖,cang'gai
舱室,cang'shi
舱式发射系统,cang'shi'fa'she'xi'tong
操作安全,cao'zuo'an'quan
操作成本,cao'zuo'cheng'ben
查菲,cha'fei
柴电动力,chai'dian'dong'li
柴电动力常规潜艇,chai'dian'dong'li'chang'gui'qian'ting
柴电潜艇,chai'dian'qian'ting
产生的,chan'sheng'de
产生蒸气,chan'sheng'zheng'qi
长城二一八号,chang'cheng'er'yi'ba'hao
长城一七七号,chang'cheng'yi'qi'qi'hao
常规动力航空母舰,chang'gui'dong'li'hang'kong'mu'jian
常规动力潜艇,chang'gui'dong'li'qian'ting
常规动力潜艇有,chang'gui'dong'li'qian'ting'you
长期坚持,chang'qi'jian'chi
常任理事国,chang'ren'li'shi'guo
长远计划,chang'yuan'ji'hua
长征六号,chang'zheng'liu'hao
长征三号,chang'zheng'san'hao
超低空,chao'di'kong
超低空突防,chao'di'kong'tu'fang
超过了,chao'guo'le
超过一半,chao'guo'yi'ban
朝雾,chao'wu
成功进行了,cheng'gong'jin'xing'le
成功试射了,cheng'gong'shi'she'le
成为可能,cheng'wei'ke'neng
尺寸不大,chi'cun'bu'da
重新适应,chong'xin'shi'ying
出动飞机,chu'dong'fei'ji
出售给,chu'shou'gei
出坞,chu'wu
初雪,chu'xue
初雪级等驱逐舰,chu'xue'ji'deng'qu'zhu'jian
初雪级驱逐舰及,chu'xue'ji'qu'zhu'jian'ji
船厂方面,chuan'chang'fang'mian
船厂方面称,chuan'chang'fang'mian'cheng
传统起降方式,chuan'tong'qi'jiang'fang'shi
垂直发射管,chui'zhi'fa'she'guan
垂直发射装置,chui'zhi'fa'she'zhuang'zhi
垂直起降,chui'zhi'qi'jiang
摧毁敌方,cui'hui'di'fang
村雨级,cun'yu'ji
村雨级驱逐舰,cun'yu'ji'qu'zhu'jian
搭乘,da'cheng
达成协议,da'cheng'xie'yi
大大提高,da'da'ti'gao
大多驱逐舰,da'duo'qu'zhu'jian
打击敌人,da'ji'di'ren
打击对象,da'ji'dui'xiang
大口径,da'kou'jing
大量的,da'liang'de
大量设计工作,da'liang'she'ji'gong'zuo
大为减少,da'wei'jian'shao
大西洋舰队,da'xi'yang'jian'dui
大型的,da'xing'de
大型航空母舰,da'xing'hang'kong'mu'jian
大型化,da'xing'hua
大型潜艇,da'xing'qian'ting
大型水面舰艇,da'xing'shui'mian'jian'ting
大修工作,da'xiu'gong'zuo
大修升级,da'xiu'sheng'ji
大众机械,da'zhong'ji'xie
弹道导弹,dan'dao'dao'dan
弹道导弹潜艇,dan'dao'dao'dan'qian'ting
单壳潜艇,dan'ke'qian'ting
导弹垂直发射装置,dao'dan'chui'zhi'fa'she'zhuang'zhi
导弹的,dao'dan'de
导弹发射筒,dao'dan'fa'she'tong
导弹核潜艇,dao'dan'he'qian'ting
导弹护卫舰,dao'dan'hu'wei'jian
导弹化,dao'dan'hua
导弹驱逐舰,dao'dan'qu'zhu'jian
导弹武器,dao'dan'wu'qi
的兵种,de'bing'zhong
的成熟,de'cheng'shu
的敌人,de'di'ren
的电力,de'dian'li
的发展,de'fa'zhan
的费用,de'fei'yong
的分工,de'fen'gong
德国海军,de'guo'hai'jun
的建立,de'jian'li
的舰艇,de'jian'ting
的建造,de'jian'zao
的军舰,de'jun'jian
的目标,de'mu'biao
的能力,de'neng'li
的缺点,de'que'dian
的任务,de'ren'wu
的退役,de'tui'yi
的消息,de'xiao'xi
的序列,de'xu'lie
的需求,de'xu'qiu
的需要,de'xu'yao
的训练,de'xun'lian
的依赖,de'yi'lai
得益于,de'yi'yu
的原理,de'yuan'li
的战舰,de'zhan'jian
的主力,de'zhu'li
的主要,de'zhu'yao
等鱼雷,deng'yu'lei
抵达船厂,di'da'chuan'chang
敌对目标,di'dui'mu'biao
