艾森豪威尔访问台湾,ai'sen'hao'wei'er'fang'wen'tai'wan
八二三海战,ba'er'san'hai'zhan
八骏事件,ba'jun'shi'jian
八六海战,ba'liu'hai'zhan
八七水灾,ba'qi'shui'zai
柏杨事件,bai'yang'shi'jian
保卫钓鱼岛运动,bao'wei'diao'yu'dao'yun'dong
北埔事件,bei'bu'shi'jian
贝尼澳斯基事件,bei'ni'ao'si'ji'shi'jian
滨田弥兵卫事件,bin'tian'mi'bing'wei'shi'jian
蔡牵事件,cai'qian'shi'jian
蔡显老起义,cai'xian'lao'qi'yi
蔡忠恕事件,cai'zhong'shu'shi'jian
潮州事件,chao'zhou'shi'jian
陈发起义,chen'fa'qi'yi
陈鼓应事件,chen'gu'ying'shi'jian
陈稜访问流求,chen'leng'fang'wen'liu'qiu
陈立夫等人议案,chen'li'fu'deng'ren'yi'an
陈水扁等入狱欢送会事件,chen'shui'bian'deng'ru'yu'huan'song'hui'shi'jian
陈文成命案,chen'wen'cheng'ming'an
陈心妇仔事件,chen'xin'fu'zi'shi'jian
陈周全陈光爱起义,chen'zhou'quan'chen'guang'ai'qi'yi
崇武海战,chong'wu'hai'zhan
大陈岛战役,da'chen'dao'zhan'yi
大湖农民起义,da'hu'nong'min'qi'yi
大甲大湖事件,da'jia'da'hu'shi'jian
大嵙崁斗争,da'ke'kan'dou'zheng
大南澳事件,da'nan'ao'shi'jian
戴潮春起义,dai'chao'chun'qi'yi
第二次雾社事件,di'er'ci'wu'she'shi'jian
第二次中坜事件,di'er'ci'zhong'li'shi'jian
地图事件,di'tu'shi'jian
第一次临时户口调查,di'yi'ci'lin'shi'hu'kou'diao'cha
第一次中坜事件,di'yi'ci'zhong'li'shi'jian
抵制日本运动,di'zhi'ri'ben'yun'dong
钓鱼岛事件,diao'yu'dao'shi'jian
东港事件,dong'gang'shi'jian
二二八起义,er'er'ba'qi'yi
二林事件,er'lin'shi'jian
二一二事件,er'yi'er'shi'jian
反洋教运动,fan'yang'jiao'yun'dong
凤山事件,feng'shan'shi'jian
高夔事件,gao'kui'shi'jian
高雄反战暴动,gao'xiong'fan'zhan'bao'dong
高雄事件,gao'xiong'shi'jian
骨宗事件,gu'zong'shi'jian
关帝庙事件,guan'di'miao'shi'jian
郭光侯事件,guo'guang'hou'shi'jian
郭怀一起义,guo'huai'yi'qi'yi
国民党退台后第一次人口普查,guo'min'dang'tui'tai'hou'di'yi'ci'ren'kou'pu'cha
蛤仔难民众抗西起义,ha'zi'nan'min'zhong'kang'xi'qi'yi
荷兰向台湾出售潜艇事件,he'lan'xiang'tai'wan'chu'shou'qian'ting'shi'jian
