爱景欲挂扶桑,ai'jing'yu'gua'fu'sang
暗淡轻黄体性柔,an'dan'qing'huang'ti'xing'rou
半笺娇恨寄幽怀,ban'jian'jiao'hen'ji'you'huai
伴我情怀如水,ban'wo'qing'huai'ru'shui
半夜凉初透,ban'ye'liang'chu'tou
背窗雪落炉烟直,bei'chuang'xue'luo'lu'yan'zhi
被翻红浪,bei'fan'hong'lang
被冷香消新梦觉,bei'leng'xiang'xiao'xin'meng'jue
碧云笼碾玉成尘,bi'yun'long'nian'yu'cheng'chen
杓回摇斗,biao'hui'yao'dou
别到杏花肥,bie'dao'xing'hua'fei
别恨难穷,bie'hen'nan'qiong
别是闲滋味,bie'shi'xian'zi'wei
病起萧萧两鬓华,bing'qi'xiao'xiao'liang'bin'hua
薄汗轻衣透,bo'han'qing'yi'tou
薄雾浓云愁永昼,bo'wu'nong'yun'chou'yong'zhou
薄衣初试,bo'yi'chu'shi
不惯起来听,bu'guan'qi'lai'ting
不减酴醿,bu'jian'tu'mi
不肯过江东,bu'ken'guo'jiang'dong
不耐风揉,bu'nai'feng'rou
不如随分尊前醉,bu'ru'sui'fen'zun'qian'zui
不如向,bu'ru'xiang
不是悲秋,bu'shi'bei'qiu
不相逢,bu'xiang'feng
不许愁人不起,bu'xu'chou'ren'bu'qi
不知从此,bu'zhi'cong'ci
不知酝藉几多时,bu'zhi'yun'jie'ji'duo'shi
才下眉头,cai'xia'mei'tou
草际鸣蛩,cao'ji'ming'qiong
钗头人胜轻,chai'tou'ren'sheng'qing
常插梅花醉,chang'cha'mei'hua'zui
唱到千千遍,chang'dao'qian'qian'bian
肠断与谁同倚,chang'duan'yu'shui'tong'yi
长记海棠开後,chang'ji'hai'tang'kai'hou
常记溪亭日暮,chang'ji'xi'ting'ri'mu
沉醉不知归路,chen'zui'bu'zhi'gui'lu
宠柳娇花寒食近,chong'liu'jiao'hua'han'shi'jin
愁损北人,chou'sun'bei'ren
窗前谁种芭蕉树,chuang'qian'shui'zhong'ba'jiao'shu
吹动浓愁,chui'dong'nong'chou
吹梅笛怨,chui'mei'di'yuan
吹箫人去玉楼空,chui'xiao'ren'qu'yu'lou'kong
春到长门春草青,chun'dao'chang'men'chun'cao'qing
春归秣陵树,chun'gui'mo'ling'shu
春意看花难,chun'yi'kan'hua'nan
春意知几许,chun'yi'zhi'ji'xu
绰约俱见天真,chuo'yue'ju'jian'tian'zhen
次第岂无风雨,ci'di'qi'wu'feng'yu
此花不与群花比,ci'hua'bu'yu'qun'hua'bi
此情无计可消除,ci'qing'wu'ji'ke'xiao'chu
从今又添,cong'jin'you'tian
从来,cong'lai
蹴罢秋千,cu'ba'qiu'qian
簇带争济楚,cu'dai'zheng'ji'chu
翠帘垂,cui'lian'chui
翠贴莲蓬小,cui'tie'lian'peng'xiao
待得群花,dai'de'qun'hua
淡荡春光寒食天,dan'dang'chun'guang'han'shi'tian
但见包藏无限意,dan'jian'bao'cang'wu'xian'yi
淡云来往月疏疏,dan'yun'lai'wang'yue'shu'shu
到黄昏,dao'huang'hun
道人憔悴春窗底,dao'ren'qiao'cui'chun'chuang'di
到如今,dao'ru'jin
笛声三弄,di'sheng'san'nong
点滴霖霪,dian'di'lin'yin
点点滴滴,dian'dian'di'di
雕栏巧护,diao'lan'qiao'hu
丁香千结苦粗生,ding'xiang'qian'jie'ku'cu'sheng
东城边,dong'cheng'bian
东莱不似蓬莱远,dong'lai'bu'si'peng'lai'yuan
东篱把酒黄昏后,dong'li'ba'jiu'huang'hun'hou
东篱把酒黄昏後,dong'li'ba'jiu'huang'hun'hou
豆蔻连梢煎熟水,dou'kou'lian'shao'jian'shu'shui
独抱浓愁无好梦,du'bao'nong'chou'wu'hao'meng
妒风笑月,du'feng'xiao'yue
独上兰舟,du'shang'lan'zhou
独自怎生得黑,du'zi'zen'sheng'de'hei
断香残香情怀恶,duan'xiang'can'xiang'qing'huai'e
多少春情意,duo'shao'chun'qing'yi
多少事,duo'shao'shi
多少游春意,duo'shao'you'chun'yi
二年三度负东君,er'nian'san'du'fu'dong'jun
仿佛梦魂归帝所,fang'fu'meng'hun'gui'di'suo
非干病酒,fei'gan'bing'jiu
风定落花深,feng'ding'luo'hua'shen
风度精神如彦辅,feng'du'jing'shen'ru'yan'fu
风鬟霜鬓,feng'huan'shuang'bin
风柔日薄春犹早,feng'rou'ri'bo'chun'you'zao
风休住,feng'xiu'zhu
风韵雍容未甚都,feng'yun'yong'rong'wei'shen'dou
风韵正相宜,feng'yun'zheng'xiang'yi
风住尘香花已尽,feng'zhu'chen'xiang'hua'yi'jin
浮槎去,fu'cha'qu
扶头酒醒,fu'tou'jiu'xing
感月吟风多少事,gan'yue'yin'feng'duo'shao'shi
歌声共水流云断,ge'sheng'gong'shui'liu'yun'duan
更得些时,geng'dei'xie'shi
更好明光宫殿,geng'hao'ming'guang'gong'dian
更看今日晴未,geng'kan'jin'ri'qing'wei
更拈馀香,geng'nian'yu'xiang
更捻余香,geng'nian'yu'xiang
更挪残蕊,geng'nuo'can'rui
更挼残蕊,geng'ruo'can'rui
更谁家横笛,geng'shui'jia'heng'di
更须频剪,geng'xu'pin'jian
更一声啼鴂,geng'yi'sheng'ti'jue
更值棠棣连阴,geng'zhi'tang'di'lian'yin
共赏金尊沉绿蚁,gong'shang'jin'zun'chen'lv'yi
共赏金尊沈绿蚁,gong'shang'jin'zun'shen'lv'yi
故教明月玲珑地,gu'jiao'ming'yue'ling'long'di
故乡何处是,gu'xiang'he'chu'shi
