暗精灵族,an'jing'ling'zu
八段,ba'duan
八级,ba'ji
八阶,ba'jie
八星,ba'xing
白灰黑黄橙绿蓝紫红,bai'hui'hei'huang'cheng'lv'lan'zi'hong
白魔法,bai'mo'fa
暴系术,bao'xi'shu
伯爵,bo'jue
草泥马,cao'ni'ma
猝暴,cu'bao
大法师,da'fa'shi
大剑师,da'jian'shi
大魔法师,da'mo'fa'shi
大魔师,da'mo'shi
大巫师,da'wu'shi
大武士,da'wu'shi
大主教,da'zhu'jiao
电暴,dian'bao
斗皇,dou'huang
斗气,dou'qi
斗圣,dou'sheng
二段,er'duan
二级,er'ji
二阶,er'jie
二星,er'xing
凡实幻玄虚,fan'shi'huan'xuan'xu
舫暴,fang'bao
风暴,feng'bao
公爵,gong'jue
光明魔法,guang'ming'mo'fa
光明神,guang'ming'shen
光明圣殿,guang'ming'sheng'dian
光系魔法,guang'xi'mo'fa
国王,guo'wang
寒冰魔法,han'bing'mo'fa
黑暗魔法,hei'an'mo'fa
黑暗骑士,hei'an'qi'shi
黑暗神,hei'an'shen
黑暗圣殿,hei'an'sheng'dian
黑暗圣灵魔法,hei'an'sheng'ling'mo'fa
黑魔法,hei'mo'fa
红衣主教,hong'yi'zhu'jiao
侯爵,hou'jue
幻术,huan'shu
魂断沼泽,hun'duan'zhao'ze
混沌暴,hun'dun'bao
混沌林海,hun'dun'lin'hai
火暴,huo'bao
火神,huo'shen
火系魔法,huo'xi'mo'fa
即手绳术,ji'shou'sheng'shu
技术书,ji'shu'shu
剑圣,jian'sheng
剑士,jian'shi
见习魔者,jian'xi'mo'zhe
见习武者,jian'xi'wu'zhe
教皇,jiao'huang
金系魔法,jin'xi'mo'fa
精灵魔法,jing'ling'mo'fa
精灵族,jing'ling'zu
九段,jiu'duan
九级,jiu'ji
究极暴,jiu'ji'bao
九阶,jiu'jie
九星,jiu'xing
就怎么暴,jiu'zen'me'bao
巨多大陆,ju'duo'da'lu
空间魔法,kong'jian'mo'fa
雷暴,lei'bao
雷电魔法,lei'dian'mo'fa
雷神,lei'shen
力圣,li'sheng
力武者,li'wu'zhe
炼灵士,lian'ling'shi
炼谱,lian'pu
炼器皇,lian'qi'huang
炼器灵皇者,lian'qi'ling'huang'zhe
炼器圣,lian'qi'sheng
炼器师,lian'qi'shi
炼术,lian'shu
林云,lin'yun
灵核,ling'he
灵炼皇,ling'lian'huang
灵炼师,ling'lian'shi
灵脉,ling'mai
六段,liu'duan
六级,liu'ji
六阶,liu'jie
六芒星,liu'mang'xing
六星,liu'xing
龙傅,long'fu
乱七八糟暴,luan'qi'ba'zao'bao
迈巴赫,mai'ba'he
脉系术,mai'xi'shu
魔导师,mo'dao'shi
魔法,mo'fa
魔法杯,mo'fa'bei
魔法剑,mo'fa'jian
魔法师,mo'fa'shi
魔法手杖,mo'fa'shou'zhang
魔法书,mo'fa'shu
魔法项链,mo'fa'xiang'lian
魔法阵,mo'fa'zhen
魔皇,mo'huang
魔圣,mo'sheng
魔士,mo'shi
魔使臣,mo'shi'chen
魔术,mo'shu
魔术师,mo'shu'shi
魔王,mo'wang
魔者,mo'zhe
魔族,mo'zu
木系魔法,mu'xi'mo'fa
氖牛,nai'niu
男爵,nan'jue
奴隶,nu'li
奴隶市场,nu'li'shi'chang
破灭星瞳,po'mie'xing'tong
瀑暴,pu'bao
七段,qi'duan
七级,qi'ji
七阶,qi'jie
骑士,qi'shi
七星,qi'xing
墙暴,qiang'bao
三段,san'duan
三级,san'ji
三阶,san'jie
三星,san'xing
森林女神,sen'lin'nv'shen
神灵术,shen'ling'shu
神圣魔法,shen'sheng'mo'fa
神族,shen'zu
生灵,sheng'ling
生命魔法,sheng'ming'mo'fa
生命女神,sheng'ming'nv'shen
圣魔法师,sheng'mo'fa'shi
圣女,sheng'nv
圣骑士,sheng'qi'shi
圣主,sheng'zhu
圣子,sheng'zi
尸暴,shi'bao
十段,shi'duan
十级,shi'ji
十阶,shi'jie
时空族,shi'kong'zu
十星,shi'xing
嗜血,shi'xue
手势,shou'shi
兽族,shou'zu
术书,shu'shu
水神,shui'shen
水系魔法,shui'xi'mo'fa
瞬雷杀,shun'lei'sha
四段,si'duan
四级,si'ji
四阶,si'jie
死灵山脉,si'ling'shan'mai
死神,si'shen
死亡魔法,si'wang'mo'fa
四星,si'xing
天使,tian'shi
土神,tu'shen
土系魔法,tu'xi'mo'fa
亡灵,wang'ling
亡灵法师,wang'ling'fa'shi
亡灵手札,wang'ling'shou'zha
五段,wu'duan
吴法,wu'fa
武皇,wu'huang
五级,wu'ji
武技,wu'ji
五阶,wu'jie
五芒星,wu'mang'xing
武骑士,wu'qi'shi
巫师,wu'shi
武术,wu'shu
吴天,wu'tian
武王,wu'wang
五星,wu'xing
武玄将军,wu'xuan'jiang'jun
无叶族,wu'ye'zu
武战士,wu'zhan'shi
武者,wu'zhe
想怎么暴,xiang'zen'me'bao
鑫守村,xin'shou'cun
星辰海,xing'chen'hai
星象,xing'xiang
雪暴,xue'bao
驯兽师,xun'shou'shi
雅蠛蝶,ya'mie'die
药剂师,yao'ji'shi
叶族,ye'zu
一段,yi'duan
一级,yi'ji
一阶,yi'jie
一星,yi'xing
翼族,yi'zu
吟唱,yin'chang
饮血剑,yin'xue'jian
游族,you'zu
预言,yu'yan
预言师,yu'yan'shi
预言书,yu'yan'shu
占星师,zhan'xing'shi
占星术,zhan'xing'shu
召唤魔法,zhao'huan'mo'fa
镇界碑,zhen'jie'bei
直晟鸡,zhi'sheng'ji
咒语,zhou'yu
子爵,zi'jue
自然女神,zi'ran'nv'shen
