八貂,ba'diao
八公,ba'gong
八座,ba'zuo
北京军政府陆海军大元帅,bei'jing'jun'zheng'fu'lu'hai'jun'da'yuan'shuai
北枢密院,bei'shu'mi'yuan
北枢密院中丞司,bei'shu'mi'yuan'zhong'cheng'si
北王府,bei'wang'fu
弼德院,bi'de'yuan
勃极烈,bo'ji'lie
丞相,cheng'xiang
崇政院,chong'zheng'yuan
从公,cong'gong
大丞相,da'cheng'xiang
大后丞,da'hou'cheng
大将军,da'jiang'jun
大良造,da'liang'zao
大前疑,da'qian'yi
大人,da'ren
大司空,da'si'kong
大司马,da'si'ma
大司徒,da'si'tu
大尹,da'yin
大右弼,da'you'bi
大于越,da'yu'yue
大元帅大本营,da'yuan'shuai'da'ben'ying
大政,da'zheng
大冢宰卿,da'zhong'zai'qing
大总统,da'zong'tong
大左辅,da'zuo'fu
当国,dang'guo
第一届国会,di'yi'jie'guo'hui
东台,dong'tai
东王府,dong'wang'fu
都台,dou'tai
二大,er'da
二府,er'fu
二卿士,er'qing'shi
二守,er'shou
非常大总统,fei'chang'da'zong'tong
凤阁,feng'ge
副总统,fu'zong'tong
广州国民政府,guang'zhou'guo'min'zheng'fu
国防最高委员会,guo'fang'zui'gao'wei'yuan'hui
国将,guo'jiang
国民参政会,guo'min'can'zheng'hui
国民大会,guo'min'da'hui
国民政府,guo'min'zheng'fu
国师,guo'shi
国务院,guo'wu'yuan
国相,guo'xiang
护法军政府,hu'fa'jun'zheng'fu
护国军军政府军务院,hu'guo'jun'jun'zheng'fu'jun'wu'yuan
黄门省,huang'men'sheng
皇室中枢机构,huang'shi'zhong'shu'ji'gou
稽察钦奉上谕事件处,ji'cha'qin'feng'shang'yu'shi'jian'chu
计省,ji'sheng
集书省,ji'shu'sheng
假相国,jia'xiang'guo
谏官,jian'guan
监国,jian'guo
谏院,jian'yuan
介卿,jie'qing
军机处,jun'ji'chu
军师,jun'shi
开府仪同三司,kai'fu'yi'tong'san'si
立法院,li'fa'yuan
两府,liang'fu
两省官,liang'sheng'guan
临时参议院,lin'shi'can'yi'yuan
临时大总统,lin'shi'da'zong'tong
临时法制院,lin'shi'fa'zhi'yuan
临时副总统,lin'shi'fu'zong'tong
临时执政,lin'shi'zhi'zheng
临时执政府,lin'shi'zhi'zheng'fu
令尹,ling'yin
六卿,liu'qing
鸾台,luan'tai
门下省,men'xia'sheng
莫敖,mo'ao
捺钵,na'bo
纳言中大夫,na'yan'zhong'dai'fu
南京临时政府总统府,nan'jing'lin'shi'zheng'fu'zong'tong'fu
南省,nan'sheng
南枢密院,nan'shu'mi'yuan
内朝官,nei'chao'guan
内阁,nei'ge
内国史院,nei'guo'shi'yuan
内弘文院,nei'hong'wen'yuan
内秘书院,nei'mi'shu'yuan
内三院,nei'san'yuan
内史上大夫,nei'shi'shang'dai'fu
内史省,nei'shi'sheng
内书省,nei'shu'sheng
卿士,qing'shi
三公,san'gong
三孤,san'gu
三官,san'guan
三少,san'shao
三省,san'sheng
三师,san'shi
三司,san'si
上公,shang'gong
上卿,shang'qing
尚书都省,shang'shu'dou'sheng
尚书省,shang'shu'sheng
尚书台,shang'shu'tai
少宰,shao'zai
少正,shao'zheng
侍中寺,shi'zhong'si
守相,shou'xiang
枢密行府,shu'mi'xing'fu
枢密院,shu'mi'yuan
四辅,si'fu
四府,si'fu
四邻,si'lin
太保,tai'bao
太傅,tai'fu
台阁,tai'ge
太师,tai'shi
太尉,tai'wei
台省,tai'xing
太宰,tai'zai
提理政务,ti'li'zheng'wu
天王府,tian'wang'fu
听政,ting'zheng
通政使司,tong'zheng'shi'si
通政司,tong'zheng'si
外朝官,wai'chao'guan
为政,wei'zheng
文昌都台,wen'chang'dou'tai
文昌台,wen'chang'tai
文馆,wen'guan
五府,wu'fu
武汉国民政府,wu'han'guo'min'zheng'fu
西台,xi'tai
下大夫,xia'dai'fu
相邦,xiang'bang
相国,xiang'guo
相室,xiang'shi
行政院,xing'zheng'yuan
亚卿,ya'qing
亚相,ya'xiang
燕王府,yan'wang'fu
翼王府,yi'wang'fu
议政王大臣,yi'zheng'wang'da'chen
右丞相,you'cheng'xiang
宥府,you'fu
右卿士,you'qing'shi
右师,you'shi
宥司,you'si
右相,you'xiang
右尹,you'yin
御史大夫,yu'shi'da'fu
豫王府,yu'wang'fu
御正上大夫,yu'zheng'shang'dai'fu
宰相,zai'xiang
宰相府,zai'xiang'fu
宰执,zai'zhi
责任内阁,ze'ren'nei'ge
正卿,zheng'qing
政事省,zheng'shi'sheng
政事堂,zheng'shi'tang
中朝官,zhong'chao'guan
中大夫,zhong'dai'fu
中国国民党中央政治委员会,zhong'guo'guo'min'dang'zhong'yang'zheng'zhi'wei'yuan'hui
中华民国参议院,zhong'hua'min'guo'can'yi'yuan
冢卿,zhong'qing
中书门下,zhong'shu'men'xia
中书门下后省,zhong'shu'men'xia'hou'sheng
中书门下内省,zhong'shu'men'xia'nei'xing
中书门下省,zhong'shu'men'xia'sheng
中书门下外省,zhong'shu'men'xia'wai'sheng
中书省,zhong'shu'sheng
中台,zhong'tai
冢宰,zhong'zai
诸公,zhu'gong
紫微省,zi'wei'sheng
资政院,zi'zheng'yuan
总统,zong'tong
总统府,zong'tong'fu
奏事处,zou'shi'chu
左丞相,zuo'cheng'xiang
左卿士,zuo'qing'shi
左师,zuo'shi
左相,zuo'xiang
左尹,zuo'yin
