哀长吉,ai'chang'ji
安凤,an'feng
安鸿渐,an'hong'jian
安锜,an'qi
安守范,an'shou'fan
安邑坊女,an'yi'fang'nv
巴陵馆鬼,ba'ling'guan'gui
巴谈,ba'tan
巴峡鬼,ba'xia'gui
巴州守,ba'zhou'shou
白居易,bai'ju'yi
白君瑞,bai'jun'rui
百兰,bai'lan
百里杜氏,bai'li'du'shi
白敏中,bai'min'zhong
白衫举子,bai'shan'ju'zi
白胜,bai'sheng
白行简,bai'xing'jian
白玉蟾,bai'yu'chan
鲍防,bao'fang
包贺,bao'he
包何,bao'he
包恢,bao'hui
包佶,bao'ji
鲍家四弦,bao'jia'si'xian
鲍君徽,bao'jun'hui
宝历宫人,bao'li'gong'ren
鲍令晖,bao'ling'hui
鲍溶,bao'rong
包融,bao'rong
包荣父,bao'rong'fu
包颖,bao'ying
宝月,bao'yue
鲍照,bao'zhao
北朝民歌,bei'chao'min'ge
卑叔文,bei'shu'wen
本寂,ben'ji
毕大节,bi'da'jie
毕良史,bi'liang'shi
毕乾泰,bi'qian'tai
碧虚,bi'xu
毕耀,bi'yao
辨才,bian'cai
卞之琳,bian'zhi'lin
病狂人,bing'kuang'ren
伯夷,bo'yi
步非烟,bu'fei'yan
补阙同赋,bu'que'tong'fu
布燮,bu'xie
蔡孚,cai'fu
蔡瑰,cai'gui
蔡京,cai'jing
蔡戡,cai'kan
蔡昆,cai'kun
蔡楠,cai'nan
蔡薿,cai'ni
蔡确,cai'que
蔡伸,cai'shen
蔡士裕,cai'shi'yu
蔡挺,cai'ting
蔡文恭,cai'wen'gong
蔡希寂,cai'xi'ji
蔡希周,cai'xi'zhou
蔡襄,cai'xiang
蔡押衙,cai'ya'ya
蔡琰,cai'yan
蔡隐丘,cai'yin'qiu
蔡幼学,cai'you'xue
蔡允恭,cai'yun'gong
蔡真人,cai'zhen'ren
曹豳,cao'bin
曹操,cao'cao
曹汾,cao'fen
草夫人,cao'fu'ren
曹冠,cao'guan
曹景宗,cao'jing'zong
曹良史,cao'liang'shi
曹稆孙,cao'lv'sun
曹丕,cao'pi
曹生,cao'sheng
曹松,cao'song
曹唐,cao'tang
曹文姬,cao'wen'ji
曹希蕴,cao'xi'yun
曹修古,cao'xiu'gu
曹雪芹,cao'xue'qin
曹学佺,cao'xue'quan
曹勋,cao'xun
曹彦约,cao'yan'yue
曹邺,cao'ye
曹遇,cao'yu
曹邍,cao'yuan
曹宰,cao'zai
曹植,cao'zhi
曹著,cao'zhu
曹组,cao'zu
岑参,cen'shen
岑文本,cen'wen'ben
岑羲,cen'xi
曾布,ceng'bu
曾崇范妻,ceng'chong'fan'qi
曾逮,ceng'dai
曾诞,ceng'dan
曾觌,ceng'di
曾栋,ceng'dong
曾惇,ceng'dun
曾宏正,ceng'hong'zheng
曾几,ceng'ji
曾开国,ceng'kai'guo
曾揆,ceng'kui
曾隶,ceng'li
曾麻几,ceng'ma'ji
曾乾曜,ceng'qian'yao
曾晞颜,ceng'xi'yan
曾协,ceng'xie
曾寅孙,ceng'yin'sun
曾纡,ceng'yu
曾寓轩,ceng'yu'xuan
曾原郕,ceng'yuan'cheng
曾原一,ceng'yuan'yi
曾允元,ceng'yun'yuan
曾慥,ceng'zao
曾肇,ceng'zhao
曾中思,ceng'zhong'si
查荎,cha'chi
查文徽,cha'wen'hui
柴夔,chai'kui
柴宿,chai'su
柴望,chai'wang
柴元彪,chai'yuan'biao
禅峰,chan'feng
长安中鬼,chang'an'zhong'gui
常楚老,chang'chu'lao
常达,chang'da
畅当,chang'dang
常非月,chang'fei'yue
常衮,chang'gun
常浩,chang'hao
常建,chang'jian
常理,chang'li
长屋,chang'wu
长须国驸,chang'xu'guo'fu
常雅,chang'ya
常沂,chang'yi
畅诸,chang'zhu
晁补之,chao'bu'zhi
晁采,chao'cai
晁冲之,chao'chong'zhi
晁端礼,chao'duan'li
晁公武,chao'gong'wu
朝衡,chao'heng
晁说之,chao'shuo'zhi
车缅,che'mian
车胤,che'yin
陈黯,chen'an
陈璧,chen'bi
陈标,chen'biao
沉彬,chen'bin
陈秉文,chen'bing'wen
陈草阁,chen'cao'ge
陈策,chen'ce
陈昌言,chen'chang'yan
陈乘,chen'cheng
陈成之,chen'cheng'zhi
陈琡,chen'chu
陈从古,chen'cong'gu
陈璀,chen'cui
陈存,chen'cun
陈达叟,chen'da'sou
陈德武,chen'de'wu
陈东,chen'dong
陈东甫,chen'dong'fu
陈璠,chen'fan
陈讽,chen'feng
陈逢辰,chen'feng'chen
陈凤仪,chen'feng'yi
陈复休,chen'fu'xiu
陈宫妃嫔,chen'gong'fei'pin
陈恭尹,chen'gong'yin
