摆动指标,bai'dong'zhi'biao
白糖,bai'tang
白糖指数,bai'tang'zhi'shu
白糖主力,bai'tang'zhu'li
比率,bi'lv
变盘,bian'pan
波段,bo'duan
波浪,bo'lang
波浪理论,bo'lang'li'lun
不破,bu'po
不上不下,bu'shang'bu'xia
长期,chang'qi
长线,chang'xian
炒单,chao'dan
成交,cheng'jiao
成交量,cheng'jiao'liang
持仓,chi'cang
持仓量,chi'cang'liang
冲高,chong'gao
冲过,chong'guo
冲破,chong'po
出局,chu'ju
创低,chuang'di
创高,chuang'gao
次低,ci'di
次高,ci'gao
打漏,da'lou
单边势,dan'bian'shi
单边市,dan'bian'shi
当期,dang'qi
到期,dao'qi
低点,di'dian
吊锤儿,diao'chui'er
吊颈,diao'jing
跌不动,die'bu'dong
跌不了,die'bu'liao
跌势,die'shi
跌涨跌跌,die'zhang'die'die
豆类,dou'lei
豆粕指数,dou'po'zhi'shu
豆粕主力,dou'po'zhu'li
豆一指数,dou'yi'zhi'shu
豆一主力,dou'yi'zhu'li
豆油指数,dou'you'zhi'shu
豆油主力,dou'you'zhu'li
短炒,duan'chao
短多平仓,duan'duo'ping'cang
短空平仓,duan'kong'ping'cang
短期,duan'qi
短缺,duan'que
短视,duan'shi
短线,duan'xian
多单,duo'dan
多单平仓,duo'dan'ping'cang
反转,fan'zhuan
费氏,fei'shi
费氏比率,fei'shi'bi'lv
费氏时间,fei'shi'shi'jian
费氏时空,fei'shi'shi'kong
费氏数,fei'shi'shu
费氏线,fei'shi'xian
高低点,gao'di'dian
高点,gao'dian
高位,gao'wei
隔夜,ge'ye
共震,gong'zhen
股指期货,gu'zhi'qi'huo
灌水园,guan'shui'yuan
观望,guan'wang
过滤,guo'lv
横盘,heng'pan
沪胶,hu'jiao
沪胶指数,hu'jiao'zhi'shu
沪胶主力,hu'jiao'zhu'li
沪金,hu'jin
沪金指数,hu'jin'zhi'shu
沪铝,hu'lv
沪铝指数,hu'lv'zhi'shu
护盘,hu'pan
沪铜,hu'tong
沪铜指数,hu'tong'zhi'shu
沪铜主力,hu'tong'zhu'li
沪锌,hu'xin
沪锌指数,hu'xin'zhi'shu
沪锌主力,hu'xin'zhu'li
回撤,hui'che
回抽,hui'chou
回调,hui'tiao
级别,ji'bie
机构,ji'gou
价量,jia'liang
假突破,jia'tu'po
胶多单开仓,jiao'duo'dan'kai'cang
胶多单平仓,jiao'duo'dan'ping'cang
胶空单开仓,jiao'kong'dan'kai'cang
胶空单平仓,jiao'kong'dan'ping'cang
胶卖出止损,jiao'mai'chu'zhi'sun
胶买入止损,jiao'mai'ru'zhi'sun
交易,jiao'yi
交易人,jiao'yi'ren
交易日,jiao'yi'ri
交易者,jiao'yi'zhe
结构,jie'gou
节气线,jie'qi'xian
今天,jin'tian
金源,jin'yuan
金源小鱼,jin'yuan'xiao'yu
金源小鱼期货论坛,jin'yuan'xiao'yu'qi'huo'lun'tan
精通,jing'tong
精铜,jing'tong
就是,jiu'shi
就算,jiu'suan
开仓,kai'cang
开盘,kai'pan
开盘价,kai'pan'jia
看盘,kan'pan
看情况,kan'qing'kuang
空单平仓,kong'dan'ping'cang
扩仓,kuo'cang
连豆,lian'dou
两档,liang'dang
聊天,liao'tian
临界,lin'jie
轮动,lun'dong
伦敦,lun'dun
伦敦金,lun'dun'jin
伦敦铝,lun'dun'lv
伦敦镍,lun'dun'nie
伦敦铜,lun'dun'tong
伦敦锌,lun'dun'xin
论坛,lun'tan
伦铜,lun'tong
买开,mai'kai
卖开,mai'kai
买平,mai'ping
卖平,mai'ping
美豆指数,mei'dou'zhi'shu
没有,mei'you
美元,mei'yuan
美元指数,mei'yuan'zhi'shu
盘感,pan'gan
品种,pin'zhong
平仓,ping'cang
评估,ping'gu
期货人,qi'huo'ren
期货数据更新,qi'huo'shu'ju'geng'xin
齐涨共跌,qi'zhang'gong'die
前低,qian'di
前高,qian'gao
强麦,qiang'mai
强麦指数,qiang'mai'zhi'shu
情况下,qing'kuang'xia
趋势线,qu'shi'xian
燃油指数,ran'you'zhi'shu
燃油主力,ran'you'zhu'li
日胶指数,ri'jiao'zhi'shu
日内,ri'nei
日图,ri'tu
日线图,ri'xian'tu
入市,ru'shi
弱势,ruo'shi
三重过滤,san'chong'guo'lv
三角形,san'jiao'xing
扫盘,sao'pan
杀跌,sha'die
上轨,shang'gui
上破,shang'po
上探,shang'tan
上提,shang'ti
上涨,shang'zhang
是啊,shi'a
市场,shi'chang
是的,shi'de
时间周期,shi'jian'zhou'qi
势态,shi'tai
实战,shi'zhan
收储,shou'chu
收盘,shou'pan
收盘价,shou'pan'jia
死叉,si'cha
似破非破,si'po'fei'po
塑料,su'liao
塑料多单开仓,su'liao'duo'dan'kai'cang
塑料多单平仓,su'liao'duo'dan'ping'cang
塑料空单开仓,su'liao'kong'dan'kai'cang
塑料空单平仓,su'liao'kong'dan'ping'cang
塑料指数,su'liao'zhi'shu
塑料主力,su'liao'zhu'li
锁仓,suo'cang
天胶,tian'jiao
铜多单开仓,tong'duo'dan'kai'cang
铜多单平仓,tong'duo'dan'ping'cang
铜空单开仓,tong'kong'dan'kai'cang
铜空单平仓,tong'kong'dan'ping'cang
通盘,tong'pan
投机,tou'ji
头肩底,tou'jian'di
头肩顶,tou'jian'ding
投资,tou'zi
投资人,tou'zi'ren
投资者,tou'zi'zhe
图片,tu'pian
突破,tu'po
吞吃,tun'chi
吞没,tun'mo
托盘,tuo'pan
晚上好,wan'shang'hao
系统,xi'tong
下轨,xia'gui
下破,xia'po
下探,xia'tan
线图,xian'tu
箱体,xiang'ti
小时图,xiao'shi'tu
小阳,xiao'yang
小阴,xiao'yin
谢谢兄弟,xie'xie'xiong'di
锌多单开仓,xin'duo'dan'kai'cang
锌多单平仓,xin'duo'dan'ping'cang
锌空单开仓,xin'kong'dan'kai'cang
锌空单平仓,xin'kong'dan'ping'cang
心态,xin'tai
形态,xing'tai
压力线,ya'li'xian
阳阴阳阳,yang'yin'yang'yang
硬麦指数,ying'mai'zhi'shu
预测,yu'ce
玉米指数,yu'mi'zhi'shu
遇阻,yu'zu
月图,yue'tu
月线图,yue'xian'tu
早上好,zao'shang'hao
涨不动,zhang'bu'dong
涨势,zhang'shi
震荡市,zhen'dang'shi
郑棉,zheng'mian
郑棉指数,zheng'mian'zhi'shu
郑糖,zheng'tang
郑州,zheng'zhou
支撑,zhi'cheng
支撑位,zhi'cheng'wei
支撑线,zhi'cheng'xian
指数,zhi'shu
止损,zhi'sun
止赢,zhi'ying
中期,zhong'qi
中线,zhong'xian
周末看图说话,zhou'mo'kan'tu'shuo'hua
周期,zhou'qi
周图,zhou'tu
周线,zhou'xian
周线图,zhou'xian'tu
筑底,zhu'di
主力,zhu'li
转折,zhuan'zhe
追多,zhui'duo
追空,zhui'kong
追势,zhui'shi
综合铝,zong'he'lv
综合镍,zong'he'nie
综合铅,zong'he'qian
综合铜,zong'he'tong
综合锡,zong'he'xi
综合锌,zong'he'xin
棕榈油,zong'lv'you
棕榈主力,zong'lv'zhu'li
走势,zou'shi
阻力,zu'li
阻力位,zu'li'wei
最低,zui'di
最低价,zui'di'jia
最高,zui'gao
最高价,zui'gao'jia
做空,zuo'kong
