安全带,an'quan'dai
安全岛,an'quan'dao
拔桩机,ba'zhuang'ji
八字形桥台,ba'zi'xing'qiao'tai
拌和法,ban'huo'fa
板桥,ban'qiao
半填半挖式路基,ban'tian'ban'wa'shi'lu'ji
半压力式涵洞,ban'ya'li'shi'han'dong
半永久性桥,ban'yong'jiu'xing'qiao
饱和面干吸水率试模,bao'he'mian'gan'xi'shui'lv'shi'mo
保护层,bao'hu'ceng
爆破漏斗,bao'po'lou'dou
爆破作用圈,bao'po'zuo'yong'quan
崩塌,beng'ta
比较线,bi'jiao'xian
边沟,bian'gou
边坡,bian'po
变坡点,bian'po'dian
边坡平台,bian'po'ping'tai
边坡坡度,bian'po'po'du
变速车道,bian'su'che'dao
边滩,bian'tan
变形,bian'xing
标准工业粘度仪,biao'zhun'gong'ye'nian'du'yi
泊松比,bo'song'bi
部分苜蓿页形立体交叉,bu'fen'mu'xu'ye'xing'li'ti'jiao'cha
补强层,bu'qiang'ceng
糙率,cao'lv
测点,ce'dian
侧向余宽,ce'xiang'yu'kuan
测站,ce'zhan
层铺法,ceng'pu'fa
铲运机,chan'yun'ji
厂拌法,chang'ban'fa
长杆贯入仪,chang'gan'guan'ru'yi
超车视距,chao'che'shi'ju
超高,chao'gao
超高缓和段,chao'gao'huan'he'duan
潮汐频率,chao'xi'pin'lv
车道,che'dao
车间净距,che'jian'jing'ju
车辆荷载标准,che'liang'he'zai'biao'zhun
车辆事故率,che'liang'shi'gu'lv
车流,che'liu
车流密度,che'liu'mi'du
车头间距,che'tou'jian'ju
车头时距,che'tou'shi'ju
车辙,che'zhe
车辙试验,che'zhe'shi'yan
沉降,chen'jiang
沉井基础,chen'jing'ji'chu
沉陷,chen'xian
承台,cheng'tai
承载板,cheng'zai'ban
承载板试验,cheng'zai'ban'shi'yan
冲刷,chong'shua
冲刷系数,chong'shua'xi'shu
冲突点,chong'tu'dian
稠度,chou'du
稠度界限,chou'du'jie'xian
初测,chu'ce
除根机,chu'gen'ji
触探试验,chu'tan'shi'yan
出行,chu'xing
除雪机,chu'xue'ji
传力杆,chuan'li'gan
次高级路面,ci'gao'ji'lu'mian
错车道,cuo'che'dao
错台,cuo'tai
错位,cuo'wei
错位交叉,cuo'wei'jiao'cha
大修,da'xiu
大中修周期,da'zhong'xiu'zhou'qi
打桩机,da'zhuang'ji
单斗挖掘机,dan'dou'wa'jue'ji
单向推力墩,dan'xiang'tui'li'dun
挡土墙,dang'tu'qiang
倒虹吸涵,dao'hong'xi'han
道口,dao'kou
导流岛,dao'liu'dao
道路,dao'lu
导线,dao'xian
导线测量,dao'xian'ce'liang
等高线,deng'gao'xian
等级公路,deng'ji'gong'lu
地点速度,di'dian'su'du
地基,di'ji
低级路面,di'ji'lu'mian
地沥青,di'li'qing
地貌,di'mao
地面高程,di'mian'gao'cheng
地面控制点测量,di'mian'kong'zhi'dian'ce'liang
地面立体摄影测量,di'mian'li'ti'she'ying'ce'liang
地物,di'wu
地形,di'xing
地形测量,di'xing'ce'liang
地形图,di'xing'tu
垫层,dian'ceng
点控制,dian'kong'zhi
调查,diao'cha
跌水,die'shui
丁坝,ding'ba
定测,ding'ce
定期养护,ding'qi'yang'hu
顶入法,ding'ru'fa
顶推法,ding'tui'fa
定线,ding'xian
定向式立体交叉,ding'xiang'shi'li'ti'jiao'cha
冻土,dong'tu
断背曲线,duan'bei'qu'xian
断链,duan'lian
断面,duan'mian
墩帽,dun'mao
墩身,dun'shen
多年冻土,duo'nian'dong'tu
耳墙,er'qiang
翻斗车,fan'dou'che
反光标志,fan'guang'biao'zhi
反光路钮,fan'guang'lu'niu
翻浆,fan'jiang
反射裂缝,fan'she'lie'feng
反向曲线,fan'xiang'qu'xian
反压护道,fan'ya'hu'dao
泛油,fan'you
防护栅,fang'hu'shan
防沙设施,fang'sha'she'shi
方位角,fang'wei'jiao
方向角,fang'xiang'jiao
防雪设施,fang'xue'she'shi
分道转弯式交叉口,fen'dao'zhuan'wan'shi'jiao'cha'kou
分割带,fen'ge'dai
分离式立体交叉,fen'li'shi'li'ti'jiao'cha
分离式行车道,fen'li'shi'xing'che'dao
分流,fen'liu
粉煤灰,fen'mei'hui
封层,feng'ceng
复拌沥青混合料摊铺机,fu'ban'li'qing'hun'he'liao'tan'pu'ji
扶臂式挡土墙,fu'bi'shi'dang'tu'qiang
扶壁式桥台,fu'bi'shi'qiao'tai
辅道,fu'dao
腹拱,fu'gong
浮桥,fu'qiao
复曲线,fu'qu'xian
辐射式公路,fu'she'shi'gong'lu
浮运架桥法,fu'yun'jia'qiao'fa
辅助标志,fu'zhu'biao'zhi
附着力,fu'zhuo'li
盖板涵,gai'ban'han
盖梁,gai'liang
改善工程,gai'shan'gong'cheng
干线公路,gan'xian'gong'lu
干硬性混凝土,gan'ying'xing'hun'ning'tu
刚度,gang'du
杠杆完成仪,gang'gan'wan'cheng'yi
刚构,gang'gou
刚构桥,gang'gou'qiao
钢绞线,gang'jiao'xian
钢筋,gang'jin
钢筋混凝土,gang'jin'hun'ning'tu
钢筋混凝土桥,gang'jin'hun'ning'tu'qiao
钢筋拉伸机,gang'jin'la'shen'ji
钢筋冷拔机,gang'jin'leng'ba'ji
钢筋冷镦机,gang'jin'leng'dun'ji
钢筋冷拉机,gang'jin'leng'la'ji
钢筋冷轧机,gang'jin'leng'zha'ji
钢筋切断机,gang'jin'qie'duan'ji
钢筋调直机,gang'jin'tiao'zhi'ji
钢筋弯曲机,gang'jin'wan'qu'ji
钢桥,gang'qiao
刚性路面,gang'xing'lu'mian
高程,gao'cheng
高级路面,gao'ji'lu'mian
高架桥,gao'jia'qiao
高强钢丝,gao'qiang'gang'si
高强螺栓,gao'qiang'luo'shuan
高速公路,gao'su'gong'lu
高原纵坡折减,gao'yuan'zong'po'zhe'jian
隔水层,ge'shui'ceng
隔温层,ge'wen'ceng
隔音墙,ge'yin'qiang
耕耘机,geng'yun'ji
工程车,gong'cheng'che
拱涵,gong'han
公路,gong'lu
公路等级,gong'lu'deng'ji
公路服务水平,gong'lu'fu'wu'shui'ping
公路工程,gong'lu'gong'cheng
公路建筑限界,gong'lu'jian'zhu'xian'jie
公路交通标志,gong'lu'jiao'tong'biao'zhi
公路交通规则,gong'lu'jiao'tong'gui'ze
公路景观设计,gong'lu'jing'guan'she'ji
公路路线,gong'lu'lu'xian
公路桥,gong'lu'qiao
公路网,gong'lu'wang
公路网密度,gong'lu'wang'mi'du
公路线形,gong'lu'xian'xing
公路用地,gong'lu'yong'di
公路自然区划,gong'lu'zi'ran'qu'hua
拱桥,gong'qiao
拱圈,gong'quan
拱上侧墙,gong'shang'ce'qiang
拱上结构,gong'shang'jie'gou
公铁两用桥,gong'tie'liang'yong'qiao
工业废渣,gong'ye'fei'zha
工业废渣基层,gong'ye'fei'zha'ji'ceng
拱胀,gong'zhang
固定支座,gu'ding'zhi'zuo
挂车,gua'che
挂梁,gua'liang
管涵,guan'han
贯入法,guan'ru'fa
管网,guan'wang
管柱基础,guan'zhu'ji'chu
国道,guo'dao
国家干线公路,guo'jia'gan'xian'gong'lu
过境交通,guo'jing'jiao'tong
过水断面,guo'shui'duan'mian
过水路面,guo'shui'lu'mian
涵洞,han'dong
含水量,han'shui'liang
含油率,han'you'lv
绗架,hang'jia
航空摄影测量,hang'kong'she'ying'ce'liang
航摄基线,hang'she'ji'xian
航摄相片判读,hang'she'xiang'pian'pan'du
好路率,hao'lu'lv
河槽,he'cao
河槽宽度,he'cao'kuan'du
合成坡度,he'cheng'po'du
河床,he'chuang
河床比降,he'chuang'bi'jiang
河床宽度,he'chuang'kuan'du
合流,he'liu
河滩,he'tan
和易性,he'yi'xing
荷载,he'zai
荷载组合,he'zai'zu'he
横断面测量,heng'duan'mian'ce'liang
横缝,heng'feng
横梁,heng'liang
衡重式挡土墙,heng'zhong'shi'dang'tu'qiang
洪水调查,hong'shui'diao'cha
洪水频率,hong'shui'pin'lv
后张法,hou'zhang'fa
护栏,hu'lan
护坡,hu'po
护坡道,hu'po'dao
护筒,hu'tong
互通式立体交叉,hu'tong'shi'li'ti'jiao'cha
护桩,hu'zhuang
划标线机,hua'biao'xian'ji
滑坡,hua'po
环道试验,huan'dao'shi'yan
缓和坡段,huan'he'po'duan
缓和曲线,huan'he'qu'xian
缓凝剂,huan'ning'ji
环形公路,huan'xing'gong'lu
环形交叉,huan'xing'jiao'cha
环形立体交叉,huan'xing'li'ti'jiao'cha
黄土,huang'tu
回砂,hui'sha
汇水面积,hui'shui'mian'ji
回弹模量,hui'tan'mo'liang
回弹弯沉,hui'tan'wan'chen
回填土,hui'tian'tu
回头曲线,hui'tou'qu'xian
混合交通,hun'he'jiao'tong
混合料,hun'he'liao
活动支座,huo'dong'zhi'zuo
基本通行能力,ji'ben'tong'xing'neng'li
基层,ji'ceng
基础,ji'chu
集料,ji'liao
急流槽,ji'liu'cao
级配,ji'pei
级配路面,ji'pei'lu'mian
级配曲线,ji'pei'qu'xian
击实试验,ji'shi'shi'yan
击实仪,ji'shi'yi
集水面积,ji'shui'mian'ji
计算矢高,ji'suan'shi'gao
计算行车速度,ji'suan'xing'che'su'du
基线,ji'xian
极限最小平曲线半径,ji'xian'zui'xiao'ping'qu'xian'ban'jing
假缝,jia'feng
加固,jia'gu
加固地基,jia'gu'di'ji
加宽缓和段,jia'kuan'huan'he'duan
加铺转角式交叉口,jia'pu'zhuan'jiao'shi'jiao'cha'kou
加气剂,jia'qi'ji
架桥机,jia'qiao'ji
加速车道,jia'su'che'dao
加州承载比,jia'zhou'cheng'zai'bi
加桩,jia'zhuang
减水剂,jian'shui'ji
减速车道,jian'su'che'dao
简支梁,jian'zhi'liang
简支梁桥,jian'zhi'liang'qiao
交叉口出口,jiao'cha'kou'chu'kou
交叉口进口,jiao'cha'kou'jin'kou
交点,jiao'dian
交通安全设施,jiao'tong'an'quan'she'shi
交通岛,jiao'tong'dao
交通调查,jiao'tong'diao'cha
交通发生,jiao'tong'fa'sheng
交通分部,jiao'tong'fen'bu
交通分配,jiao'tong'fen'pei
交通公害,jiao'tong'gong'hai
交通规则,jiao'tong'gui'ze
交通监视系统,jiao'tong'jian'shi'xi'tong
交通结构,jiao'tong'jie'gou
交通控制,jiao'tong'kong'zhi
交通量,jiao'tong'liang
交通量调查,jiao'tong'liang'diao'cha
交通量观测站,jiao'tong'liang'guan'ce'zhan
交通流,jiao'tong'liu
交通流理论,jiao'tong'liu'li'lun
交通事故,jiao'tong'shi'gu
交通事故率,jiao'tong'shi'gu'lv
交通信号,jiao'tong'xin'hao
交通信号灯,jiao'tong'xin'hao'deng
交通预测,jiao'tong'yu'ce
交通组成,jiao'tong'zu'cheng
交织,jiao'zhi
交织路段,jiao'zhi'lu'duan
结合料,jie'he'liao
截水沟,jie'shui'gou
借土,jie'tu
劲度,jin'du
紧急电话,jin'ji'dian'hua
禁令标志,jin'ling'biao'zhi
警告标志,jing'gao'biao'zhi
径流,jing'liu
境内交通,jing'nei'jiao'tong
就地灌注桩,jiu'di'guan'zhu'zhuang
绝对基面,jue'dui'ji'mian
竣工测量,jun'gong'ce'liang
开启桥,kai'qi'qiao
抗裂度,kang'lie'du
可变荷载,ke'bian'he'zai
可变信息标志,ke'bian'xin'xi'biao'zhi
颗粒组成,ke'li'zu'cheng
可能通行能力,ke'neng'tong'xing'neng'li
