不持有,bu'chi'you
剁手族,duo'shou'zu
负面磁场,fu'mian'ci'chang
负面能量,fu'mian'neng'liang
感恩空间,gan'en'kong'jian
类友法则,lei'you'fa'ze
破窗理论,po'chuang'li'lun
撒盐,sa'yan
扫除力,sao'chu'li
舍不得症候群,she'bu'de'zheng'hou'qun
囤货族,tun'huo'zu
拖延症,tuo'yan'zheng
相亲控,xiang'qin'kong
欲望无穷病,yu'wang'wu'qiong'bing
正面磁场,zheng'mian'ci'chang
正面能量,zheng'mian'neng'liang
