爱凑热闹,ai'cou're'nao
艾实,ai'shi
暗黑殿堂,an'hei'dian'tang
安龙高地,an'long'gao'di
安文逸,an'wen'yi
暗无天日,an'wu'tian'ri
暗夜斗篷,an'ye'dou'peng
暗夜流光索尔,an'ye'liu'guang'suo'er
暗夜猫妖,an'ye'mao'yao
暗影烈焰,an'ying'lie'yan
暗影陷阱,an'ying'xian'jing
暗月光斩,an'yue'guang'zhan
暗阵,an'zhen
傲风残花,ao'feng'can'hua
奥玛尔山,ao'ma'er'shan
傲天斗法,ao'tian'dou'fa
把持术,ba'chi'shu
拔刀斩,ba'dao'zhan
霸皇拳,ba'huang'quan
拔击,ba'ji
巴雷特狙击,ba'lei'te'ju'ji
霸气雄图,ba'qi'xiong'tu
霸碎,ba'sui
霸图,ba'tu
霸王连拳,ba'wang'lian'quan
八音符,ba'yin'fu
白光剑,bai'guang'jian
百花,bai'hua
百花谷,bai'hua'gu
百花缭乱,bai'hua'liao'luan
百龙流星打,bai'long'liu'xing'da
白莫,bai'mo
白庶,bai'shu
白言飞,bai'yan'fei
白夜黑昼,bai'ye'hei'zhou
搬山,ban'shan
半透明,ban'tou'ming
暴风雪,bao'feng'xue
包荣兴,bao'rong'xing
爆缩式手雷,bao'suo'shi'shou'lei
包子入侵,bao'zi'ru'qin
背灯弹,bei'deng'dan
贝克克,bei'ke'ke
北桥法师莫丹克,bei'qiao'fa'shi'mo'dan'ke
背身缚首术,bei'shen'fu'shou'shu
背摔,bei'shuai
崩拳,beng'quan
崩山击,beng'shan'ji
笔言飞,bi'yan'fei
鞭挞,bian'ta
冰创波动阵,bing'chuang'bo'dong'zhen
冰弹,bing'dan
冰封鬼斩,bing'feng'gui'zhan
冰魂,bing'hun
冰狼,bing'lang
冰墙,bing'qiang
冰属性炫纹,bing'shu'xing'xuan'wen
冰霜波动剑,bing'shuang'bo'dong'jian
冰霜赛恩,bing'shuang'sai'en
冰霜森林,bing'shuang'sen'lin
冰霜雪球,bing'shuang'xue'qiu
冰线,bing'xian
冰雨,bing'yu
冰渣,bing'zha
不动如山,bu'dong'ru'shan
布尔斯镇,bu'er'si'zhen
捕猎者,bu'lie'zhe
残忍静默,can'ren'jing'mo
残影,can'ying
操纵术,cao'zong'shu
曾信然,ceng'xin'ran
长河落日,chang'he'luo'ri
常先,chang'xian
潮汐,chao'xi
车前子,che'qian'zi
陈果,chen'guo
晨露,chen'lu
程泰,cheng'tai
赤云密坛,chi'yun'mi'tan
冲锋,chong'feng
冲拳,chong'quan
冲撞刺击,chong'zhuang'ci'ji
楚云秀,chu'yun'xiu
穿心刺,chuan'xin'ci
春易老,chun'yi'lao
磁场线圈,ci'chang'xian'quan
刺弹炮,ci'dan'pao
刺客,ci'ke
刺藤,ci'teng
脆豆,cui'dou
催眠,cui'mian
大回复术,da'hui'fu'shu
大戟,da'ji
大漠孤烟,da'mo'gu'yan
大治愈术,da'zhi'yu'shu
戴妍琦,dai'yan'qi
丹心,dan'xin
弹药扩充,dan'yao'kuo'chong
弹药专家,dan'yao'zhuan'jia
刀刀拔刀,dao'dao'ba'dao
刀魂,dao'hun
盗贼,dao'zei
倒斩,dao'zhan
德里罗,de'li'luo
灯花夜,deng'hua'ye
地雷震,di'lei'zhen
地裂波动剑,di'lie'bo'dong'jian
地裂斩,di'lie'zhan
第十区,di'shi'qu
地心斩首术,di'xin'zhan'shou'shu
电光波动阵,dian'guang'bo'dong'zhen
电子眼,dian'zi'yan
冬虫夏草,dong'chong'xia'cao
斗破山河,dou'po'shan'he
斗神,dou'shen
斗者意志,dou'zhe'yi'zhi
独活,du'huo
杜明,du'ming
毒牙沼泽,du'ya'zhao'ze
毒云陷阱,du'yun'xian'jing
毒针,du'zhen
断灭,duan'mie
盾反,dun'fan
盾击,dun'ji
多拉克竞技场,duo'la'ke'jing'ji'chang
堕落天使,duo'luo'tian'shi
耳光,er'guang
法不容情,fa'bu'rong'qing
翻滚,fan'gun
反坦克炮,fan'tan'ke'pao
防风,fang'feng
方明华,fang'ming'hua
方锐,fang'rui
方士谦,fang'shi'qian
方学才,fang'xue'cai
飞刀剑,fei'dao'jian
飞火流星,fei'huo'liu'xing
飞扬,fei'yang
焚山,fen'shan
分水刺,fen'shui'ci
分烟景,fen'yan'jing
风暴反击,feng'bao'fan'ji
风城烟雨,feng'cheng'yan'yu
封禁符,feng'jin'fu
风景杀,feng'jing'sha
风卷流云,feng'juan'liu'yun
风刻,feng'ke
锋芒慧剑,feng'mang'hui'jian
逢山鬼泣,feng'shan'gui'qi
风梳烟沐,feng'shu'yan'mu
伏虎腾翔,fu'hu'teng'xiang
复活术,fu'huo'shu
浮空弹,fu'kong'dan
伏龙翔天,fu'long'xiang'tian
腐蚀术,fu'shi'shu
拂晓,fu'xiao
盖才捷,gai'cai'jie
感电式手雷,gan'dian'shi'shou'lei
钢筋铁骨,gang'jin'tie'gu
高飞脚,gao'fei'jiao
高杰,gao'jie
高踢,gao'ti
高英杰,gao'ying'jie
格挡,ge'dang
隔河仙,ge'he'xian
割喉,ge'hou
格林机枪,ge'lin'ji'qiang
