阿归养血颗粒,a'gui'yang'xue'ke'li
阿莫西林胶囊,a'mo'xi'lin'jiao'nang
阿奇霉素片,a'qi'mei'su'pian
阿司匹林片,a'si'pi'lin'pian
阿昔洛韦膏,a'xi'luo'wei'gao
安乃近片,an'nai'jin'pian
安谓片,an'wei'pian
奥美拉唑胶囊,ao'mei'la'zuo'jiao'nang
巴米儿片,ba'mi'er'pian
板蓝根冲剂,ban'lan'gen'chong'ji
斑马眼水,ban'ma'yan'shui
保和丸,bao'he'wan
苯已哌定片,ben'yi'pai'ding'pian
丙倍软膏,bing'bei'ruan'gao
病毒灵片,bing'du'ling'pian
丙酸倍氯米松,bing'suan'bei'lv'mi'song
补脾益肠丸,bu'pi'yi'chang'wan
补肾强身片,bu'shen'qiang'shen'pian
补肾养血丸,bu'shen'yang'xue'wan
苍耳子鼻炎胶囊,cang'er'zi'bi'yan'jiao'nang
草珊瑚含片,cao'shan'hu'han'pian
陈香路白路,chen'xiang'lu'bai'lu
齿痛宁,chi'tong'ning
醋酸肤轻松,cu'suan'fu'qing'song
大黄苏打片,da'huang'su'da'pian
达克宁栓,da'ke'ning'shuan
达克宁霜,da'ke'ning'shuang
大青叶片,da'qing'ye'pian
地奥心血康胶囊,di'ao'xin'xue'kang'jiao'nang
颠茄片,dian'qie'pian
独一味胶囊,du'yi'wei'jiao'nang
二甲双呱,er'jia'shuang'gua
法莫替丁片,fa'mo'ti'ding'pian
芬必得胶囊,fen'bi'dei'jiao'nang
复方氨芬烷安片,fu'fang'an'fen'wan'an'pian
复方丹参滴丸,fu'fang'dan'shen'di'wan
复方丹参片,fu'fang'dan'shen'pian
复方阿胶浆,fu'fang'e'jiao'jiang
复方甘草片,fu'fang'gan'cao'pian
复方黄连素片,fu'fang'huang'lian'su'pian
复方降压胶囊,fu'fang'jiang'ya'jiao'nang
复方金银花,fu'fang'jin'yin'hua
复方新诺明片,fu'fang'xin'nuo'ming'pian
附桂骨痛胶囊,fu'gui'gu'tong'jiao'nang
妇科千金片,fu'ke'qian'jin'pian
妇科调经片,fu'ke'tiao'jing'pian
妇科止带片,fu'ke'zhi'dai'pian
呋喃旦定片,fu'nan'dan'ding'pian
氟哌酸胶囊,fu'pai'suan'jiao'nang
肤轻松软膏,fu'qing'song'ruan'gao
妇炎康,fu'yan'kang
妇炎康片,fu'yan'kang'pian
钙尔奇成,gai'er'qi'cheng
钙尔奇小,gai'er'qi'xiao
肝必复胶囊,gan'bi'fu'jiao'nang
干酵母,gan'jiao'mu
感康片,gan'kang'pian
感冒安片,gan'mao'an'pian
感冒咳嗽颗粒,gan'mao'ke'sou'ke'li
感冒清胶囊,gan'mao'qing'jiao'nang
感冒清热冲剂,gan'mao'qing're'chong'ji
感冒通,gan'mao'tong
感冒通片,gan'mao'tong'pian
肝泰乐片,gan'tai'le'pian
宫血宁胶囊,gong'xue'ning'jiao'nang
狗皮膏,gou'pi'gao
骨刺平片,gu'ci'ping'pian
谷维素片,gu'wei'su'pian
关节止痛膏,guan'jie'zhi'tong'gao
归龙筋骨宁片,gui'long'jin'gu'ning'pian
归脾丸,gui'pi'wan
果导片,guo'dao'pian
果胶必胶囊,guo'jiao'bi'jiao'nang
还少丹,hai'shao'dan
汉桃叶片,han'tao'ye'pian
红霉素软膏,hong'mei'su'ruan'gao
红霉素眼膏,hong'mei'su'yan'gao
喉舒宁片,hou'shu'ning'pian
猴头健胃灵胶囊,hou'tou'jian'wei'ling'jiao'nang
护彤颗粒,hu'tong'ke'li
花红片,hua'hong'pian
化痰片,hua'tan'pian
槐角丸,huai'jiao'wan
环丙沙星片,huan'bing'sha'xing'pian
黄连上清丸,huang'lian'shang'qing'wan
活络油,huo'luo'you
藿香正气水,huo'xiang'zheng'qi'shui
肌肝片,ji'gan'pian
鸡内金片,ji'nei'jin'pian
甲灭酸胶囊,jia'mie'suan'jiao'nang
甲硝唑片,jia'xiao'zuo'pian
健脾生血颗粒,jian'pi'sheng'xue'ke'li
健脾丸,jian'pi'wan
健胃消食片,jian'wei'xiao'shi'pian
降压号,jiang'ya'hao
结肠炎丸,jie'chang'yan'wan
洁尔阴洗液,jie'er'yin'xi'ye
金胆片,jin'dan'pian
金鸡虎补丸,jin'ji'hu'bu'wan
金鸡片,jin'ji'pian
金菊利咽口含片,jin'ju'li'yan'kou'han'pian
金龙痰咳净,jin'long'tan'ke'jing
金嗓子润喉片,jin'sang'zi'run'hou'pian
卡托普利片,ka'tuo'pu'li'pian
开塞露,kai'sai'lu
抗宫炎片,kang'gong'yan'pian
抗骨增生丸,kang'gu'zeng'sheng'wan
克感敏冲剂,ke'gan'min'chong'ji
克感敏片,ke'gan'min'pian
咳特灵胶囊,ke'te'ling'jiao'nang
咳特灵片,ke'te'ling'pian
口腔溃疡含片,kou'qiang'kui'yang'han'pian
乐力钙胶囊,le'li'gai'jiao'nang
力勃隆片,li'bo'long'pian
利胆排石片,li'dan'pai'shi'pian
利君沙片,li'jun'sha'pian
疬特灵片,li'te'ling'pian
丽珠得乐,li'zhu'de'le
联苯双酯滴丸,lian'ben'shuang'zhi'di'wan
莲芝消炎,lian'zhi'xiao'yan
羚羊感冒片,ling'yang'gan'mao'pian
六经头痛片,liu'jing'tou'tong'pian
六味地黄胶囊,liu'wei'di'huang'jiao'nang
六味地黄丸,liu'wei'di'huang'wan
龙虎人丹,long'hu'ren'dan
龙牡壮骨冲剂,long'mu'zhuang'gu'chong'ji
炉甘石洗剂,lu'gan'shi'xi'ji
罗红霉素胶囊,luo'hong'mei'su'jiao'nang
驴胶补血冲剂,lv'jiao'bu'xue'chong'ji
绿药膏,lv'yao'gao
吗叮啉片,ma'ding'lin'pian
马来酸依那普利片,ma'lai'suan'yi'na'pu'li'pian
麻仁丸,ma'ren'wan
马应龙痔疮软膏,ma'ying'long'zhi'chuang'ruan'gao
脉通胶丸,mai'tong'jiao'wan
慢咽舒宁,man'yan'shu'ning
慢咽舒宁冲剂,man'yan'shu'ning'chong'ji
美宝烧伤膏,mei'bao'shao'shang'gao
灭奥灵片,mie'ao'ling'pian
敏迪片,min'di'pian
摩罗丹,mo'luo'dan
木香顺气丸,mu'xiang'shun'qi'wan
男宝胶囊,nan'bao'jiao'nang
脑乐静,nao'le'jing
脑心舒,nao'xin'shu
脑心舒口服液,nao'xin'shu'kou'fu'ye
脑血栓片,nao'xue'shuan'pian
牛黄消炎片,niu'huang'xiao'yan'pian
暖胃舒乐片,nuan'wei'shu'le'pian
女宝胶囊,nv'bao'jiao'nang
胖得生,pang'de'sheng
皮康霜,pi'kang'shuang
皮康双,pi'kang'shuang
皮康霜膏,pi'kang'shuang'gao
皮康王,pi'kang'wang
皮炎平软膏,pi'yan'ping'ruan'gao
片,pian
平胃丸,ping'wei'wan
七叶神安片,qi'ye'shen'an'pian
前列康片,qian'lie'kang'pian
前列通片,qian'lie'tong'pian
强的松片,qiang'de'song'pian
强力银翘片,qiang'li'yin'qiao'pian
清凉油,qing'liang'you
清咽片感,qing'yan'pian'gan
祛痰灵口服液,qu'tan'ling'kou'fu'ye
去痛片,qu'tong'pian
热毒清片,re'du'qing'pian
人参归睥丸,ren'shen'gui'pi'wan
乳核散结片,ru'he'san'jie'pian
乳癖消片,ru'pi'xiao'pian
乳酸菌素片,ru'suan'jun'su'pian
三黄片,san'huang'pian
三九感冒灵颗粒,san'jiu'gan'mao'ling'ke'li
三九皮炎平,san'jiu'pi'yan'ping
三七化痔丸,san'qi'hua'zhi'wan
三七片,san'qi'pian
三七伤药片,san'qi'shang'yao'pian
山楂丸,shan'zha'wan
伤湿止痛膏,shang'shi'zhi'tong'gao
蛇胆川贝液,she'dan'chuan'bei'ye
麝香壮骨膏,she'xiang'zhuang'gu'gao
伸筋丹胶囊,shen'jin'dan'jiao'nang
参茸蛤蚧保肾丸,shen'rong'ge'jie'bao'shen'wan
神衰果素片,shen'shuai'guo'su'pian
生脉饮,sheng'mai'yin
湿痒洗液,shi'yang'xi'ye
