阿昆娜丝,a'kun'na'si
阿斯卡隆,a'si'ka'long
阿兹特克,a'zi'te'ke
爱莉莎德,ai'li'sha'de
艾扎力,ai'zha'li
安琪蕾涅,an'qi'lei'nie
闇咲逢魔,an'xiao'feng'mo
奥雷欧斯,ao'lei'ou'si
白井黑子,bai'jing'hei'zi
半藏,ban'zang
背刺之刃,bei'ci'zhi'ren
贝积继敏,bei'ji'ji'min
贝罗普,bei'luo'pu
被抛弃者,bei'pao'qi'zhe
避暑地,bi'shu'di
彼亚吉欧,bi'ya'ji'ou
必要恶教会,bi'yao'e'jiao'hui
滨面仕上,bin'mian'shi'shang
不良神父,bu'liang'shen'fu
长点上机学园,chang'dian'shang'ji'xue'yuan
常盘台中学,chang'pan'tai'zhong'xue
潮岸,chao'an
超电磁炮,chao'dian'ci'pao
吵闹灵,chao'nao'ling
超能力,chao'neng'li
初春饰利,chu'chun'shi'li
吹寄制理,chui'ji'zhi'li
春上衿衣,chun'shang'jin'yi
刺突杭剑,ci'tu'hang'jian
大霸星祭,da'ba'xing'ji
大能力,da'neng'li
大圄老师,da'yu'lao'shi
大蜘蛛,da'zhi'zhu
第零圣堂区,di'ling'sheng'tang'qu
低能力,di'neng'li
第七学区,di'qi'xue'qu
第十九学区,di'shi'jiu'xue'qu
第一七七支部,di'yi'qi'qi'zhi'bu
冬川基,dong'chuan'ji
读心能力,du'xin'neng'li
対马,dui'ma
多才能力,duo'cai'neng'li
俄罗斯成教,e'luo'si'cheng'jiao
发火能力,fa'huo'neng'li
发条绷带,fa'tiao'beng'dai
芳川桔梗,fang'chuan'jie'geng
风纪委员,feng'ji'wei'yuan
风斩冰华,feng'zhan'bing'hua
弗兰达,fu'lan'da
钢之手套,gang'zhi'shou'tao
葛利果圣歌队,ge'li'guo'sheng'ge'dui
固法美伟,gu'fa'mei'wei
关所中学,guan'suo'zhong'xue
海军用船上枪,hai'jun'yong'chuan'shang'qiang
黑妻绵流,hei'qi'mian'liu
黑色软泥,hei'se'ruan'ni
红色水手服,hong'se'shui'shou'fu
后方之水,hou'fang'zhi'shui
幻想杀手,huan'xiang'sha'shou
幻想御手,huan'xiang'yu'shou
黄金炼成,huang'jin'lian'cheng
黄泉川爱穗,huang'quan'chuan'ai'sui
火野神作,huo'ye'shen'zuo
建宫斋宇,jian'gong'zhai'yu
歼灭白书,jian'mie'bai'shu
谏早,jian'zao
结标淡希,jie'biao'dan'xi
介旅初矢,jie'lv'chu'shi
精神感应,jing'shen'gan'ying
精神状况救助队,jing'shen'zhuang'kuang'jiu'zhu'dui
驹场利德,ju'chang'li'de
绢旗最爱,juan'qi'zui'ai
君士坦丁大帝之书,jun'shi'tan'ding'da'di'zhi'shu
卡提纳,ka'ti'na
凯尔特十字架,kai'er'te'shi'zi'jia
克劳利,ke'lao'li
克劳力,ke'lao'li
克伦威尔,ke'lun'wei'er
克洛伊洁芙,ke'luo'yi'jie'fu
科学结社,ke'xue'jie'she
空间移动,kong'jian'yi'dong
蓝发耳环,lan'fa'er'huan
朗西丝,lang'xi'si
蕾莎,lei'sha
丽多薇雅,li'duo'wei'ya
莉梅亚,li'mei'ya
镰池和马,lian'chi'he'ma
莲之杖,lian'zhi'zhang
量子变速,liang'zi'bian'su
猎犬部队,lie'quan'bu'dui
铃科百合子,ling'ke'bai'he'zi
灵装,ling'zhuang
六枚羽,liu'mei'yu
柳迫碧美,liu'po'bi'mei
滝壶理后,long'hu'li'hou
龙王之叹息,long'wang'zhi'tan'xi
露琪雅,lu'qi'ya
罗宾汉,luo'bin'han
萝拉,luo'la
萝莲洁蒂,luo'lian'jie'di
罗马正教,luo'ma'zheng'jiao
马场芳郎,ma'chang'fang'lang
麦野沈利,mai'ye'shen'li
美浓部,mei'nong'bu
冥土追魂,ming'tu'zhui'hun
魔法禁书目录,mo'fa'jin'shu'mu'lu
魔法术式,mo'fa'shu'shi
魔女狩猎之王,mo'nv'shou'lie'zhi'wang
某科学的超电磁炮,mou'ke'xue'de'chao'dian'ci'pao
木原数多,mu'yuan'shu'duo
能力追迹,neng'li'zhui'ji
念动力,nian'dong'li
牛深,niu'shen
欧莉安娜,ou'li'an'na
欧露索拉,ou'lu'suo'la
泡浮万彬,pao'fu'wan'bin
偏光能力,pian'guang'neng'li
普罗莉丝,pu'luo'li'si
普索尼,pu'suo'ni
气力绝缘,qi'li'jue'yuan
琪雅丽莎,qi'ya'li'sha
前方之风,qian'fang'zhi'feng
强能力,qiang'neng'li
亲船最中,qin'chuan'zui'zhong
驱动铠,qu'dong'kai
缺陷电气,que'xian'dian'qi
扰乱之羽,rao'luan'zhi'yu
人才派遣,ren'cai'pai'qian
肉体再生,rou'ti'zai'sheng
三泽塾,san'ze'shu
桑库缇丝,sang'ku'ti'si
砂皿致密,sha'min'zhi'mi
莎夏,sha'xia
栅川中学,shan'chuan'zhong'xue
山手,shan'shou
上条当麻,shang'tiao'dang'ma
上条刀夜,shang'tiao'dao'ye
上条诗菜,shang'tiao'shi'cai
上条势力,shang'tiao'shi'li
舍监,she'jian
神裂火织,shen'lie'huo'zhi
神之右席,shen'zhi'you'xi
圣彼得十字,sheng'bi'de'shi'zi
圣人崩坏,sheng'ren'beng'huai
史提尔,shi'ti'er
使徒十字,shi'tu'shi'zi
手盐惠未,shou'yan'hui'wei
树形图设计者,shu'xing'tu'she'ji'zhe
斯芬克斯,si'fen'ke'si
死角移动,si'jiao'yi'dong
死体职人,si'ti'zhi'ren
斯图亚特,si'tu'ya'te
特雷斯蒂娜,te'lei'si'di'na
天草式十字凄教,tian'cao'shi'shi'zi'qi'jiao
天井亚雄,tian'jing'ya'xiong
天使坠落,tian'shi'zhui'luo
铁克派托尔,tie'ke'pai'tuo'er
铁网,tie'wang
铁装缀里,tie'zhuang'zhui'li
土御门舞夏,tu'yu'men'wu'xia
土御门元春,tu'yu'men'yuan'chun
托琪托莉,tuo'qi'tuo'li
瓦希莉莎,wa'xi'li'sha
湾內绢保,wan'nei'juan'bao
薇莉安,wei'li'an
未元物质,wei'yuan'wu'zhi
五和,wu'he
无能力,wu'neng'li
无能力者武装集团,wu'neng'li'zhe'wu'zhuang'ji'tuan
五行机关,wu'xing'ji'guan
