爱离开,ai'li'kai
奔跑,ben'pao
彼得潘,bi'de'pan
边伯贤,bian'bo'xian
灿白,can'bai
灿鹿,can'lu
灿勋,can'xun
初雪,chu'xue
嘟景秀,du'jing'xiu
繁星,fan'xing
蝴蝶少女,hu'die'shao'nv
黄子韬,huang'zi'tao
魂蛋,hun'dan
金俊绵,jin'jun'mian
金珉硕,jin'min'shuo
金钟大,jin'zhong'da
金钟仁,jin'zhong'ren
开白,kai'bai
开度,kai'du
开路,kai'lu
开勋,kai'xun
狼与美女,lang'yu'mei'nv
雷电,lei'dian
鹿白,lu'bai
鹿包,lu'bao
鹿晗,lu'han
鹿勋,lu'xun
梦中梦,meng'zhong'meng
你的世界,ni'de'shi'jie
牛白,niu'bai
牛灿,niu'can
牛鹿,niu'lu
牛绵,niu'mian
牛色,niu'se
牛桃,niu'tao
朴灿烈,pu'can'lie
圣诞节,sheng'dan'jie
双月之夜,shuang'yue'zhi'ye
桃色,tao'se
吴世勋,wu'shi'xun
吴亦凡,wu'yi'fan
兴鹿,xing'lu
勋白,xun'bai
勋鹿,xun'lu
驯鹿,xun'lu
月的奇迹,yue'de'qi'ji
月光,yue'guang
张艺兴,zhang'yi'xing
中毒,zhong'du
