阿莱多尼罗德尔,a'lai'duo'ni'luo'de'er
阿帕契,a'pa'qi
阿散井恋次,a'san'jing'lian'ci
爱川罗武,ai'chuan'luo'wu
艾多拉德,ai'duo'la'de
艾鲁鲁耶利,ai'lu'lu'ye'li
艾斯灵卡,ai'si'ling'ka
白打,bai'da
白伏,bai'fu
拜勒岗,bai'le'gang
白雷,bai'lei
斑目一角,ban'mu'yi'jiao
半虚,ban'xu
暴风男爵,bao'feng'nan'jue
豹王,bao'wang
本匠千鹤,ben'jiang'qian'he
崩点,beng'dian
比巨入道,bi'ju'ru'dao
冰轮丸,bing'lun'wan
狛村左阵,bo'cun'zuo'zhen
苍火坠,cang'huo'zhui
苍角王子,cang'jiao'wang'zi
藏人,cang'ren
草鹿八千流,cao'lu'ba'qian'liu
茶渡泰虎,cha'du'tai'hu
侘助,cha'zhu
车轮铁燕,che'lun'tie'yan
瀞灵廷,cheng'ling'ting
赤火炮,chi'huo'pao
雏森桃,chu'sen'tao
穿点,chuan'dian
穿界门,chuan'jie'men
传令部,chuan'ling'bu
椿鬼,chun'gui
从属官,cong'shu'guan
大岛丽一,da'dao'li'yi
大红莲冰轮丸,da'hong'lian'bing'lun'wan
达鲁克,da'lu'ke
戴斯拉,dai'si'la
德莫乌拉,de'mo'wu'la
地缚灵,di'fu'ling
迪罗伊,di'luo'yi
第三席,di'san'xi
第三席官,di'san'xi'guan
第四席,di'si'xi
第四席官,di'si'xi'guan
第五席官,di'wu'xi'guan
冬德恰卡,dong'de'qia'ka
冬斯坦,dong'si'tan
东仙要,dong'xian'yao
冻云,dong'yun
独眼罩,du'yan'zhao
断蔵丸,duan'cang'wan
断地风,duan'di'feng
断界,duan'jie
断空,duan'kong
端坐霜天,duan'zuo'shuang'tian
对灵子的隶属,dui'ling'zi'de'li'shu
对灵子的收束,dui'ling'zi'de'shou'shu
盾舜六花,dun'shun'liu'hua
多尔多尼,duo'er'duo'ni
恶魔的左臂,e'mo'de'zuo'bi
反鬼相杀,fan'gui'xiang'sha
反膜,fan'mo
反膜之匪,fan'mo'zhi'fei
仿破面,fang'po'mian
狒狒王蛇尾丸,fei'fei'wang'she'wei'wan
飞镰脚,fei'lian'jiao
飞龙击贼震天雷炮,fei'long'ji'zei'zhen'tian'lei'pao
飞梅,fei'mei
废炎,fei'yan
凤桥楼十郎,feng'qiao'lou'shi'lang
蜂梢绫,feng'shao'ling
风死,feng'si
佛瑞德,fo'rui'de
缚道,fu'dao
浮竹十四郎,fu'zhu'shi'si'lang
改造魂魄,gai'zao'hun'po
钢皮,gang'pi
刚腾拜恩,gang'teng'bai'en
歌德,ge'de
葛力姆乔,ge'li'mu'qiao
更木剑八,geng'mu'jian'ba
古德云特,gu'de'yun'te
古贺刚,gu'he'gang
古兰兹,gu'lan'zi
掴趾追雀,guai'zhi'zhui'que
鬼道,gui'dao
鬼道众,gui'dao'zhong
鬼灯丸,gui'deng'wan
归刃,gui'ren
桧佐木修兵,gui'zuo'mu'xiu'bing
国枝铃,guo'zhi'ling
赫,he
赫丽贝儿,he'li'bei'er
黑棺,hei'guan
黑崎夏梨,hei'qi'xia'li
黑崎一护,hei'qi'yi'hu
黑崎一心,hei'qi'yi'xin
黑崎游子,hei'qi'you'zi
黑崎真咲,hei'qi'zhen'xiao
黑绳天谴明王,hei'sheng'tian'qian'ming'wang
虎彻清音,hu'che'qing'yin
虎彻勇音,hu'che'yong'yin
护廷十三队,hu'ting'shi'san'dui
瓠丸,hu'wan
花风乱花神啼,hua'feng'luan'hua'shen'ti
花鹤射法,hua'he'she'fa
花天狂骨,hua'tian'kuang'gu
花刈甚太,hua'yi'shen'tai
荒卷真木造,huang'juan'zhen'mu'zao
灰猫,hui'mao
灰绳,hui'sheng
魂吸,hun'xi
魂葬,hun'zang
火山姆,huo'shan'mu
火山兽,huo'shan'shou
火无菊,huo'wu'ju
吉尔加,ji'er'jia
基力安,ji'li'an
吉良伊鹤,ji'liang'yi'he
贾卡杰克,jia'ka'jie'ke
剑八,jian'ba
键根先生,jian'gen'xian'sheng
解除限定,jie'chu'xian'ding
解放语,jie'fang'yu
尽敌蛰杀,jin'di'zhe'sha
金色疋杀地藏,jin'se'pi'sha'di'zang
金彦,jin'yan
镜花水月,jing'hua'shui'yue
京乐春水,jing'le'chun'shui
静灵壁,jing'ling'bi
镜门,jing'men
井上织姬,jing'shang'zhi'ji
精神体,jing'shen'ti
京紫,jing'zi
久南白,jiu'nan'bai
拘流,ju'liu
拘突,ju'tu
拘之花开,ju'zhi'hua'kai
卡迪谢,ka'di'xie
空间转位,kong'jian'zhuan'wei
蓝染惣右介,lan'ran'zong'you'jie
雷吼炮,lei'hou'pao
理吉,li'ji
莉莉,li'li
莉莉荪,li'li'sun
莉玲,li'ling
里欧尼斯,li'ou'ni'si
丽滋,li'zi
亮茶色,liang'cha'se
捩花,lie'hua
绫濑川弓亲,ling'lai'chuan'gong'qin
灵络,ling'luo
羚骑士,ling'qi'shi
灵珠核,ling'zhu'he
灵子转换机,ling'zi'zhuan'huan'ji
六车拳西,liu'che'quan'xi
琉璃孔雀,liu'li'kong'que
流刃若火,liu'ren'ruo'huo
六杖光牢,liu'zhang'guang'lao
龙拳,long'quan
露比,lu'bi
录灵虫,lu'ling'chong
路鲁,lu'lu
卢米纳,lu'mi'na
乱装天傀,luan'zhuang'tian'kui
洛莉,luo'li
落位十刃,luo'wei'shi'ren
罗兹,luo'zi
旅祸,lv'huo
马尔,ma'er
马尔达,ma'er'da
马桥,ma'qiao
卯之花烈,mao'zhi'hua'lie
梅若丽,mei'ruo'li
梅萨,mei'sa
梅严,mei'yan
米菈罗兹,mi'la'luo'zi
面纹,mian'wen
灭却师,mie'que'shi
灭紫,mie'zi
莫司克达,mo'si'ke'da
南部研一郎,nan'bu'yan'yi'lang
男性死神协会,nan'xing'si'shen'xie'hui
妮莉艾露杜欧德修凡克,ni'li'ai'lu'du'ou'de'xiu'fan'ke
妮露,ni'lu
茑嬢,niao'niang
涅茧利,nie'jian'li
涅音梦,nie'yin'meng
努尼刚卡,nu'ni'gang'ka
诺伊特拉,nuo'yi'te'la
女性死神协会,nv'xing'si'shen'xie'hui
沛薛,pei'xue
鹏磐,peng'pan
劈鸟,pi'niao
疋杀地藏,pi'sha'di'zang
平子真子,ping'zi'zhen'zi
破道,po'dao
破芒阵,po'mang'zhen
破纳,po'na
破弃咏唱,po'qi'yong'chang
破赛皮,po'sai'pi
普拉提多,pu'la'ti'duo
浦原喜助,pu'yuan'xi'zhu
千本樱,qian'ben'ying
千本樱景严,qian'ben'ying'jing'yan
千岁绿,qian'sui'lv
牵星箝,qian'xing'qian
浅野启吾,qian'ye'qi'wu
浅野瑞穗,qian'ye'rui'sui
清虫,qing'chong
黥面,qing'mian
雀步长次郎,que'bu'chang'ci'lang
雀蜂,que'feng
日番谷冬狮郎,ri'fan'gu'dong'shi'lang
肉雫唼,rou'na'sha
润林安,run'lin'an
萨尔阿波罗,sa'er'a'bo'luo
散灵手套,san'ling'shou'tao
三舞白刀,san'wu'bai'dao
桑达薇琪,sang'da'wei'qi
杀气石,sha'qi'shi
山本元柳斋重国,shan'ben'yuan'liu'zhai'zhong'guo
山田花太郎,shan'tian'hua'tai'lang
