八角楼,ba'jiao'lou
煤场,mei'chang
美团团购,mei'tuan'tuan'gou
美宣部,mei'xuan'bu
民勇,min'yong
南门,nan'men
男寝,nan'qin
能源与动力学院,neng'yuan'yu'dong'li'xue'yuan
宁桂玲,ning'gui'ling
女寝,nv'qin
女生部,nv'sheng'bu
欧进萍,ou'jin'ping
盘锦校区,pan'jin'xiao'qu
平面工作室,ping'mian'gong'zuo'shi
平面设计工作室,ping'mian'she'ji'gong'zuo'shi
汽车工程学院,qi'che'gong'cheng'xue'yuan
七七足球场,qi'qi'zu'qiu'chang
七舍小广场,qi'she'xiao'guang'chang
钱令希,qian'ling'xi
嵌入式系统工程系,qian'ru'shi'xi'tong'gong'cheng'xi
勤工助学,qin'gong'zhu'xue
沁园,qin'yuan
青协,qing'xie
邱大洪,qiu'da'hong
屈伯川,qu'bo'chuan
曲景平,qu'jing'ping
权益部,quan'yi'bu
人文学院,ren'wen'xue'yuan
人文与社会科学学部,ren'wen'yu'she'hui'ke'xue'xue'bu
软件工程系,ruan'jian'gong'cheng'xi
软件工程研究院,ruan'jian'gong'cheng'yan'jiu'yuan
三号实验楼,san'hao'shi'yan'lou
三束材料改性教育部重点实验室,san'shu'cai'liao'gai'xing'jiao'yu'bu'zhong'dian'shi'yan'shi
山礼,shan'li
山上礼堂,shan'shang'li'tang
商学院,shang'xue'yuan
社会实践与志愿者工作部,she'hui'shi'jian'yu'zhi'yuan'zhe'gong'zuo'bu
社联,she'lian
申长雨,shen'chang'yu
生命科学与技术学院,sheng'ming'ke'xue'yu'ji'shu'xue'yuan
生命与医药学院,sheng'ming'yu'yi'yao'xue'yuan
生物医学工程系,sheng'wu'yi'xue'gong'cheng'xi
实践部,shi'jian'bu
诗朗,shi'lang
食品与环境学院,shi'pin'yu'huan'jing'xue'yuan
石油与化学工程学院,shi'you'yu'hua'xue'gong'cheng'xue'yuan
数学科学学院,shu'xue'ke'xue'xue'yuan
数字媒体技术系,shu'zi'mei'ti'ji'shu'xi
水哥,shui'ge
水利工程学院,shui'li'gong'cheng'xue'yuan
水奶奶,shui'nai'nai
四号实验楼,si'hao'shi'yan'lou
四舍,si'she
体育部,ti'yu'bu
体育教学部,ti'yu'jiao'xue'bu
土木工程学院,tu'mu'gong'cheng'xue'yuan
团结进取求实创新,tuan'jie'jin'qu'qiu'shi'chuang'xin
团委,tuan'wei
外国语学院,wai'guo'yu'xue'yuan
外联部,wai'lian'bu
王立鼎,wang'li'ding
网络工程系,wang'luo'gong'cheng'xi
网上学习中心,wang'shang'xue'xi'zhong'xin
网信中心,wang'xin'zhong'xin
网宣部,wang'xuan'bu
王众托,wang'zhong'tuo
魏小鹏,wei'xiao'peng
文法学院,wen'fa'xue'yuan
文化部,wen'hua'bu
文体部,wen'ti'bu
文宣部,wen'xuan'bu
物理与光电工程学院,wu'li'yu'guang'dian'gong'cheng'xue'yuan
五食堂,wu'shi'tang
西便门,xi'bian'men
西部田径场,xi'bu'tian'jing'chang
西门,xi'men
西山篮球场,xi'shan'lan'qiu'chang
西山生活区,xi'shan'sheng'huo'qu
西山之巅,xi'shan'zhi'dian
西综,xi'zong
校史馆,xiao'shi'guan
校友服务中心,xiao'you'fu'wu'zhong'xin
校园门户,xiao'yuan'men'hu
新闻部,xin'wen'bu
信息与通信工程学院,xin'xi'yu'tong'xin'gong'cheng'xue'yuan
心协,xin'xie
宣传部,xuan'chuan'bu
宣传调研部,xuan'chuan'diao'yan'bu
宣传中心,xuan'chuan'zhong'xin
学生会,xue'sheng'hui
学习部,xue'xi'bu
研教楼,yan'jiao'lou
研究生院,yan'jiu'sheng'yuan
阳光心理协会,yang'guang'xin'li'xie'hui
逸夫报告厅,yi'fu'bao'gao'ting
一馆,yi'guan
一舍,yi'she
一食堂,yi'shi'tang
艺术团,yi'shu'tuan
艺术系,yi'shu'xi
音乐喷泉,yin'yue'pen'quan
英纳湖,ying'na'hu
游泳馆,you'yong'guan
远程与继续教育学院,yuan'cheng'yu'ji'xu'jiao'yu'xue'yuan
运载工程与力学学部,yun'zai'gong'cheng'yu'li'xue'xue'bu
张德祥,zhang'de'xiang
张海文,zhang'hai'wen
赵国藩,zhao'guo'fan
直角楼,zhi'jiao'lou
知青点,zhi'qing'dian
知行合一,zhi'xing'he'yi
制药科学与技术学院,zhi'yao'ke'xue'yu'ji'shu'xue'yuan
志愿者,zhi'yuan'zhe
中厅,zhong'ting
钟万勰,zhong'wan'xie
中心,zhong'xin
中心食堂,zhong'xin'shi'tang
主楼,zhu'lou
主席,zhu'xi
自强不息,zi'qiang'bu'xi
自强社,zi'qiang'she
综二,zong'er
综合教学一号楼,zong'he'jiao'xue'yi'hao'lou
综合门户,zong'he'men'hu
综一,zong'yi
组织部,zu'zhi'bu
