哀对乐,ai'dui'le
爱对嫌,ai'dui'xian
爱见人长,ai'jian'ren'zhang
庵对寺,an'dui'si
暗对昭,an'dui'zhao
岸柳两行青,an'liu'liang'hang'qing
安闲市上之仙,an'xian'shi'shang'zhi'xian
安邑枣,an'yi'zao
八叉手,ba'cha'shou
八行书,ba'hang'shu
八千路,ba'qian'lu
白璧对玄圭,bai'bi'dui'xuan'gui
白布衫,bai'bu'shan
白草满郊,bai'cao'man'jiao
百尺酒楼高,bai'chi'jiu'lou'gao
白对青,bai'dui'qing
白堕酒,bai'duo'jiu
白鹤对青鸾,bai'he'dui'qing'luan
白简对朱衣,bai'jian'dui'zhu'yi
白驹形皎皎,bai'ju'xing'jiao'jiao
百亩风翻陶令秫,bai'mu'feng'fan'tao'ling'shu
百辟对千官,bai'pi'dui'qian'guan
白犬对苍鹰,bai'quan'dui'cang'ying
白日对青春,bai'ri'dui'qing'chun
白叟对黄童,bai'sou'dui'huang'tong
柏叶对松花,bai'ye'dui'song'hua
白羽频挥闲客坐,bai'yu'pin'hui'xian'ke'zuo
半池红菡萏,ban'chi'hong'han'dan
班对马,ban'dui'ma
半幅通灵,ban'fu'tong'ling
半溪流水绿,ban'xi'liu'shui'lv
宝钿对金钩,bao'dian'dui'jin'gou
饱对饥,bao'dui'ji
宝对珠,bao'dui'zhu
宝剑对金缸,bao'jian'dui'jin'gang
宝马对香车,bao'ma'dui'xiang'che
饱闻玉树之赓,bao'wen'yu'shu'zhi'geng
抱义美般般,bao'yi'mei'ban'ban
悲对乐,bei'dui'le
北对南,bei'dui'nan
北岭几枝梅似雪,bei'ling'ji'zhi'mei'si'xue
贝母对宜男,bei'mu'dui'yi'nan
备三百五篇诗咏,bei'san'bai'wu'pian'shi'yong
北魏对西秦,bei'wei'dui'xi'qin
北学对东胶,bei'xue'dui'dong'jiao
北野对东郊,bei'ye'dui'dong'jiao
碧草对苍苔,bi'cao'dui'cang'tai
碧沉茶,bi'chen'cha
碧池渔父晚垂钩,bi'chi'yu'fu'wan'chui'gou
闭对开,bi'dui'kai
笔格对书函,bi'ge'dui'shu'han
必借干戈成勇武,bi'jie'gan'ge'cheng'yong'wu
碧纱窗,bi'sha'chuang
碧油幢,bi'you'zhuang
碧玉对丹砂,bi'yu'dui'dan'sha
贬对褒,bian'dui'bao
变六十四卦爻占,bian'liu'shi'si'gua'yao'zhan
边韶常被昼眠嘲,bian'shao'chang'bei'zhou'mian'chao
鳖对鱼,bie'dui'yu
宾客刘公,bin'ke'liu'gong
鬓皤对眉绿,bin'po'dui'mei'lv
搏虎对骑鲸,bo'hu'dui'qi'jing
波浪拍船,bo'lang'pai'chuan
