暗动,an'dong
安世应,an'shi'ying
八卦,ba'gua
八专法,ba'zhuan'fa
八专课,ba'zhuan'ke
八座,ba'zuo
败财,bai'cai
败地,bai'di
白虎,bai'hu
白虎猖狂,bai'hu'chang'kuang
白虎出力,bai'hu'chu'li
白虎干格,bai'hu'gan'ge
白腊金,bai'la'jin
白蜡金,bai'la'jin
白蚁金,bai'yi'jin
半拱,ban'gong
半合,ban'he
帮扶,bang'fu
帮身,bang'shen
北方水,bei'fang'shui
本气,ben'qi
本柱,ben'zhu
比肩,bi'jian
壁上土,bi'shang'tu
比用,bi'yong
比用法,bi'yong'fa
比用课,bi'yong'ke
比助,bi'zhu
变卦,bian'gua
别责法,bie'ze'fa
别责课,bie'ze'ke
丙辰,bing'chen
丙辰丁巳沙中土,bing'chen'ding'si'sha'zhong'tu
病地,bing'di
丙丁猪鸡位,bing'ding'zhu'ji'wei
丙火,bing'huo
丙火入戌墓,bing'huo'ru'xu'mu
丙年,bing'nian
丙奇,bing'qi
兵刃刀伤,bing'ren'dao'shang
丙申,bing'shen
丙申丁酉山下火,bing'shen'ding'you'shan'xia'huo
丙午,bing'wu
丙戊病在申,bing'wu'bing'zai'shen
丙戊长生在寅,bing'wu'chang'sheng'zai'yin
丙戊帝旺在午,bing'wu'di'wang'zai'wu
丙午丁未天河水,bing'wu'ding'wei'tian'he'shui
丙戊冠带在辰,bing'wu'guan'dai'zai'chen
丙戊绝在亥,bing'wu'jue'zai'hai
丙戊临官在巳,bing'wu'lin'guan'zai'si
丙戊禄在巳,bing'wu'lu'zai'si
丙戊沐浴在卯,bing'wu'mu'yu'zai'mao
丙戊墓在戌,bing'wu'mu'zai'xu
丙戊刃在午,bing'wu'ren'zai'wu
丙戊申宫丁己鸡,bing'wu'shen'gong'ding'ji'ji
丙戊衰在未,bing'wu'shuai'zai'wei
丙戊死在酉,bing'wu'si'zai'you
丙戊胎在子,bing'wu'tai'zai'zi
丙戊养在丑,bing'wu'yang'zai'chou
丙辛合,bing'xin'he
丙辛合化水,bing'xin'he'hua'shui
丙辛相合,bing'xin'xiang'he
丙辛寅申七,bing'xin'yin'shen'qi
丙戌,bing'xu
丙戌丁亥屋上土,bing'xu'ding'hai'wu'shang'tu
丙寅,bing'yin
丙寅丁卯炉中火,bing'yin'ding'mao'lu'zhong'huo
丙子,bing'zi
丙子丁丑涧下水,bing'zi'ding'chou'jian'xia'shui
不空,bu'kong
不破,bu'po
不散,bu'san
卜筮正宗,bu'shi'zheng'zong
不虞,bu'yu
财帛,cai'bo
财运,cai'yun
察微,cha'wei
钗钏金,chai'chuan'jin
拆马忌,chai'ma'ji
常流水,chang'liu'shui
长流水,chang'liu'shui
长生,chang'sheng
长生在子,chang'sheng'zai'zi
超神,chao'shen
车祸,che'huo
辰藏戊乙癸,chen'cang'wu'yi'gui
陈公献,chen'gong'xian
辰日,chen'ri
辰时,chen'shi
辰巳,chen'si
辰土,chen'tu
辰土父母,chen'tu'fu'mu
辰土父母持世,chen'tu'fu'mu'chi'shi
辰土官鬼,chen'tu'guan'gui
辰土官鬼持世,chen'tu'guan'gui'chi'shi
辰土妻财,chen'tu'qi'cai
辰土妻财持世,chen'tu'qi'cai'chi'shi
辰土兄弟,chen'tu'xiong'di
辰土兄弟持世,chen'tu'xiong'di'chi'shi
辰土子孙,chen'tu'zi'sun
辰土子孙持世,chen'tu'zi'sun'chi'shi
辰午酉亥,chen'wu'you'hai
陈希夷,chen'xi'yi
辰戌,chen'xu
辰戌冲,chen'xu'chong
辰酉,chen'you
辰酉合,chen'you'he
辰酉合化金,chen'you'he'hua'jin
辰月,chen'yue
城墙土,cheng'qiang'tu
城头土,cheng'tou'tu
持世,chi'shi
冲合会刑穿,chong'he'hui'xing'chuan
冲空,chong'kong
冲空填实,chong'kong'tian'shi
冲散,chong'san
重审,chong'shen
丑藏己癸辛,chou'cang'ji'gui'xin
丑日,chou'ri
仇神,chou'shen
丑时,chou'shi
丑土,chou'tu
丑土父母,chou'tu'fu'mu
丑土父母持世,chou'tu'fu'mu'chi'shi
丑土官鬼,chou'tu'guan'gui
丑土官鬼持世,chou'tu'guan'gui'chi'shi
丑土妻财,chou'tu'qi'cai
丑土妻财持世,chou'tu'qi'cai'chi'shi
丑土兄弟,chou'tu'xiong'di
丑土兄弟持世,chou'tu'xiong'di'chi'shi
丑土子孙,chou'tu'zi'sun
丑土子孙持世,chou'tu'zi'sun'chi'shi
丑未,chou'wei
丑未冲,chou'wei'chong
丑未戌,chou'wei'xu
丑午,chou'wu
丑午害,chou'wu'hai
丑戌未,chou'xu'wei
丑月,chou'yue
初传,chu'chuan
触电,chu'dian
初爻,chu'yao
错宫,cuo'gong
错卦,cuo'gua
大财,da'cai
大父,da'fu
大福,da'fu
大格,da'ge
大官,da'guan
大海水,da'hai'shui
大耗,da'hao
大疾,da'ji
大林木,da'lin'mu
大命,da'ming
大仆,da'pu
大妻,da'qi
大迁,da'qian
大田,da'tian
大溪水,da'xi'shui
大限,da'xian
大兄,da'xiong
大鄢土,da'yan'tu
大驿土,da'yi'tu
大易源,da'yi'yuan
大运,da'yun
大子,da'zi
戴九履一,dai'jiu'lv'yi
代占,dai'zhan
盜泄,dao'xie
得令,de'ling
地遁,di'dun
地风升,di'feng'sheng
地户逢鬼,di'hu'feng'gui
地火明夷,di'huo'ming'yi
地劫,di'jie
地空,di'kong
地雷复,di'lei'fu
地盘,di'pan
地山谦,di'shan'qian
地水师,di'shui'shi
滴天髓,di'tian'sui
地天泰,di'tian'tai
帝旺,di'wang
地网高张,di'wang'gao'zhang
地刑玄武,di'xing'xuan'wu
地泽临,di'ze'lin
地支,di'zhi
地支合化,di'zhi'he'hua
丁丑,ding'chou
丁亥,ding'hai
丁火,ding'huo
丁己病在卯,ding'ji'bing'zai'mao
丁己长生在酉,ding'ji'chang'sheng'zai'you
丁己帝旺在,ding'ji'di'wang'zai
丁己冠带在未,ding'ji'guan'dai'zai'wei
丁己绝在子,ding'ji'jue'zai'zi
丁己临官在午,ding'ji'lin'guan'zai'wu
