艾琳亨特,ai'lin'heng'te
暗花,an'hua
八哥翅,ba'ge'chi
白翅,bai'chi
白风,bai'feng
百合心,bai'he'xin
白喉,bai'hou
白水,bai'shui
白眼,bai'yan
半尾,ban'wei
斑尾,ban'wei
斑叶,ban'ye
半月,ban'yue
暴尾,bao'wei
暴云,bao'yun
豹足,bao'zu
奔鼻,ben'bi
奔风,ben'feng
冰云,bing'yun
波弟,bo'di
残星,can'xing
草心,cao'xin
蟾步,chan'bu
蟾足,chan'zu
常春藤池,chang'chun'teng'chi
常春藤尾,chang'chun'teng'wei
长尾,chang'wei
尘毛,chen'mao
尘爪,chen'zhao
赤杨爪,chi'yang'zhao
刺毛,ci'mao
刺掌,ci'zhang
刺爪,ci'zhao
黛西,dai'xi
冬青簇,dong'qing'cu
冬青叶,dong'qing'ye
冬青爪,dong'qing'zhao
杜松爪,du'song'zhao
断尾,duan'wei
断星,duan'xing
夺面,duo'mian
鹅羽,e'yu
伐木场,fa'mu'chang
风族,feng'zu
副族长,fu'zu'zhang
橄榄鼻,gan'lan'bi
高红,gao'hong
鸽翅,ge'chi
公猫,gong'mao
钩星,gou'xing
咕哝脚,gu'nong'jiao
褐斑,he'ban
褐皮,he'pi
河族,he'zu
黑脚,hei'jiao
黑莓星,hei'mei'xing
黑莓崽,hei'mei'zai
黑莓掌,hei'mei'zhang
黑莓爪,hei'mei'zhao
黑森林,hei'sen'lin
黑条,hei'tiao
黑星,hei'xing
红柳,hong'liu
红尾,hong'wei
狐步,hu'bu
狐狸屎,hu'li'shi
琥珀月,hu'po'yue
护天,hu'tian
虎心,hu'xin
虎星,hu'xing
虎掌,hu'zhang
虎爪,hu'zhao
桦落,hua'luo
画眉毛,hua'mei'mao
花楸掌,hua'qiu'zhang
黄蜂条,huang'feng'tiao
黄蜂尾,huang'feng'wei
黄毛,huang'mao
黄牙,huang'ya
黄爪,huang'zhao
灰翅,hui'chi
灰毛,hui'mao
灰条,hui'tiao
灰爪,hui'zhao
火心,huo'xin
火星,huo'xing
豁牙,huo'ya
火爪,huo'zhao
急水部落,ji'shui'bu'luo
蓟掌,ji'zhang
尖石巫师,jian'shi'wu'shi
焦毛,jiao'mao
捷风,jie'feng
金花,jin'hua
荆棘光,jing'ji'guang
锯齿,ju'chi
蕨毛,jue'mao
蕨影,jue'ying
蕨爪,jue'zhao
蝰蛇牙,kui'she'ya
蜡毛,la'mao
拉斯特,la'si'te
蜡爪,la'zhao
蓝星,lan'xing
雷电,lei'dian
雷鬼路,lei'gui'lu
雷星,lei'xing
雷族,lei'zu
栗条,li'tiao
栗尾,li'wei
涟尾,lian'wei
两脚兽,liang'jiao'shou
两腿动物,liang'tui'dong'wu
亮心,liang'xin
亮爪,liang'zhao
裂牙,lie'ya
柳带,liu'dai
露珠鼻,lu'zhu'bi
落叶,luo'ye
麻雀毛,ma'que'mao
麻雀尾,ma'que'wei
猫武士,mao'wu'shi
猫武士群,mao'wu'shi'qun
莓鼻,mei'bi
玫瑰瓣,mei'gui'ban
玫瑰尾,mei'gui'wei
梅花落,mei'hua'luo
莓心,mei'xin
蜜蜂爪,mi'feng'zhao
蜜蕨,mi'jue
米莉,mi'li
明花,ming'hua
母猫,mu'mao
苜蓿足,mu'xu'zu
袅眼,niao'yan
苹果毛,ping'guo'mao
泼爪,po'zhao
晴天,qing'tian
鼩足,qu'zu
日落,ri'luo
日星,ri'xing
沙风,sha'feng
杀无尽部落,sha'wu'jin'bu'luo
沙爪,sha'zhao
闪电尾,shan'dian'wei
杉心,shan'xin
蛇尾,she'wei
湿脚,shi'jiao
石毛,shi'mao
石头,shi'tou
狮心,shi'xin
石牙,shi'ya
狮焰,shi'yan
狮爪,shi'zhao
蓍爪,shi'zhao
鼠痕,shu'hen
鼠毛,shu'mao
曙皮,shu'pi
鼠须,shu'xu
曙云,shu'yun
鼠崽,shu'zai
鼠爪,shu'zhao
霜毛,shuang'mao
松树鼻,song'shu'bi
松鼠飞,song'shu'fei
松星,song'xing
松鸦羽,song'ya'yu
松鸦爪,song'ya'zhao
松针爪,song'zhen'zhao
炭毛,tan'mao
炭心,tan'xin
炭爪,tan'zhao
藤池,teng'chi
甜蔷薇,tian'qiang'wei
甜爪,tian'zhao
团毛,tuan'mao
纹脸,wen'lian
纹尾,wen'wei
武士守则,wu'shi'shou'ze
乌霜,wu'shuang
雾云,wu'yun
橡毛,xiang'mao
香薇歌,xiang'wei'ge
香薇云,xiang'wei'yun
香薇爪,xiang'wei'zhao
小白桦,xiao'bai'hua
小冬青,xiao'dong'qing
小耳,xiao'er
小虎,xiao'hu
小露珠,xiao'lu'zhu
小猫,xiao'mao
小蜜,xiao'mi
小泥潭,xiao'ni'tan
小狮,xiao'shi
小石板,xiao'shi'ban
小松鸦,xiao'song'ya
小雾,xiao'wu
枭星,xiao'xing
小叶,xiao'ye
小夜,xiao'ye
小云,xiao'yun
小云雀,xiao'yun'que
枭掌,xiao'zhang
小沼泽,xiao'zhao'ze
星星,xing'xing
星族,xing'zu
雪丛,xue'cong
雪貂掌,xue'diao'zhang
雪毛,xue'mao
学徒,xue'tu
雪崽,xue'zai
迅爪,xun'zhao
烟毛,yan'mao
鼹鼠须,yan'shu'xu
焰尾,yan'wei
烟爪,yan'zhao
烟足,yan'zu
野草须,ye'cao'xu
叶池,ye'chi
夜翅,ye'chi
夜星,ye'xing
夜语,ye'yu
叶爪,ye'zhao
一只眼,yi'zhi'yan
营地,ying'di
罂粟曙,ying'su'shu
罂粟霜,ying'su'shuang
樱桃落,ying'tao'luo
影族,ying'zu
幼崽,you'zai
鼬爪,you'zhao
羽须,yu'xu
雨须,yu'xu
圆爪,yuan'zhao
月光,yue'guang
月花,yue'hua
云点,yun'dian
云雀鸣,yun'que'ming
云尾,yun'wei
云崽,yun'zai
云爪,yun'zhao
杂毛,za'mao
爪脸,zhao'lian
榛尾,zhen'wei
知更翅,zhi'geng'chi
痣爪,zhi'zhao
种爪,zhong'zhao
蛛足,zhu'zu
爪爪,zhua'zhua
棕爪,zong'zhao
族长,zu'zhang
族长代表,zu'zhang'dai'biao
