半潜驳,ban'qian'bo
沉箱,chen'xiang
吹填,chui'tian
倒滤层,dao'lv'ceng
垫层,dian'ceng
防波堤,fang'bo'di
扶壁式,fu'bi'shi
海港,hai'gang
后方回填,hou'fang'hui'tian
护岸,hu'an
混凝土,hun'ning'tu
机械荷载,ji'xie'he'zai
棱体,leng'ti
锚碇结构,mao'ding'jie'gou
设计低水位,she'ji'di'shui'wei
设计高水位,she'ji'gao'shui'wei
施工规范,shi'gong'gui'fan
天泵,tian'beng
拖轮,tuo'lun
斜坡式护岸,xie'po'shi'hu'an
胸墙,xiong'qiang
直立式护岸,zhi'li'shi'hu'an
