阿金花场,a'jin'hua'chang
阿娟花场,a'juan'hua'chang
碧禄,bi'lu
长镇,chang'zhen
邓家坊,deng'jia'fang
邓徐山,deng'xu'shan
付振国,fu'zhen'guo
后洋,hou'yang
后盂村宝山,hou'yu'cun'bao'shan
后盂村订花箱,hou'yu'cun'ding'hua'xiang
后盂村广成花场,hou'yu'cun'guang'cheng'hua'chang
后盂村坎下坂,hou'yu'cun'kan'xia'ban
六加久牛场,liu'jia'jiu'niu'chang
吕坊庵,lv'fang'an
吕坊村,lv'fang'cun
吕坊村白石花圃,lv'fang'cun'bai'shi'hua'pu
吕坊村订花箱,lv'fang'cun'ding'hua'xiang
吕坊村加仙花圃,lv'fang'cun'jia'xian'hua'pu
吕坊村建宁花场,lv'fang'cun'jian'ning'hua'chang
吕坊村俊贤花场,lv'fang'cun'jun'xian'hua'chang
吕坊村苏塘,lv'fang'cun'su'tang
吕坊村铁厂,lv'fang'cun'tie'chang
吕坊村新楼村,lv'fang'cun'xin'lou'cun
内厝坪,nei'cuo'ping
梯子岭,ti'zi'ling
万祝花木场,wan'zhu'hua'mu'chang
仙宫,xian'gong
小村,xiao'cun
永武花场,yong'wu'hua'chang
月秋旧花场,yue'qiu'jiu'hua'chang
