报废装备,bao'fei'zhuang'bei
保障部队,bao'zhang'bu'dui
臂章,bi'zhang
编成,bian'cheng
边防部队,bian'fang'bu'dui
编内,bian'nei
编内职工,bian'nei'zhi'gong
编配比例,bian'pei'bi'li
编入预备役,bian'ru'yu'bei'yi
编外,bian'wai
编外定编,bian'wai'ding'bian
编制,bian'zhi
编制表,bian'zhi'biao
编制标准,bian'zhi'biao'zhun
编制方案,bian'zhi'fang'an
编制军衔,bian'zhi'jun'xian
编制系统,bian'zhi'xi'tong
编制员额,bian'zhi'yuan'e
编制职务,bian'zhi'zhi'wu
编组,bian'zu
兵团,bing'tuan
兵役,bing'yi
兵役法,bing'yi'fa
兵役制度,bing'yi'zhi'du
兵员,bing'yuan
兵员补退,bing'yuan'bu'tui
兵员动员计划,bing'yuan'dong'yuan'ji'hua
兵种,bing'zhong
步兵,bu'bing
部队,bu'dui
部队番号,bu'dui'fan'hao
部队试验,bu'dui'shi'yan
部队试用,bu'dui'shi'yong
部属,bu'shu
残废军人,can'fei'jun'ren
查铺,cha'pu
查铺查哨,cha'pu'cha'shao
查哨,cha'shao
常备军,chang'bei'jun
常规武器,chang'gui'wu'qi
超编,chao'bian
超期服役,chao'qi'fu'yi
成套编配,cheng'tao'bian'pei
重建,chong'jian
大队,da'dui
大将,da'jiang
大军区,da'jun'qu
大尉,da'wei
大校,da'xiao
大元帅,da'yuan'shuai
代管,dai'guan
单兵武器,dan'bing'wu'qi
第二野战军,di'er'ye'zhan'jun
地方部队,di'fang'bu'dui
地方军,di'fang'jun
地方武装,di'fang'wu'zhuang
第三野战军,di'san'ye'zhan'jun
第四野战军,di'si'ye'zhan'jun
第一野战军,di'yi'ye'zhan'jun
点验,dian'yan
定编,ding'bian
队列动作,dui'lie'dong'zuo
队列指挥,dui'lie'zhi'hui
队伍纯洁,dui'wu'chun'jie
队形,dui'xing
二野,er'ye
方面军,fang'mian'jun
非战斗减员,fei'zhan'dou'jian'yuan
