比焓,bi'han
比热,bi're
边界,bian'jie
不可压缩,bu'ke'ya'suo
层流,ceng'liu
初始,chu'shi
传热学,chuan're'xue
单值性,dan'zhi'xing
导热,dao're
导热系数,dao're'xi'shu
导数,dao'shu
低温,di'wen
定容,ding'rong
定压,ding'ya
动力工程,dong'li'gong'cheng
动力机械,dong'li'ji'xie
动量,dong'liang
傅里叶,fu'li'ye
工程热力学,gong'cheng're'li'xue
工程热物理,gong'cheng're'wu'li
耗散,hao'san
化工过程,hua'gong'guo'cheng
化工机械,hua'gong'ji'xie
滑移,hua'yi
机械能,ji'xie'neng
可压缩,ke'ya'suo
控制方程,kong'zhi'fang'cheng
连续,lian'xu
流体机械,liu'ti'ji'xie
流体力学,liu'ti'li'xue
摩尔,mo'er
内热源,nei're'yuan
能量,neng'liang
粘度,nian'du
粘性,nian'xing
热流,re'liu
热能工程,re'neng'gong'cheng
散度,san'du
梯度,ti'du
微元,wei'yuan
温度梯度,wen'du'ti'du
温压,wen'ya
物性,wu'xing
无粘,wu'zhan
向量,xiang'liang
旋度,xuan'du
应力,ying'li
源项,yuan'xiang
制冷,zhi'leng
坐标,zuo'biao
做功,zuo'gong
