爱心大厦,ai'xin'da'sha
白沙,bai'sha
半路洋,ban'lu'yang
斑竹电站,ban'zhu'dian'zhan
棒材厂,bang'cai'chang
保安学校,bao'an'xue'xiao
北区,bei'qu
北山新村,bei'shan'xin'cun
碧海花园,bi'hai'hua'yuan
碧湖乳牛场,bi'hu'ru'niu'chang
碧口大桥,bi'kou'da'qiao
滨江新城,bin'jiang'xin'cheng
殡仪馆,bin'yi'guan
草莓基地,cao'mei'ji'di
陈大,chen'da
陈大学区,chen'da'xue'qu
陈敦村,chen'dun'cun
陈敦路口,chen'dun'lu'kou
城东,cheng'dong
城关,cheng'guan
齿轮厂,chi'lun'chang
大源村,da'yuan'cun
第三医院,di'san'yi'yuan
第一医院,di'yi'yi'yuan
地质队,di'zhi'dui
东门,dong'men
东霞新村,dong'xia'xin'cun
东新六路,dong'xin'liu'lu
东新三路,dong'xin'san'lu
东新四路,dong'xin'si'lu
东新五路,dong'xin'wu'lu
锻压车间,duan'ya'che'jian
二纺厂,er'fang'chang
二号门,er'hao'men
二中,er'zhong
富华小区,fu'hua'xiao'qu
副食品基地,fu'shi'pin'ji'di
附小,fu'xiao
富兴堡,fu'xing'bao
妇幼保健,fu'you'bao'jian
钢城饭店,gang'cheng'fan'dian
高速路口,gao'su'lu'kou
高源村,gao'yuan'cun
公路局,gong'lu'ju
广景花园,guang'jing'hua'yuan
国安,guo'an
海关,hai'guan
禾通市场,he'tong'shi'chang
红印山,hong'yin'shan
化工厂,hua'gong'chang
化工道口,hua'gong'dao'kou
化工五村,hua'gong'wu'cun
辉煌机械厂,hui'huang'ji'xie'chang
火车站,huo'che'zhan
加工厂,jia'gong'chang
加工厂妈祖庙站,jia'gong'chang'ma'zu'miao'zhan
加乐比,jia'le'bi
江滨路,jiang'bin'lu
交通油库,jiao'tong'you'ku
荆东,jing'dong
荆西,jing'xi
荆西桥头,jing'xi'qiao'tou
拘留所,ju'liu'suo
开关厂,kai'guan'chang
客运西站,ke'yun'xi'zhan
垃圾处理厂,la'ji'chu'li'chang
列西,lie'xi
列西道口,lie'xi'dao'kou
列西市场,lie'xi'shi'chang
林机厂,lin'ji'chang
林业学院,lin'ye'xue'yuan
龙岗坊,long'gang'fang
龙岗好多多,long'gang'hao'duo'duo
龙盛广场,long'sheng'guang'chang
路口,lu'kou
梅列公安,mei'lie'gong'an
梅列工商,mei'lie'gong'shang
梅列区政府,mei'lie'qu'zheng'fu
梅列市场,mei'lie'shi'chang
梅列医院,mei'lie'yi'yuan
闽丰电杆厂,min'feng'dian'gan'chang
明珠花园,ming'zhu'hua'yuan
南区,nan'qu
农药厂,nong'yao'chang
汽车城,qi'che'cheng
汽车站,qi'che'zhan
麒麟山,qi'lin'shan
七五五库,qi'wu'wu'ku
轻纺学校,qing'fang'xue'xiao
青松食品厂,qing'song'shi'pin'chang
人造板厂,ren'zao'ban'chang
荣王集团,rong'wang'ji'tuan
瑞云山,rui'yun'shan
三纺公司,san'fang'gong'si
三钢,san'gang
三钢道口,san'gang'dao'kou
三钢医院,san'gang'yi'yuan
三恒公司,san'heng'gong'si
三明茶街,san'ming'cha'jie
三明二中,san'ming'er'zhong
三明饭店,san'ming'fan'dian
三明广场,san'ming'guang'chang
三明九中,san'ming'jiu'zhong
三明市场,san'ming'shi'chang
三明水文局,san'ming'shui'wen'ju
三明学院,san'ming'xue'yuan
三明一中,san'ming'yi'zhong
三农福利区,san'nong'fu'li'qu
三元法院,san'yuan'fa'yuan
三元税务,san'yuan'shui'wu
三中,san'zhong
沙洲路,sha'zhou'lu
沙洲农贸,sha'zhou'nong'mao
上河城广场,shang'he'cheng'guang'chang
上河城路,shang'he'cheng'lu
省安小区,sheng'an'xiao'qu
盛建加油,sheng'jian'jia'you
省一建,sheng'yi'jian
十二中,shi'er'zhong
市法院,shi'fa'yuan
市建委,shi'jian'wei
市林委,shi'lin'wei
食品厂,shi'pin'chang
市人大,shi'ren'da
市人行,shi'ren'xing
市社保中心,shi'she'bao'zhong'xin
市税务,shi'shui'wu
市体委,shi'ti'wei
市委,shi'wei
十一中,shi'yi'zhong
石油公司,shi'you'gong'si
市政府,shi'zheng'fu
市总工会,shi'zong'gong'hui
收费站,shou'fei'zhan
水厂,shui'chang
水榭坊,shui'xie'fang
水榭建材城,shui'xie'jian'cai'cheng
水榭新城,shui'xie'xin'cheng
塑料厂宿舍,su'liao'chang'su'she
索桥西,suo'qiao'xi
台江水泥厂,tai'jiang'shui'ni'chang
铁路新村,tie'lu'xin'cun
翁墩油库,weng'dun'you'ku
武警公寓,wu'jing'gong'yu
五四路口,wu'si'lu'kou
西站,xi'zhan
下洋,xia'yang
下洋花园,xia'yang'hua'yuan
下洋市场,xia'yang'shi'chang
莘口,xin'kou
信息工程学校,xin'xi'gong'cheng'xue'xiao
兴业证券,xing'ye'zheng'quan
徐碧,xu'bi
徐碧二村,xu'bi'er'cun
徐碧公交站,xu'bi'gong'jiao'zhan
徐碧加油站,xu'bi'jia'you'zhan
徐碧一村,xu'bi'yi'cun
学生公寓,xue'sheng'gong'yu
轧锟厂,ya'kun'chang
烟草大厦,yan'cao'da'sha
阳光城,yang'guang'cheng
洋口仔,yang'kou'zai
洋溪,yang'xi
洋溪市场,yang'xi'shi'chang
一线货场,yi'xian'huo'chang
一元路,yi'yuan'lu
一中,yi'zhong
一中路口,yi'zhong'lu'kou
永利市场,yong'li'shi'chang
招呼站,zhao'hu'zhan
正顺庙,zheng'shun'miao
政务中心,zheng'wu'zhong'xin
制药厂,zhi'yao'chang
职业中专,zhi'ye'zhong'zhuan
重机厂,zhong'ji'chang
重机技校,zhong'ji'ji'xiao
中山公园,zhong'shan'gong'yuan
铸造厂,zhu'zao'chang
