曾几何时,ceng'ji'he'shi
曾经沧海,ceng'jing'cang'hai
曾无与二,ceng'wu'yu'er
瘈狗噬人,chi'gou'shi'ren
重操旧业,chong'cao'jiu'ye
重重叠叠,chong'chong'die'die
重床叠架,chong'chuang'die'jia
重床迭架,chong'chuang'die'jia
重床叠屋,chong'chuang'die'wu
重床迭屋,chong'chuang'die'wu
重蹈覆辙,chong'dao'fu'zhe
重睹天日,chong'du'tian'ri
重光累洽,chong'guang'lei'qia
重规沓矩,chong'gui'da'ju
重规叠矩,chong'gui'die'ju
重规迭矩,chong'gui'die'ju
重圭叠组,chong'gui'die'zu
重珪叠组,chong'gui'die'zu
重珪迭组,chong'gui'die'zu
重规累矩,chong'gui'lei'ju
重规袭矩,chong'gui'xi'ju
重归于好,chong'gui'yu'hao
重迹屏气,chong'ji'bing'qi
重见天日,chong'jian'tian'ri
重金兼紫,chong'jin'jian'zi
重金袭汤,chong'jin'xi'tang
重九登高,chong'jiu'deng'gao
重来郭伋,chong'lai'guo'ji
重理旧业,chong'li'jiu'ye
重楼飞阁,chong'lou'fei'ge
重楼金线,chong'lou'jin'xian
重峦叠巘,chong'luan'die'yan
重峦迭巘,chong'luan'die'yan
重峦叠嶂,chong'luan'die'zhang
重峦迭嶂,chong'luan'die'zhang
重峦复嶂,chong'luan'fu'zhang
重门叠户,chong'men'die'hu
重明继焰,chong'ming'ji'yan
重葩累藻,chong'pa'lei'zao
重纰貤缪,chong'pi'yi'miu
重起炉灶,chong'qi'lu'zao
重起炉竈,chong'qi'lu'zao
重三叠四,chong'san'die'si
重三迭四,chong'san'die'si
重山复岭,chong'shan'fu'ling
重山复水,chong'shan'fu'shui
重山峻岭,chong'shan'jun'ling
重生父母,chong'sheng'fu'mu
重生爷娘,chong'sheng'ye'niang
重施故伎,chong'shi'gu'ji
重手累足,chong'shou'lei'zu
重弹老调,chong'tan'lao'diao
重提旧事,chong'ti'jiu'shi
重温旧梦,chong'wen'jiu'meng
重温旧业,chong'wen'jiu'ye
重熙累绩,chong'xi'lei'ji
重熙累盛,chong'xi'lei'sheng
重熙累叶,chong'xi'lei'ye
重新做人,chong'xin'zuo'ren
重兴旗鼓,chong'xing'qi'gu
重修旧好,chong'xiu'jiu'hao
重岩叠嶂,chong'yan'die'zhang
重岩叠障,chong'yan'die'zhang
重岩迭障,chong'yan'die'zhang
重阳落帽,chong'yang'luo'mao
重裀列鼎,chong'yin'lie'ding
重垣叠锁,chong'yuan'die'suo
重垣迭锁,chong'yuan'die'suo
重张旗鼓,chong'zhang'qi'gu
重振旗鼓,chong'zhen'qi'gu
重整旗鼓,chong'zheng'qi'gu
重足屏气,chong'zu'bing'qi
重足而立,chong'zu'er'li
重足累息,chong'zu'lei'xi
重足一迹,chong'zu'yi'ji
椎锋陷陈,chui'feng'xian'chen
椎锋陷阵,chui'feng'xian'zhen
椎肤剥髓,chui'fu'bo'sui
椎肤剥体,chui'fu'bo'ti
椎埋穿掘,chui'mai'chuan'jue
椎埋狗窃,chui'mai'gou'qie
椎埋屠狗,chui'mai'tu'gou
椎牛发冢,chui'niu'fa'zhong
椎牛歃血,chui'niu'sha'xue
椎牛飨士,chui'niu'xiang'shi
椎心顿足,chui'xin'dun'zu
椎心呕血,chui'xin'ou'xue
椎心泣血,chui'xin'qi'xue
