昂热,ang're
奥丁,ao'ding
白王,bai'wang
北欧神话,bei'ou'shen'hua
藏骸之井,cang'hai'zhi'jing
陈墨瞳,chen'mo'tong
楚子航,chu'zi'hang
纯血龙族,chun'xue'long'zu
大地与山之王,da'di'yu'shan'zhi'wang
大海与水之王,da'hai'yu'shui'zhi'wang
德尔塔红星,de'er'ta'hong'xing
豆叔,dou'shu
二十三幕,er'shi'san'mu
二十四幕,er'shi'si'mu
二十五幕,er'shi'wu'mu
芬格尔,fen'ge'er
芬里厄,fen'li'e
风间琉璃,feng'jian'liu'li
风魔小太郎,feng'mo'xiao'tai'lang
复苏,fu'su
高天原,gao'tian'yuan
黑王,hei'wang
黑月之潮,hei'yue'zhi'chao
黄金瞳,huang'jin'tong
混血君主,hun'xue'jun'zhu
混血种,hun'xue'zhong
祭司,ji'si
祭祀,ji'si
祭祀品,ji'si'pin
加图索,jia'tu'suo
江南,jiang'nan
净琉璃母,jing'liu'li'mu
精神,jing'shen
恺撒,kai'sa
康斯坦丁,kang'si'tan'ding
老板,lao'ban
蕾塔娜,lei'ta'na
炼金术,lian'jin'shu
列宁号,lie'ning'hao
零号,ling'hao
灵魂,ling'hun
龙骨十字,long'gu'shi'zi
龙鳞,long'lin
龙卵,long'luan
龙门,long'men
龙族,long'zu
路明非,lu'ming'fei
路鸣泽,lu'ming'ze
麻衣,ma'yi
秘党,mi'dang
南大,nan'da
南叔,nan'shu
尼德霍格,ni'de'huo'ge
诺顿,nuo'dun
诺诺,nuo'nuo
帕西,pa'xi
青铜与火之王,qing'tong'yu'huo'zhi'wang
犬山贺,quan'shan'he
上杉越,shang'shan'yue
上头,shang'tou
圣骸,sheng'hai
手打组,shou'da'zu
四大君主,si'da'jun'zhu
死侍,si'shi
苏茜,su'qian
苏醒,su'xing
宿主,su'zhu
天空与风之王,tian'kong'yu'feng'zhi'wang
天照,tian'zhao
夏弥,xia'mi
贤者之石,xian'zhe'zhi'shi
小魔鬼,xiao'mo'gui
须佐之男,xu'zuo'zhi'nan
血统,xue'tong
亚纪,ya'ji
言灵,yan'ling
耶梦加得,ye'meng'jia'de
叶胜,ye'sheng
预言书,yu'yan'shu
元素,yuan'su
源稚女,yuan'zhi'nv
源稚生,yuan'zhi'sheng
月读,yue'du
种族,zhong'zu
