奥克兰,ao'ke'lan
奥塔哥,ao'ta'ge
布拉夫,bu'la'fu
但尼丁,dan'ni'ding
岛屿湾,dao'yu'wan
蒂阿瑙,di'a'nao
福克斯冰川,fu'ke'si'bing'chuan
弗朗兹约瑟夫冰川,fu'lang'zi'yue'se'fu'bing'chuan
格林诺奇,ge'lin'nuo'qi
汉密尔顿,han'mi'er'dun
皇后镇,huang'hou'zhen
惠灵顿,hui'ling'dun
基督城,ji'du'cheng
激流岛,ji'liu'dao
箭镇,jian'zhen
教堂湾,jiao'tang'wan
凯库拉,kai'ku'la
库克山国家公园,ku'ke'shan'guo'jia'gong'yuan
罗托鲁瓦,luo'tuo'lu'wa
马尔堡,ma'er'bao
玛塔玛塔,ma'ta'ma'ta
米尔福德峡湾,mi'er'fu'de'xia'wan
派西亚,pai'xi'ya
皮克顿,pi'ke'dun
陶波湖,tao'bo'hu
雅芳河,ya'fang'he
因弗卡吉尔,yin'fu'ka'ji'er
