驳回,bo'hui
驳回抗诉,bo'hui'kang'su
驳回上诉,bo'hui'shang'su
部分上诉,bu'fen'shang'su
不公开审理,bu'gong'kai'shen'li
裁定,cai'ding
裁决,cai'jue
裁判,cai'pan
撤销原判,che'xiao'yuan'pan
承审员,cheng'shen'yuan
重审,chong'shen
初审,chu'shen
当庭宣判,dang'ting'xuan'pan
当庭作证,dang'ting'zuo'zheng
第二审程序,di'er'shen'cheng'xu
第一审程序,di'yi'shen'cheng'xu
定期宣判,ding'qi'xuan'pan
独任制,du'ren'zhi
二审,er'shen
二审案件,er'shen'an'jian
二审裁定,er'shen'cai'ding
二审法院,er'shen'fa'yuan
二审判决,er'shen'pan'jue
二审终结,er'shen'zhong'jie
发回重审,fa'hui'chong'shen
法栏,fa'lan
发生法律效力的裁定,fa'sheng'fa'lv'xiao'li'de'cai'ding
发生法律效力的判决,fa'sheng'fa'lv'xiao'li'de'pan'jue
法台,fa'tai
法庭辩论,fa'ting'bian'lun
法庭调查,fa'ting'diao'cha
法庭纪律,fa'ting'ji'lv
法庭命令,fa'ting'ming'ling
法庭审判笔录,fa'ting'shen'pan'bi'lu
法庭调解,fa'ting'tiao'jie
改判,gai'pan
更审,geng'shen
公开宣判,gong'kai'xuan'pan
公判,gong'pan
合并审理,he'bing'shen'li
合议庭,he'yi'ting
合议制,he'yi'zhi
核准,he'zhun
畸轻畸重,ji'qing'ji'zhong
监刑人,jian'xing'ren
交付执行,jiao'fu'zhi'xing
就地正法,jiu'di'zheng'fa
拒绝收押,ju'jue'shou'ya
决定,jue'ding
开庭,kai'ting
开庭审判,kai'ting'shen'pan
抗诉,kang'su
抗诉期限,kang'su'qi'xian
科处刑罚的判决,ke'chu'xing'fa'de'pan'jue
口头裁定,kou'tou'cai'ding
立即宣判,li'ji'xuan'pan
免除刑罚的判决,mian'chu'xing'fa'de'pan'jue
判决,pan'jue
旁听,pang'ting
旁听纪律,pang'ting'ji'lv
评议,ping'yi
评议笔录,ping'yi'bi'lu
枪决,qiang'jue
全部改判,quan'bu'gai'pan
全部上诉,quan'bu'shang'su
确定的裁定,que'ding'de'cai'ding
确定的判决,que'ding'de'pan'jue
缺席判决,que'xi'pan'jue
缺席审判,que'xi'shen'pan
上诉,shang'su
上诉不加刑,shang'su'bu'jia'xing
上诉期限,shang'su'qi'xian
上诉权,shang'su'quan
上诉审,shang'su'shen
上诉状,shang'su'zhuang
审查公诉,shen'cha'gong'su
审结,shen'jie
审理,shen'li
审判,shen'pan
审判公告,shen'pan'gong'gao
审判监督程序,shen'pan'jian'du'cheng'xu
审判长,shen'pan'zhang
审判组织,shen'pan'zu'zhi
审限,shen'xian
实体审,shi'ti'shen
适用法律不当,shi'yong'fa'lv'bu'dang
授权核准,shou'quan'he'zhun
书面裁定,shu'mian'cai'ding
书面审,shu'mian'shen
书面审理,shu'mian'shen'li
死刑复核,si'xing'fu'he
死刑复核裁定,si'xing'fu'he'cai'ding
死刑复核程度,si'xing'fu'he'cheng'du
死刑复核制度,si'xing'fu'he'zhi'du
死刑核准,si'xing'he'zhun
死刑核准权,si'xing'he'zhun'quan
诉的分离,su'de'fen'li
诉讼合并,su'song'he'bing
提起再审,ti'qi'zai'shen
提前释放,ti'qian'shi'fang
提审,ti'shen
停止审判,ting'zhi'shen'pan
停止执行,ting'zhi'zhi'xing
维持原判,wei'chi'yuan'pan
委托调查,wei'tuo'diao'cha
无罪判决,wu'zui'pan'jue
刑事裁定书,xing'shi'cai'ding'shu
刑事判决,xing'shi'pan'jue
刑事判决书,xing'shi'pan'jue'shu
刑事上诉状,xing'shi'shang'su'zhuang
刑事调解,xing'shi'tiao'jie
刑事调解书,xing'shi'tiao'jie'shu
休庭,xiu'ting
宣布开庭,xuan'bu'kai'ting
宣告判决,xuan'gao'pan'jue
宣告无罪,xuan'gao'wu'zui
言词审理,yan'ci'shen'li
验明正身,yan'ming'zheng'shen
延期审理,yan'qi'shen'li
延期执行,yan'qi'zhi'xing
一部改判,yi'bu'gai'pan
一部上诉,yi'bu'shang'su
一审,yi'shen
一审案件,yi'shen'an'jian
一审裁定,yi'shen'cai'ding
一审法院,yi'shen'fa'yuan
一审判决,yi'shen'pan'jue
一审终结,yi'shen'zhong'jie
有罪判决,you'zui'pan'jue
原审,yuan'shen
再审,zai'shen
再审裁定,zai'shen'cai'ding
再审法院,zai'shen'fa'yuan
再审理由,zai'shen'li'you
再审申请,zai'shen'shen'qing
直接审理,zhi'jie'shen'li
执行,zhi'xing
执行笔录,zhi'xing'bi'lu
执行变更,zhi'xing'bian'geng
执行程序,zhi'xing'cheng'xu
执行机关,zhi'xing'ji'guan
执行监督,zhi'xing'jian'du
执行死刑命令,zhi'xing'si'xing'ming'ling
执行停止,zhi'xing'ting'zhi
执行通知书,zhi'xing'tong'zhi'shu
终审,zhong'shen
终审裁定,zhong'shen'cai'ding
终审判决,zhong'shen'pan'jue
自行和解,zi'xing'he'jie
罪犯,zui'fan
最后陈述权,zui'hou'chen'shu'quan
