暗煤,an'mei
安全罩,an'quan'zhao
凹弧,ao'hu
凹弧半径,ao'hu'ban'jing
凹弧段,ao'hu'duan
凹克跳汰机,ao'ke'tiao'tai'ji
扒斗式,ba'dou'shi
耙架,ba'jia
耙煤,ba'mei
耙煤绞车,ba'mei'jiao'che
耙式,ba'shi
耙式浓缩机,ba'shi'nong'suo'ji
摆动溜槽,bai'dong'liu'cao
百分浓度,bai'fen'nong'du
半仓式,ban'cang'shi
板锤,ban'chui
半地下式,ban'di'xia'shi
半地下贮煤仓,ban'di'xia'zhu'mei'cang
板簧,ban'huang
半架空式,ban'jia'kong'shi
板框压滤机,ban'kuang'ya'lv'ji
半逆流式,ban'ni'liu'shi
伴生矿物,ban'sheng'kuang'wu
板式基础,ban'shi'ji'chu
板式闸门,ban'shi'zha'men
板状斗链,ban'zhuang'dou'lian
板状链,ban'zhuang'lian
板状筛板,ban'zhuang'shai'ban
板状筛面,ban'zhuang'shai'mian
磅秤,bang'cheng
磅房,bang'fang
棒磨机,bang'mo'ji
棒条,bang'tiao
棒条筛,bang'tiao'shai
棒条筛板,bang'tiao'shai'ban
棒条筛面,bang'tiao'shai'mian
保护开关,bao'hu'kai'guan
爆扩桩,bao'kuo'zhuang
奔离点,ben'li'dian
泵池,beng'chi
泵房,beng'fang
泵盖,beng'gai
泵给料,beng'gei'liao
泵体,beng'ti
比表面,bi'biao'mian
闭路破碎,bi'lu'po'sui
闭路跳汰,bi'lu'tiao'tai
闭路洗选,bi'lu'xi'xuan
闭路重介,bi'lu'zhong'jie
变电所,bian'dian'suo
变幅分级筛,bian'fu'fen'ji'shai
变径槽,bian'jing'cao
变相辊,bian'xiang'gun
编制筛板,bian'zhi'shai'ban
编织筛面,bian'zhi'shai'mian
编制筛网,bian'zhi'shai'wang
标枪式,biao'qiang'shi
表压,biao'ya
标准砝码,biao'zhun'fa'ma
并联布置,bing'lian'bu'zhi
并联式,bing'lian'shi
拨动轮,bo'dong'lun
波形风阀,bo'xing'feng'fa
补充水,bu'chong'shui
不分级,bu'fen'ji
不分级入洗,bu'fen'ji'ru'xi
不分级入选,bu'fen'ji'ru'xuan
补加量,bu'jia'liang
补加水,bu'jia'shui
补加水量,bu'jia'shui'liang
不均衡系数,bu'jun'heng'xi'shu
捕收剂,bu'shou'ji
补水量,bu'shui'liang
不完善度,bu'wan'shan'du
不粘结,bu'zhan'jie
不粘结煤,bu'zhan'jie'mei
不粘煤,bu'zhan'mei
布置图,bu'zhi'tu
材料库,cai'liao'ku
采暖,cai'nuan
采暖通风,cai'nuan'tong'feng
采暖通风专业,cai'nuan'tong'feng'zhuan'ye
采样点,cai'yang'dian
采样管,cai'yang'guan
仓壁,cang'bi
仓斗,cang'dou
仓体,cang'ti
仓位计,cang'wei'ji
槽宽,cao'kuan
槽面,cao'mian
槽深,cao'shen
槽探,cao'tan
槽箱,cao'xiang
槽形,cao'xing
槽形仓,cao'xing'cang
槽型齿面,cao'xing'chi'mian
槽选法,cao'xuan'fa
操纵阀,cao'zong'fa
操作轮,cao'zuo'lun
侧板,ce'ban
侧鼓,ce'gu
侧鼓跳汰机,ce'gu'tiao'tai'ji
测灰仪,ce'hui'yi
侧开门,ce'kai'men
侧倾式,ce'qing'shi
侧倾式翻车机,ce'qing'shi'fan'che'ji
侧压板,ce'ya'ban
测压管,ce'ya'guan
侧压力,ce'ya'li
侧压力系数,ce'ya'li'xi'shu
插板闸门,cha'ban'zha'men
柴煤,chai'mei
产品煤,chan'pin'mei
产品目录保证值,chan'pin'mu'lu'bao'zheng'zhi
产品平衡表,chan'pin'ping'heng'biao
产品脱水,chan'pin'tuo'shui
产品预测,chan'pin'yu'ce
敞开式,chang'kai'shi
敞开式圆盘给料机,chang'kai'shi'yuan'pan'gei'liao'ji
厂区概况,chang'qu'gai'kuang
厂型,chang'xing
长焰煤,chang'yan'mei
常用代号,chang'yong'dai'hao
超声波料位计,chao'sheng'bo'liao'wei'ji
车号识别系统,che'hao'shi'bie'xi'tong
车号自动识别系统,che'hao'zi'dong'shi'bie'xi'tong
车式,che'shi
车式拉紧,che'shi'la'jin
车式拉紧装置,che'shi'la'jin'zhuang'zhi
衬板,chen'ban
沉淀槽,chen'dian'cao
沉淀池,chen'dian'chi
沉淀面积,chen'dian'mian'ji
沉淀塔,chen'dian'ta
沉降过滤,chen'jiang'guo'lv
沉降过滤式,chen'jiang'guo'lv'shi
沉降过滤式离心机,chen'jiang'guo'lv'shi'li'xin'ji
沉降过滤式离心脱水机,chen'jiang'guo'lv'shi'li'xin'tuo'shui'ji
沉降面积,chen'jiang'mian'ji
沉降式,chen'jiang'shi
沉降式离心机,chen'jiang'shi'li'xin'ji
沉降式离心脱水机,chen'jiang'shi'li'xin'tuo'shui'ji
沉降试验,chen'jiang'shi'yan
沉降速度,chen'jiang'su'du
沉降特性,chen'jiang'te'xing
沉煤样,chen'mei'yang
沉物,chen'wu
沉物累计,chen'wu'lei'ji
沉物累计产率,chen'wu'lei'ji'chan'lv
沉物曲线,chen'wu'qu'xian
称量砝码,cheng'liang'fa'ma
称量控制器,cheng'liang'kong'zhi'qi
澄清区,cheng'qing'qu
澄清水,cheng'qing'shui
澄清水池,cheng'qing'shui'chi
承载台,cheng'zai'tai
称重仓,cheng'zhong'cang
称重传感器,cheng'zhong'chuan'gan'qi
承重梁,cheng'zhong'liang
齿板,chi'ban
齿辊,chi'gun
齿辊式破碎机,chi'gun'shi'po'sui'ji
齿轮桥,chi'lun'qiao
齿面辊,chi'mian'gun
齿数,chi'shu
齿条,chi'tiao
齿条式,chi'tiao'shi
齿牙,chi'ya
齿质,chi'zhi
冲击式,chong'ji'shi
冲击式破碎机,chong'ji'shi'po'sui'ji
冲孔,chong'kong
冲孔筛板,chong'kong'shai'ban
充气搅拌装置,chong'qi'jiao'ban'zhuang'zhi
充气式,chong'qi'shi
冲水槽,chong'shui'cao
充填率,chong'tian'lv
充填系数,chong'tian'xi'shu
重选,chong'xuan
重选法,chong'xuan'fa
重选系统,chong'xuan'xi'tong
抽风,chou'feng
初步可行性研究,chu'bu'ke'xing'xing'yan'jiu
初步设计,chu'bu'she'ji
除尘器,chu'chen'qi
除尘设备,chu'chen'she'bei
储矿,chu'kuang
初拉力,chu'la'li
出料口,chu'liao'kou
储煤,chu'mei
储煤仓,chu'mei'cang
储煤槽,chu'mei'cao
储煤场,chu'mei'chang
除铁器,chu'tie'qi
除杂,chu'za
传动滚筒,chuan'dong'gun'tong
传动架,chuan'dong'jia
传感器,chuan'gan'qi
串联布置,chuan'lian'bu'zhi
串联式,chuan'lian'shi
穿条,chuan'tiao
床层,chuang'ceng
窗口溢流,chuang'kou'yi'liu
吹风卸料,chui'feng'xie'liao
锤式,chui'shi
锤式破碎机,chui'shi'po'sui'ji
锤碎机,chui'sui'ji
锤振法,chui'zhen'fa
垂直圆盘过滤机,chui'zhi'yuan'pan'guo'lv'ji
