阿尔丰索,a'er'feng'suo
阿尔赫尼妲,a'er'he'ni'da
阿尔瓦罗,a'er'wa'luo
阿利黎奥诺格拉医生,a'li'li'ao'nuo'ge'la'yi'sheng
阿姆兰妲,a'mu'lan'da
阿姆兰妲乌尔苏拉,a'mu'lan'da'wu'er'su'la
安帕萝,an'pa'luo
奥东尼奥伊莎贝尔神甫,ao'dong'ni'ao'yi'sha'bei'er'shen'fu
奥雷里亚诺阿卡亚,ao'lei'li'ya'nuo'a'ka'ya
奥雷里亚诺布恩迪亚,ao'lei'li'ya'nuo'bu'en'di'ya
奥雷里亚诺布恩迪亚第二,ao'lei'li'ya'nuo'bu'en'di'ya'di'er
奥雷里亚诺何塞,ao'lei'li'ya'nuo'he'sai
奥雷里亚诺塞拉多,ao'lei'li'ya'nuo'sai'la'duo
奥雷里亚诺森里诺,ao'lei'li'ya'nuo'sen'li'nuo
奥雷里亚诺特里斯特,ao'lei'li'ya'nuo'te'li'si'te
鸨母,bao'mu
庇拉尔特尔内拉,bi'la'er'te'er'nei'la
比索,bi'suo
比西塔西翁,bi'xi'ta'xi'weng
布鲁诺克雷斯皮,bu'lu'nuo'ke'lei'si'pi
大泽区,da'ze'qu
玳瑁,dai'mao
弗朗西斯德雷克爵士,fu'lang'xi'si'de'lei'ke'jue'shi
弗朗西斯科,fu'lang'xi'si'ke
咯啦,ge'la
格雷戈里奥史蒂文森上校,ge'lei'ge'li'ao'shi'di'wen'sen'shang'xiao
骨殖,gu'shi
瓜希拉,gua'xi'la
赫伯特先生,he'bo'te'xian'sheng
赫尔曼,he'er'man
赫里内勒多马尔克斯,he'li'nei'le'duo'ma'er'ke'si
何塞阿尔卡迪奥,he'sai'a'er'ka'di'ao
何塞阿尔卡迪奥布恩迪亚,he'sai'a'er'ka'di'ao'bu'en'di'ya
何塞阿卡迪奥第二,he'sai'a'ka'di'ao'di'er
何塞德尔卡皮奥,he'sai'de'er'ka'pi'ao
何塞拉克尔蒙卡达,he'sai'la'ke'er'meng'ka'da
黑色天鹅绒正装,hei'se'tian'e'rong'zheng'zhuang
华尔兹,hua'er'zi
吉普赛人,ji'pu'sai'ren
加布列尔,jia'bu'lie'er
加勒比,jia'le'bi
加斯通,jia'si'tong
加泰罗尼亚智者,jia'tai'luo'ni'ya'zhi'zhe
加西亚马尔克斯,jia'xi'ya'ma'er'ke'si
杰克布朗,jie'ke'bu'lang
疖子,jie'zi
金刚鹦鹉,jin'gang'ying'wu
卡梅莉塔蒙铁儿,ka'mei'li'ta'meng'tie'er
卡其布上装,ka'qi'bu'shang'zhuang
卡斯蒂利亚语,ka'si'di'li'ya'yu
卡塔利诺,ka'ta'li'nuo
克里奥约人,ke'li'ao'yue'ren
雷梅黛丝,lei'mei'dai'si
里奥阿查,li'ao'a'cha
里奥波德维尔,li'ao'bo'de'wei'er
丽贝卡,li'bei'ka
里正,li'zheng
鬣蜥,lie'xi
罗格卡尔尼塞罗,luo'ge'ka'er'ni'sai'luo
马格尼菲科比斯巴勒,ma'ge'ni'fei'ke'bi'si'ba'le
马孔多,ma'kong'duo
马尼拉大披巾,ma'ni'la'da'pi'jin
马钱子碱,ma'qian'zi'jian
马乌里肖巴比伦,ma'wu'li'xiao'ba'bi'lun
梅尔基亚德斯,mei'er'ji'ya'de'si
梅梅,mei'mei
孟菲斯城,meng'fei'si'cheng
米拉萨迦丝杜梅,mi'la'sa'jia'si'du'mei
尼格罗曼妲,ni'ge'luo'man'da
尼卡诺尔雷伊纳神甫,ni'ka'nuo'er'lei'yi'na'shen'fu
尼兰迪亚镇,ni'lan'di'ya'zhen
牛至,niu'zhi
欧洲蕨,ou'zhou'jue
佩特拉科特斯,pei'te'la'ke'te'si
皮埃特罗克雷斯皮,pi'ai'te'luo'ke'lei'si'pi
普鲁邓希奥阿基拉尔,pu'lu'deng'xi'ao'a'ji'la'er
秋海棠,qiu'hai'tang
萨洛尼卡港,sa'luo'ni'ka'gang
桑塔索菲亚德拉彼达,sang'ta'suo'fei'ya'de'la'bi'da
神甫,shen'fu
生太伏,sheng'tai'fu
顺势疗法,shun'shi'liao'fa
堂阿波利纳尔摩斯科特,tang'a'bo'li'na'er'mo'si'ke'te
特奥菲洛巴尔斯将军,te'ao'fei'luo'ba'er'si'jiang'jun
维多利奥梅迪纳将军,wei'duo'li'ao'mei'di'na'jiang'jun
乌尔苏拉,wu'er'su'la
行刑队,xing'xing'dui
雅各酒店,ya'ge'jiu'dian
一般无二,yi'ban'wu'er
银板照相术,yin'ban'zhao'xiang'shu
印第安,yin'di'an
殖民地金币,zhi'min'di'jin'bi
猪尾巴,zhu'wei'ba
棕榈叶顶棚,zong'lv'ye'ding'peng
