安山徐家,an'shan'xu'jia
白露办事处,bai'lu'ban'shi'chu
白露村,bai'lu'cun
白露桥洞,bai'lu'qiao'dong
白露湾,bai'lu'wan
滨江明珠,bin'jiang'ming'zhu
步步高超市,bu'bu'gao'chao'shi
财苑宾馆,cai'yuan'bin'guan
长石岭宋家,chang'shi'ling'song'jia
储运公司,chu'yun'gong'si
大队,da'dui
地质队,di'zhi'dui
电陶小区,dian'tao'xiao'qu
电影院,dian'ying'yuan
东川占家,dong'chuan'zhan'jia
东湖,dong'hu
东湖路口,dong'hu'lu'kou
东三村,dong'san'cun
东四村,dong'si'cun
东一村,dong'yi'cun
二化,er'hua
防腐厂,fang'fu'chang
福神汽贸,fu'shen'qi'mao
赣东商城南门,gan'dong'shang'cheng'nan'men
甘露寺,gan'lu'si
干鲜果市场,gan'xian'guo'shi'chang
干休所,gan'xiu'suo
鸽鸽食品厂,ge'ge'shi'pin'chang
供电局,gong'dian'ju
公共实训中心,gong'gong'shi'xun'zhong'xin
公交广告公司,gong'jiao'guang'gao'gong'si
工业园管委会,gong'ye'yuan'guan'wei'hui
工业园区管委会,gong'ye'yuan'qu'guan'wei'hui
光宝科技,guang'bao'ke'ji
贵溪安置房,gui'xi'an'zhi'fang
贵溪北站,gui'xi'bei'zhan
贵溪火车站,gui'xi'huo'che'zhan
贵溪桥头,gui'xi'qiao'tou
贵溪始发站,gui'xi'shi'fa'zhan
贵溪土菜馆,gui'xi'tu'cai'guan
国道,guo'dao
国道路口,guo'dao'lu'kou
海事局,hai'shi'ju
和谐小区,he'xie'xiao'qu
恒镒工贸,heng'yi'gong'mao
洪鹰宾馆,hong'ying'bin'guan
宏源铜业,hong'yuan'tong'ye
华侨饭店,hua'qiao'fan'dian
化溪张家,hua'xi'zhang'jia
环城路口,huan'cheng'lu'kou
环城西路口,huan'cheng'xi'lu'kou
火车站,huo'che'zhan
机械厂,ji'xie'chang
机修厂,ji'xiu'chang
佳城美丽园,jia'cheng'mei'li'yuan
建设路口,jian'she'lu'kou
交警支队,jiao'jing'zhi'dui
交警直属大队,jiao'jing'zhi'shu'da'dui
金谷园,jin'gu'yuan
金山弄,jin'shan'nong
看田畈张家,kan'tian'fan'zhang'jia
科华水泥厂,ke'hua'shui'ni'chang
客运段,ke'yun'duan
口上黄家,kou'shang'huang'jia
口上李家,kou'shang'li'jia
垃圾中转站,la'ji'zhong'zhuan'zhan
老屋董家,lao'wu'dong'jia
李家村,li'jia'cun
莲花菜场,lian'hua'cai'chang
联通公司,lian'tong'gong'si
林家,lin'jia
六小,liu'xiao
龙虎山国际大酒店,long'hu'shan'guo'ji'da'jiu'dian
龙虎山南大道,long'hu'shan'nan'da'dao
龙虎山汽车站,long'hu'shan'qi'che'zhan
龙虎山游客中心,long'hu'shan'you'ke'zhong'xin
露江小区,lu'jiang'xiao'qu
麻里塘王家,ma'li'tang'wang'jia
梅树园,mei'shu'yuan
美运鞋业,mei'yun'xie'ye
南边张家,nan'bian'zhang'jia
南站二公司,nan'zhan'er'gong'si
南站南大门,nan'zhan'nan'da'men
倪家村,ni'jia'cun
汽车队,qi'che'dui
汽车站,qi'che'zhan
汽车站星艺装饰,qi'che'zhan'xing'yi'zhuang'shi
桥西黄家,qiao'xi'huang'jia
清波雅苑,qing'bo'ya'yuan
倾城,qing'cheng
清水源饭店,qing'shui'yuan'fan'dian
人民公园,ren'min'gong'yuan
瑞和国际,rui'he'guo'ji
三川集团,san'chuan'ji'tuan
三川水表,san'chuan'shui'biao
三二,san'er
