步步惊心,bu'bu'jing'xin
辰东,chen'dong
大主宰,da'zhu'zai
盗墓笔记,dao'mu'bi'ji
斗罗大陆,dou'luo'da'lu
斗破苍穹,dou'po'cang'qiong
凡人修仙传,fan'ren'xiu'xian'zhuan
鬼吹灯,gui'chui'deng
果果,guo'guo
狐妖小红娘,hu'yao'xiao'hong'niang
花千骨,hua'qian'gu
江鸟希,jiang'niao'xi
老猪,lao'zhu
梦入神机,meng'ru'shen'ji
芈月传,mi'yue'chuan
南派三叔,nan'pai'san'shu
飘渺之旅,piao'miao'zhi'lv
蛇咬鬼冠,she'yao'gui'guan
神墓,shen'mu
圣王,sheng'wang
瞬间倾城,shun'jian'qing'cheng
唐家三少,tang'jia'san'shao
天蚕土豆,tian'can'tu'dou
天下霸唱,tian'xia'ba'chang
桐华,tong'hua
吞灭业天,tun'mie'ye'tian
忘语,wang'yu
未央沉浮,wei'yang'chen'fu
我吃西红柿,wo'chi'xi'hong'shi
武动乾坤,wu'dong'qian'kun
萧鼎,xiao'ding
萧潜,xiao'qian
星辰变,xing'chen'bian
择天记,ze'tian'ji
遮天,zhe'tian
咒灵宅男,zhou'ling'zhai'nan
诛仙,zhu'xian
紫川,zi'chuan
