嗳气吞酸,ai'qi'tun'suan
艾条,ai'tiao
安多霖胶囊,an'duo'lin'jiao'nang
安宫牛黄丸,an'gong'niu'huang'wan
安络化纤丸,an'luo'hua'xian'wan
傲然自得,ao'ran'zi'de
八宝丹胶囊,ba'bao'dan'jiao'nang
拔毒膏,ba'du'gao
八珍颗粒,ba'zhen'ke'li
八珍汤,ba'zhen'tang
八正木通与车前,ba'zheng'mu'tong'yu'che'qian
八正散,ba'zheng'san
百合固金二地黄,bai'he'gu'jin'er'di'huang
百合固金汤,bai'he'gu'jin'tang
白虎膏知甘草粳,bai'hu'gao'zhi'gan'cao'jing
白虎汤,bai'hu'tang
白滑,bai'hua
百乐眠胶囊,bai'le'mian'jiao'nang
百令胶囊,bai'ling'jiao'nang
白腻,bai'ni
白前甘草共为末,bai'qian'gan'cao'gong'wei'mo
白头翁汤,bai'tou'weng'tang
白头翁汤治热痢,bai'tou'weng'tang'zhi're'li
柏子养心丸,bai'zi'yang'xin'wan
斑黄阳毒皆可治,ban'huang'yang'du'jie'ke'zhi
板兰根颗粒,ban'lan'gen'ke'li
半夏白木天麻汤,ban'xia'bai'mu'tian'ma'tang
半夏白术天麻汤,ban'xia'bai'zhu'tian'ma'tang
半夏参草大枣姜,ban'xia'can'cao'da'zao'jiang
半夏厚朴痰气疏,ban'xia'hou'po'tan'qi'shu
半夏厚朴汤,ban'xia'hou'po'tang
半夏人参甘草从,ban'xia'ren'shen'gan'cao'cong
半夏人参橘茯苓,ban'xia'ren'shen'ju'fu'ling
半夏糖浆,ban'xia'tang'jiang
半夏泻心黄连芩,ban'xia'xie'xin'huang'lian'qin
半夏泻心汤,ban'xia'xie'xin'tang
保肺清心治暑淫,bao'fei'qing'xin'zhi'shu'yin
保妇康栓,bao'fu'kang'shuan
保和神曲与山楂,bao'he'shen'qu'yu'shan'zha
保和丸,bao'he'wan
保济丸,bao'ji'wan
必当安神定志,bi'dang'an'shen'ding'zhi
鼻窦炎口服液,bi'dou'yan'kou'fu'ye
萆解分清石菖蒲,bi'jie'fen'qing'shi'chang'pu
鼻塞咽干,bi'sai'yan'gan
必先诊候以审之,bi'xian'zhen'hou'yi'shen'zhi
萆薢分清饮,bi'xie'fen'qing'yin
痹欣片,bi'xin'pian
鼻炎片,bi'yan'pian
必有大段要急之处,bi'you'da'duan'yao'ji'zhi'chu
鼻渊胶囊,bi'yuan'jiao'nang
便鞭痞满泻热良,bian'bian'pi'man'xie're'liang
便秘口渴急煎尝,bian'mi'kou'ke'ji'jian'chang
便脓血,bian'nong'xue
遍身搔痒,bian'shen'sao'yang
便谓天下无病可治,bian'wei'tian'xia'wu'bing'ke'zhi
便血,bian'xie
萹蓄大黄滑石研,bian'xu'da'huang'hua'shi'yan
表邪被湿持于里,biao'xie'bei'shi'chi'yu'li
表虚汗多易感冒,biao'xu'han'duo'yi'gan'mao
表虚自汗,biao'xu'zi'han
表虚自汗正宜用,biao'xu'zi'han'zheng'yi'yong
冰黄肤乐软膏,bing'huang'fu'le'ruan'gao
冰硼散,bing'peng'san
病危脉绝急煎斟,bing'wei'mai'jue'ji'jian'zhen
不得道听途说,bu'de'dao'ting'tu'shuo
不得多语调笑,bu'de'duo'yu'tiao'xiao
不得平卧,bu'de'ping'wo
不得起一念蒂芥之心,bu'de'qi'yi'nian'di'jie'zhi'xin
不得问其贵贱贫富,bu'de'wen'qi'gui'jian'pin'fu
不得已隐忍而用之,bu'de'yi'yin'ren'er'yong'zhi
不得于性命之上,bu'de'yu'xing'ming'zhi'shang
不皎不昧,bu'jiao'bu'mei
不离斯须,bu'li'si'xu
补脾益肠丸,bu'pi'yi'chang'wan
补脾益肺,bu'pi'yi'fei
不思饮食,bu'si'yin'shi
补心丹用柏枣仁,bu'xin'dan'yong'bai'zao'ren
补血调血,bu'xue'tiao'xue
补阳还五赤芍芎,bu'yang'hai'wu'chi'shao'xiong
补阳还五汤,bu'yang'huan'wu'tang
补药之体作泻剂,bu'yao'zhi'ti'zuo'xie'ji
补益肝肾,bu'yi'gan'shen
不在此例,bu'zai'ci'li
不在发表在宣肺,bu'zai'fa'biao'zai'xuan'fei
补中益气芪术陈,bu'zhong'yi'qi'qi'shu'chen
补中益气汤,bu'zhong'yi'qi'tang
补中益气丸,bu'zhong'yi'qi'wan
参柴颗粒,can'chai'ke'li
参茯知芩皆可入,can'fu'zhi'qin'jie'ke'ru
参苓白术扁豆陈,can'ling'bai'zhu'bian'dou'chen
参苓白术颗粒,can'ling'bai'zhu'ke'li
参芪降糖颗粒,can'qi'jiang'tang'ke'li
参芪胶囊,can'qi'jiao'nang
参芍胶囊,can'shao'jiao'nang
参术茯苓甘草比,can'shu'fu'ling'gan'cao'bi
苍术甘草姜枣齐,cang'zhu'gan'cao'jiang'zao'qi
草果附姜兼厚朴,cao'guo'fu'jiang'jian'hou'po
草梢瞿麦兼栀子,cao'shao'qu'mai'jian'zhi'zi
草梢乌药智仁具,cao'shao'wu'yao'zhi'ren'ju
草梢竹叶四般攻,cao'shao'zhu'ye'si'ban'gong
