阿兰,a'lan
阿玛肋克,a'ma'lei'ke
阿孟,a'meng
阿协耳,a'xie'er
哀祷,ai'dao
爱德,ai'de
埃及,ai'ji
爱慕,ai'mu
爱内,ai'nei
艾斯德尔传,ai'si'de'er'chuan
安德肋,an'de'lei
安提约基雅,an'ti'yue'ji'ya
安息,an'xi
安息日,an'xi'ri
奥迹,ao'ji
奥秘,ao'mi
奥体,ao'ti
巴尔多禄茂,ba'er'duo'lu'mao
巴里斯坦,ba'li'si'tan
巴路克,ba'lu'ke
暴风,bao'feng
保禄,bao'lu
保禄书信,bao'lu'shu'xin
保禄宗徒,bao'lu'zong'tu
保佑,bao'you
保障,bao'zhang
卑微,bei'wei
被召,bei'zhao
本雅明,ben'ya'ming
彼此代祷,bi'ci'dai'dao
避难所,bi'nan'suo
婢女,bi'nv
比喻,bi'yu
编年纪上,bian'nian'ji'shang
编年纪下,bian'nian'ji'xia
编上,bian'shang
编下,bian'xia
鞭子,bian'zi
表现,biao'xian
病苦,bing'ku
伯多禄,bo'duo'lu
伯多禄后书,bo'duo'lu'hou'shu
伯多禄前书,bo'duo'lu'qian'shu
伯后,bo'hou
伯前,bo'qian
补赎,bu'shu
畅饮,chang'yin
朝圣,chao'sheng
沉浸,chen'jin
沉浸在,chen'jin'zai
成圣,cheng'sheng
宠爱,chong'ai
崇拜,chong'bai
充满,chong'man
重生,chong'sheng
出谷纪,chu'gu'ji
初期,chu'qi
初学,chu'xue
传教,chuan'jiao
传教士,chuan'jiao'shi
创世纪,chuang'shi'ji
创造,chuang'zao
纯洁,chun'jie
慈爱,ci'ai
慈悲,ci'bei
慈父,ci'fu
赐给,ci'gei
慈颜,ci'yan
赐予,ci'yu
促进,cu'jin
大殿,da'dian
大公,da'gong
达玛,da'ma
达尼尔,da'ni'er
大司祭,da'si'ji
达味,da'wei
大学生,da'xue'sheng
大罪,da'zui
代祷,dai'dao
祷告,dao'gao
道理,dao'li
导师,dao'shi
得后,de'hou
德纳,de'na
德能,de'neng
得前,de'qian
得撒洛尼后书,de'sa'luo'ni'hou'shu
得撒洛尼前书,de'sa'luo'ni'qian'shu
德行,de'xing
德训篇,de'xun'pian
弟铎书,di'duo'shu
帝国,di'guo
弟后,di'hou
弟茂德后书,di'mao'de'hou'shu
弟茂德前书,di'mao'de'qian'shu
弟前,di'qian
地上,di'shang
地狱,di'yu
地中海,di'zhong'hai
订立,ding'li
盾牌,dun'pai
多俾亚传,duo'bi'ya'chuan
多默,duo'mo
厄东,e'dong
恶罚,e'fa
厄弗辣因,e'fu'la'yin
厄弗所书,e'fu'suo'shu
厄里,e'li
厄里亚,e'li'ya
厄玛奴耳,e'ma'nu'er
厄上,e'shang
厄斯德拉上,e'si'de'la'shang
厄斯德拉下,e'si'de'la'xia
厄娃,e'wa
厄下,e'xia
厄则克耳,e'ze'ke'er
恩爱,en'ai
恩宠,en'chong
恩赐,en'ci
恩典,en'dian
恩惠,en'hui
恩许,en'xu
儿女,er'nv
法蒂玛,fa'di'ma
法老,fa'lao
法利塞人,fa'li'sai'ren
法令,fa'ling
梵蒂冈,fan'di'gang
梵二,fan'er
梵二大公会议,fan'er'da'gong'hui'yi
繁殖,fan'zhi
犯罪,fan'zui
方舟,fang'zhou
诽谤,fei'bang
费肋孟书,fei'lei'meng'shu
斐里伯,fei'li'bo
斐里伯书,fei'li'bo'shu
吩咐,fen'fu
愤怒,fen'nu
分享,fen'xiang
封面,feng'mian
福传,fu'chuan
服从,fu'cong
复活,fu'huo
复活节,fu'huo'jie
附魔,fu'mo
父母,fu'mu
服事,fu'shi
俯听,fu'ting
富翁,fu'weng
服务,fu'wu
复兴,fu'xing
福音,fu'yin
斧子,fu'zi
感谢,gan'xie
告解,gao'jie
羔羊,gao'yang
葛法翁,ge'fa'weng
格后,ge'hou
格林多,ge'lin'duo
格林多后书,ge'lin'duo'hou'shu
格林多前书,ge'lin'duo'qian'shu
哥罗森书,ge'luo'sen'shu
格前,ge'qian
割损礼,ge'sun'li
革新,ge'xin
共祭,gong'ji
公义,gong'yi
管教,guan'jiao
光辉,guang'hui
光明,guang'ming
光荣,guang'rong
光照,guang'zhao
果实,guo'shi
哈巴谷,ha'ba'gu
哈盖,ha'gai
哈雷,ha'lei
赫贝龙,he'bei'long
黑暗,hei'an
红海,hong'hai
后轮,hou'lun
后裔,hou'yi
呼唤,hu'huan
户籍纪,hu'ji'ji
呼求,hu'qiu
护守天使,hu'shou'tian'shi
护佑,hu'you
悔改,hui'gai
会士,hui'shi
会堂,hui'tang
会议,hui'yi
会长,hui'zhang
婚配,hun'pei
婚宴,hun'yan
活泉,huo'quan
火舌,huo'she
获胜,huo'sheng
活水,huo'shui
基础,ji'chu
基督,ji'du
嫉妒,ji'du
基督徒,ji'du'tu
极端,ji'duan
集会,ji'hui
饥渴,ji'ke
祭品,ji'pin
祭献,ji'xian
忌邪,ji'xie
记载,ji'zai
加得,jia'de
加尔瓦略山,jia'er'wa'lue'shan
迦拉达书,jia'la'da'shu
加里肋亚,jia'li'lei'ya
加上,jia'shang
加下,jia'xia
加音,jia'yin
建立,jian'li
坚振,jian'zhen
见证,jian'zheng
降福,jiang'fu
降临,jiang'lin
降生,jiang'sheng
降生成人,jiang'sheng'cheng'ren
骄傲,jiao'ao
娇惯,jiao'guan
教会,jiao'hui
酵母,jiao'mu
教区,jiao'qu
教义,jiao'yi
教友,jiao'you
教宗,jiao'zong
结果子,jie'guo'zi
结合,jie'he
接见,jie'jian
接受,jie'shou
借着,jie'zhe
晋铎,jin'duo
静观,jing'guan
敬礼,jing'li
净配,jing'pei
经上记载,jing'shang'ji'zai
精神食粮,jing'shen'shi'liang
经书,jing'shu
敬畏,jing'wei
经文,jing'wen
救恩,jiu'en
救护,jiu'hu
九日敬礼,jiu'ri'jing'li
救世主,jiu'shi'zhu
救赎,jiu'shu
救赎者,jiu'shu'zhe
旧约,jiu'yue
救主,jiu'zhu
绝罚,jue'fa
君王,jun'wang
渴慕,ke'mu
客纳罕,ke'na'han
渴望,ke'wang
