阿斗昏庸事可哀,a'dou'hun'yong'shi'ke'ai
爱力所及,ai'li'suo'ji
哀怜李氏姊,ai'lian'li'shi'zi
艾萧太盛椒兰少,ai'xiao'tai'sheng'jiao'lan'shao
哎呀我要飞跃,ai'ya'wo'yao'fei'yue
安得辞浮贱,an'de'ci'fu'jian
安得南征驰捷报,an'de'nan'zheng'chi'jie'bao
安得倚天抽宝剑,an'de'yi'tian'chou'bao'jian
奥奥波莱女孩们献花,ao'ao'bo'lai'nv'hai'men'xian'hua
傲霜雪,ao'shuang'xue
拔海二千七公尺,ba'hai'er'qian'qi'gong'chi
把剑长歌气压轩,ba'jian'chang'ge'qi'ya'xuan
把酒酹滔滔,ba'jiu'lei'tao'tao
八连颂,ba'lian'song
把汝裁为三截,ba'ru'cai'wei'san'jie
八十书怀,ba'shi'shu'huai
八十毋劳论废兴,ba'shi'wu'lao'lun'fei'xing
巴渝虎列拉何如,ba'yu'hu'lie'la'he'ru
白鸽连翩奋舞前,bai'ge'lian'pian'fen'wu'qian
百舸争流,bai'ge'zheng'liu
百花齐放各争春,bai'hua'qi'fang'ge'zheng'chun
百花洲上客,bai'hua'zhou'shang'ke
白浪满青山,bai'lang'man'qing'shan
白浪滔天,bai'lang'tao'tian
百年魔怪舞翩跹,bai'nian'mo'guai'wu'pian'xian
百万工农齐踊跃,bai'wan'gong'nong'qi'yong'yue
百万青年唱出关,bai'wan'qing'nian'chang'chu'guan
百万雄师过大江,bai'wan'xiong'shi'guo'da'jiang
败叶纷随碧水驰,bai'ye'fen'sui'bi'shui'chi
白云山上白云深,bai'yun'shan'shang'bai'yun'shen
白云山头云欲立,bai'yun'shan'tou'yun'yu'li
白云山下呼声急,bai'yun'shan'xia'hu'sheng'ji
白云自卷舒,bai'yun'zi'juan'shu
百战归来意气雄,bai'zhan'gui'lai'yi'qi'xiong
百战新师惊贼胆,bai'zhan'xin'shi'jing'zei'dan
班超不解安邦计,ban'chao'bu'jie'an'bang'ji
半工半读总悠悠,ban'gong'ban'du'zong'you'you
绊桃红后木棉开,ban'tao'hong'hou'mu'mian'kai
斑竹一枝千滴泪,ban'zhu'yi'zhi'qian'di'lei
保安人物一时新,bao'an'ren'wu'yi'shi'xin
报道敌军宵遁,bao'dao'di'jun'xiao'dun
苞含欲放时,bao'han'yu'fang'shi
暴虎入门,bao'hu'ru'men
报之何时,bao'zhi'he'shi
北戴河,bei'dai'he
北地早成磐石固,bei'di'zao'cheng'pan'shi'gu
北伐心,bei'fa'xin
背负青天朝下看,bei'fu'qing'tian'chao'xia'kan
北国风光,bei'guo'feng'guang
背后思量亦快愉,bei'hou'si'liang'yi'kuai'yu
备历险夷,bei'li'xian'yi
北山尽仇怨,bei'shan'jin'chou'yuan
悲叹有余哀,bei'tan'you'yu'ai
北望有莫于,bei'wang'you'mo'yu
被遮掩的白云如带,bei'zhe'yan'de'bai'yun'ru'dai
奔腾急,ben'teng'ji
必秉悃忱,bi'bing'kun'chen
必秉悃忧,bi'bing'kun'you
必补遗缺,bi'bu'yi'que
碧鸡林木茂,bi'ji'lin'mu'mao
壁上红旗飘落照,bi'shang'hong'qi'piao'luo'zhao
彼是此非凭直觉,bi'shi'ci'fei'ping'zhi'jue
遍地哀鸿满城血,bian'di'ai'hong'man'cheng'xue
遍地英雄下夕烟,bian'di'ying'xiong'xia'xi'yan
鞭息徘徊亭畔路,bian'xi'pai'huai'ting'pan'lu
遍寻全球侵略者,bian'xun'quan'qiu'qin'lue'zhe
便有精生白骨堆,bian'you'jing'sheng'bai'gu'dui
别波兰,bie'bo'lan
别了,bie'le
别梦依稀咒逝川,bie'meng'yi'xi'zhou'shi'chuan
别友,bie'you
别有愁心易抽乙,bie'you'chou'xin'yi'chou'yi
鬓雪飞来成废料,bin'xue'fei'lai'cheng'fei'liao
并非杨柳是青年,bing'fei'yang'liu'shi'qing'nian
冰肌历寂寞,bing'ji'li'ji'mo
病时揽手,bing'shi'lan'shou
博大胆识铁石坚,bo'da'dan'shi'tie'shi'jian
博浪踵相踪,bo'lang'zhong'xiang'zong
擘理分情,bo'li'fen'qing
波人一午一听省,bo'ren'yi'wu'yi'ting'sheng
伯牙悔碎琴,bo'ya'hui'sui'qin
不爱红装爱武装,bu'ai'hong'zhuang'ai'wu'zhuang
不碍云中路,bu'ai'yun'zhong'lu
不存欺心,bu'cun'qi'xin
不到长城非好汉,bu'dao'chang'cheng'fei'hao'han
不分贫富,bu'fen'pin'fu
不管风吹浪打,bu'guan'feng'chui'lang'da
不管风和雨,bu'guan'feng'he'yu
不过几千寒热,bu'guo'ji'qian'han're
不过是几千寒热,bu'guo'shi'ji'qian'han're
不假春风轻拂袖,bu'jia'chun'feng'qing'fu'xiu
不假人工,bu'jia'ren'gong
不见牧童见学童,bu'jian'mu'tong'jian'xue'tong
不见前年秋月朗,bu'jian'qian'nian'qiu'yue'lang
不见秦楼见月华,bu'jian'qin'lou'jian'yue'hua
不教胡马返秦关,bu'jiao'hu'ma'fan'qin'guan
不教容易误年华,bu'jiao'rong'yi'wu'nian'hua
不可沽名学霸王,bu'ke'gu'ming'xue'ba'wang
不论军民,bu'lun'jun'min
不怕刀,bu'pa'dao
不怕帝,bu'pa'di
不怕鬼,bu'pa'gui
不怕戟,bu'pa'ji
不怕魅,bu'pa'mei
不怕迫,bu'pa'po
不怕压,bu'pa'ya
不怕贼,bu'pa'zei
不全,bu'quan
不染一尘,bu'ran'yi'chen
不忍卒书,bu'ren'zu'shu
不如归矣,bu'ru'gui'yi
不识吾者言无讳,bu'shi'wu'zhe'yan'wu'hui
不是一人能领导,bu'shi'yi'ren'neng'ling'dao
不受人拘束,bu'shou'ren'ju'shu
不似,bu'si
不似春光,bu'si'chun'guang
卜算子,bu'suan'zi
卜算子咏梅,bu'suan'zi'yong'mei
不通言语异邦居,bu'tong'yan'yu'yi'bang'ju
不武如斯,bu'wu'ru'si
