安安送米,an'an'song'mi
庵堂会,an'tang'hui
八宝与狄青,ba'bao'yu'di'qing
霸王别姬,ba'wang'bie'ji
白高粱,bai'gao'liang
败家子丘孝,bai'jia'zi'qiu'xiao
白莲之恋东山,bai'lian'zhi'lian'dong'shan
白蛇传,bai'she'zhuan
白兔记,bai'tu'ji
半空下山,ban'kong'xia'shan
包公会李后,bao'gong'hui'li'hou
包公赔情,bao'gong'pei'qing
包公三勘蝴蝶梦,bao'gong'san'kan'hu'die'meng
包公铡美,bao'gong'zha'mei
宝莲灯,bao'lian'deng
保婴记,bao'ying'ji
边关情仇,bian'guan'qing'chou
薄命红颜,bo'ming'hong'yan
彩楼记,cai'lou'ji
柴房会,chai'fang'hui
柴房会前传外景,chai'fang'hui'qian'zhuan'wai'jing
柴房缘,chai'fang'yuan
嫦娥奔月,chang'e'ben'yue
潮剧海外剧目,chao'ju'hai'wai'ju'mu
潮剧获奖剧目,chao'ju'huo'jiang'ju'mu
潮剧近年新戏,chao'ju'jin'nian'xin'xi
潮剧现代戏,chao'ju'xian'dai'xi
潮剧折子锦出,chao'ju'zhe'zi'jin'chu
潮州东门楼外,chao'zhou'dong'men'lou'wai
陈三两,chen'san'liang
陈太爷选婿,chen'tai'ye'xuan'xu
晨钟惊梦,chen'zhong'jing'meng
程咬金宿店,cheng'yao'jin'su'dian
痴梦,chi'meng
楚宫风云,chu'gong'feng'yun
串戏定亲,chuan'xi'ding'qin
春草闯堂,chun'cao'chuang'tang
春草闯堂新版,chun'cao'chuang'tang'xin'ban
春香传,chun'xiang'chuan
辞郎洲,ci'lang'zhou
刺梁骥,ci'liang'ji
大汉天子,da'han'tian'zi
大脚夫人,da'jiao'fu'ren
打金枝,da'jin'zhi
大劈棺,da'pi'guan
丹青魂,dan'qing'hun
挡马,dang'ma
德政碑,de'zheng'bei
狄青解征衣南澳,di'qing'jie'zheng'yi'nan'ao
蝶恋花,die'lian'hua
跌雪,die'xue
丁日昌,ding'ri'chang
东吴郡主,dong'wu'jun'zhu
杜金娥云宵青年团,du'jin'e'yun'xiao'qing'nian'tuan
杜娟山,du'juan'shan
杜十娘投江,du'shi'niang'tou'jiang
杜王斩子,du'wang'zhan'zi
断桥会,duan'qiao'hui
恩仇记,en'chou'ji
二度梅,er'du'mei
访鼠,fang'shu
飞龙女,fei'long'nv
告亲夫,gao'qin'fu
告神打神,gao'shen'da'shen
公主闹婚,gong'zhu'nao'hun
