阿诺德,a'nuo'de
白兰,bai'lan
贝尔菲戈尔,bei'er'fei'ge'er
贝弗,bei'fu
贝玛,bei'ma
并盛中,bing'sheng'zhong
彩虹之子,cai'hong'zhi'zi
朝利雨月,chao'li'yu'yue
初代,chu'dai
大空,da'kong
迪诺,di'nuo
废材,fei'cai
凤梨,feng'li
风太,feng'tai
复仇者,fu'chou'zhe
复仇者监狱,fu'chou'zhe'jian'yu
弗兰,fu'lan
骸云,hai'yun
黑曜,hei'yao
幻骑士,huan'qi'shi
幻术,huan'shu
火焰,huo'yan
剑帝,jian'di
京子,jing'zi
可乐尼洛,ke'le'ni'luo
库洛姆骷髅,ku'luo'mu'ku'lou
拉尔米其尔,la'er'mi'qi'er
蓝宝,lan'bao
蓝波波维诺,lan'bo'bo'wei'nuo
了平,le'ping
里包恩,li'bao'en
列恩,lie'en
六道骸,liu'dao'hai
路斯利亚,lu'si'li'ya
玛雷指环,ma'lei'zhi'huan
玛蒙,ma'meng
门外顾问,men'wai'gu'wen
密鲁菲奥雷,mi'lu'fei'ao'lei
纳兹,na'zi
彭格列,peng'ge'lie
入江正一,ru'jiang'zheng'yi
三叉戟,san'cha'ji
三浦春,san'pu'chun
山本武,shan'ben'wu
柿本千种,shi'ben'qian'zhong
史卡鲁,shi'ka'lu
石榴,shi'liu
时雨金时,shi'yu'jin'shi
斯夸罗,si'kua'luo
斯帕纳,si'pa'na
太猿,tai'yuan
跳马,tiao'ma
吐槽,tu'cao
兔子,tu'zi
威尔帝,wei'er'di
未来战,wei'lai'zhan
夏尔马,xia'er'ma
匣子,xia'zi
星星王子,xing'xing'wang'zi
选择战,xuan'ze'zhan
咬杀,yao'sha
野猿,ye'yuan
意大利,yi'da'li
一平,yi'ping
尤尼,you'ni
狱寺凖人,yu'si'zhun'ren
云刺猬,yun'ci'wei
云豆,yun'dou
云骸,yun'hai
云雀恭弥,yun'que'gong'mi
泽田纲吉,ze'tian'gang'ji
指环战,zhi'huan'zhan
