巴豆汁,ba'dou'zhi
八仙汤,ba'xian'tang
百合散,bai'he'san
白虎夺命丹,bai'hu'duo'ming'dan
百花腹蛇膏,bai'hua'fu'she'gao
百花消魂散,bai'hua'xiao'hun'san
百涎丸,bai'xian'wan
白云熊胆丸,bai'yun'xiong'dan'wan
豹胎易筋丸,bao'tai'yi'jin'wan
悲酥清风,bei'su'qing'feng
冰魄银针解药,bing'po'yin'zhen'jie'yao
参阳玉酒,can'yang'yu'jiu
蟾蜍毒砂,chan'chu'du'sha
赤蝎粉,chi'xie'fen
磁蛋,ci'dan
毒钉解药,du'ding'jie'yao
毒蒺藜解药,du'ji'li'jie'yao
毒箭解药,du'jian'jie'yao
毒菱解药,du'ling'jie'yao
毒雾,du'wu
毒盐,du'yan
毒针环解药,du'zhen'huan'jie'yao
毒针解药,du'zhen'jie'yao
断肠散,duan'chang'san
断筋腐骨丸,duan'jin'fu'gu'wan
腐骨穿心膏,fu'gu'chuan'xin'gao
茯苓首乌丸,fu'ling'shou'wu'wan
茯苓燕窝汤,fu'ling'yan'wo'tang
寒玉冰蟾膏,han'yu'bing'chan'gao
黑玉断续膏,hei'yu'duan'xu'gao
虎筋虎骨膏,hu'jin'hu'gu'gao
花斑毒蝎解药,hua'ban'du'xie'jie'yao
化石丹,hua'shi'dan
化尸粉,hua'shi'fen
化血腐骨粉,hua'xue'fu'gu'fen
回阳五龙膏,hui'yang'wu'long'gao
九花玉露丸,jiu'hua'yu'lu'wan
九九丸,jiu'jiu'wan
鸠砒丸,jiu'pi'wan
九阴白骨爪解药,jiu'yin'bai'gu'zhao'jie'yao
九转回春汤,jiu'zhuan'hui'chun'tang
九转灵宝丸,jiu'zhuan'ling'bao'wan
九转熊蛇丸,jiu'zhuan'xiong'she'wan
绝门毒针解药,jue'men'du'zhen'jie'yao
绝情丹,jue'qing'dan
腊八粥,la'ba'zhou
莲蓉豆泥蜜糖珍珠糊,lian'rong'dou'ni'mi'tang'zhen'zhu'hu
烈火丹,lie'huo'dan
六阳正气丹,liu'yang'zheng'qi'dan
绿波香露刀解药,lv'bo'xiang'lu'dao'jie'yao
闷香,men'xiang
蒙汗药,meng'han'yao
迷春酒,mi'chun'jiu
牛黄犀角散,niu'huang'xi'jiao'san
牛黄血竭丹,niu'huang'xue'jie'dan
牛毛针解药,niu'mao'zhen'jie'yao
砒霜,pi'shuang
砒鸩丸,pi'zhen'wan
七虫七花膏,qi'chong'qi'hua'gao
七虫软筋散,qi'chong'ruan'jin'san
七心海棠解药,qi'xin'hai'tang'jie'yao
千里销魂香,qian'li'xiao'hun'xiang
清毒复明膏药,qing'du'fu'ming'gao'yao
青陀罗花解药,qing'tuo'luo'hua'jie'yao
去腐消肌膏,qu'fu'xiao'ji'gao
人参养荣丸,ren'shen'yang'rong'wan
三虫三草毒,san'chong'san'cao'du
三黄宝腊丸,san'huang'bao'la'wan
三尸脑神丹,san'shi'nao'shen'dan
三蜈五蟆烟,san'wu'wu'ma'yan
三笑逍遥散,san'xiao'xiao'yao'san
桑贝丸,sang'bei'wan
闪电貂解药,shan'dian'diao'jie'yao
少阳丹,shao'yang'dan
蛇药,she'yao
参汤,shen'tang
生生造化丹,sheng'sheng'zao'hua'dan
生死符解药,sheng'si'fu'jie'yao
升天丸,sheng'tian'wan
十香迷魂散,shi'xiang'mi'hun'san
十香软筋散,shi'xiang'ruan'jin'san
醍醐香解药,ti'hu'xiang'jie'yao
田七鲨胆散,tian'qi'sha'dan'san
天王保命丹,tian'wang'bao'ming'dan
天香断续胶,tian'xiang'duan'xu'jiao
天心解毒丹,tian'xin'jie'du'dan
铁蝎子解药,tie'xie'zi'jie'yao
通犀地龙丸,tong'xi'di'long'wan
五宝花蜜酒,wu'bao'hua'mi'jiu
无常丹,wu'chang'dan
五毒神掌解药,wu'du'shen'zhang'jie'yao
五毒失心散,wu'du'shi'xin'san
五色彩蝎解药,wu'se'cai'xie'jie'yao
无形粉,wu'xing'fen
逍遥散,xiao'yao'san
雄黄蛇药,xiong'huang'she'yao
雄黄药酒,xiong'huang'yao'jiu
雄黄珠,xiong'huang'zhu
续命八丸,xu'ming'ba'wan
玄冰碧火酒,xuan'bing'bi'huo'jiu
雪参丸,xue'shen'wan
雪参玉蟾丸,xue'shen'yu'chan'wan
胭脂膏,yan'zhi'gao
药饼,yao'bing
阴阳和合散,yin'yang'he'he'san
玉洞黑石丹,yu'dong'hei'shi'dan
玉蜂浆,yu'feng'jiang
玉蜂针解药,yu'feng'zhen'jie'yao
玉肌丸,yu'ji'wan
玉灵散,yu'ling'san
玉龙苏合散,yu'long'su'he'san
玉真散,yu'zhen'san
杖头怪蛇解药,zhang'tou'guai'she'jie'yao
镇心理气丸,zhen'xin'li'qi'wan
止血生肌丸,zhi'xue'sheng'ji'wan
追命毒龙锥解药,zhui'ming'du'long'zhui'jie'yao
子午见骨茶,zi'wu'jian'gu'cha
醉仙蜜,zui'xian'mi
