本命,ben'ming
财帛,cai'bo
财帛宫,cai'bo'gong
财福,cai'fu
财荫夹印,cai'yin'jia'yin
昌曲,chang'qu
陈抟,chen'tuan
陈希夷,chen'xi'yi
成败之孤辰,cheng'bai'zhi'gu'chen
大限,da'xian
地劫,di'jie
地空,di'kong
对待位,dui'dai'wei
二八绝情,er'ba'jue'qing
反背,fan'bei
泛水桃花,fan'shui'tao'hua
飞星派,fei'xing'pai
风流彩杖,feng'liu'cai'zhang
辅弼,fu'bi
福德,fu'de
福德宫,fu'de'gong
夫官,fu'guan
父疾,fu'ji
父母,fu'mu
父母宫,fu'mu'gong
夫妻,fu'qi
夫妻宫,fu'qi'gong
共宗位,gong'zong'wei
官禄,guan'lu
官禄宫,guan'lu'gong
化忌,hua'ji
化科,hua'ke
化禄,hua'lu
化权,hua'quan
会照,hui'zhao
火铃,huo'ling
火陀,huo'tuo
火星,huo'xing
忌冲,ji'chong
疾厄,ji'e
疾厄宫,ji'e'gong
机巨,ji'ju
机梁,ji'liang
机梁善谈兵,ji'liang'shan'tan'bing
忌入,ji'ru
机阴,ji'yin
机月同梁,ji'yue'tong'liang
夹宫,jia'gong
夹命,jia'ming
交驰,jiao'chi
交易位,jiao'yi'wei
交友,jiao'you
交友宫,jiao'you'gong
巨门,ju'men
绝情位,jue'qing'wei
科入,ke'ru
空劫,kong'jie
空亡,kong'wang
魁钺,kui'yue
廉府,lian'fu
廉破,lian'po
廉杀,lian'sha
廉贪,lian'tan
廉相,lian'xiang
廉贞,lian'zhen
廉贞七杀路上埋尸,lian'zhen'qi'sha'lu'shang'mai'shi
铃陀,ling'tuo
铃星,ling'xing
流年,liu'nian
禄出,lu'chu
禄存,lu'cun
禄逢冲破吉处藏凶,lu'feng'chong'po'ji'chu'cang'xiong
禄居,lu'ju
禄马,lu'ma
禄马交驰,lu'ma'jiao'chi
禄入,lu'ru
禄照,lu'zhao
落陷,luo'xian
马遇空亡终身奔走,ma'yu'kong'wang'zhong'shen'ben'zou
庙旺,miao'wang
庙旺平闲陷,miao'wang'ping'xian'xian
命宫,ming'gong
命迁,ming'qian
破军,po'jun
仆役,pu'yi
仆役宫,pu'yi'gong
七杀,qi'sha
气数位,qi'shu'wei
迁移,qian'yi
迁移宫,qian'yi'gong
擎羊,qing'yang
权入,quan'ru
日月,ri'yue
日月反背,ri'yue'fan'bei
日月羊陀多克亲,ri'yue'yang'tuo'duo'ke'qin
入冲,ru'chong
入库忌,ru'ku'ji
三方四正,san'fang'si'zheng
三合派,san'he'pai
杀破狼,sha'po'lang
射出忌,she'chu'ji
身宫,shen'gong
事业,shi'ye
事业宫,shi'ye'gong
数中之上将,shu'zhong'zhi'shang'jiang
双禄,shuang'lu
水中作冢,shui'zhong'zuo'zhong
太阳,tai'yang
太阴,tai'yin
贪狼,tan'lang
桃花犯主,tao'hua'fan'zhu
天府,tian'fu
天机,tian'ji
天机天梁擎羊会早主刑克晚见孤,tian'ji'tian'liang'qing'yang'hui'zao'zhu'xing'ke'wan'jian'gu
天魁,tian'kui
天梁,tian'liang
天马,tian'ma
天同,tian'tong
天相,tian'xiang
天刑,tian'xing
天姚,tian'yao
天钺,tian'yue
田宅,tian'zhai
田宅宫,tian'zhai'gong
同度,tong'du
同巨,tong'ju
同梁,tong'liang
同阴,tong'yin
陀罗,tuo'luo
为臣不忠,wei'chen'bu'zhong
为友不义,wei'you'bu'yi
文昌,wen'chang
文曲,wen'qu
武府,wu'fu
武破,wu'po
武曲,wu'qu
武杀,wu'sha
武贪,wu'tan
武相,wu'xiang
刑忌夹印,xing'ji'jia'yin
星耀,xing'yao
兄弟,xiong'di
兄弟宫,xiong'di'gong
兄友,xiong'you
羊火,yang'huo
阳巨,yang'ju
阳梁,yang'liang
羊铃,yang'ling
羊陀,yang'tuo
一九合十,yi'jiu'he'shi
一六共宗,yi'liu'gong'zong
右弼,you'bi
紫府,zi'fu
自化忌,zi'hua'ji
自化科,zi'hua'ke
自化禄,zi'hua'lu
自化权,zi'hua'quan
子女,zi'nv
子女宫,zi'nv'gong
紫破,zi'po
紫贪,zi'tan
子田,zi'tian
紫微,zi'wei
紫相,zi'xiang
紫相对破,zi'xiang'dui'po
左辅,zuo'fu
左右,zuo'you
