安源,an'yuan
安源矿,an'yuan'kuang
白源,bai'yuan
白源矿,bai'yuan'kuang
标乃,biao'nai
不得和里,bu'de'he'li
不得清,bu'de'qing
铲脑,chan'nao
错憋,cuo'bie
错恨,cuo'hen
打电脑,da'dian'nao
打魔兽,da'mo'shou
打星际,da'xing'ji
打哑哇,da'ya'wa
打游戏,da'you'xi
等几,deng'ji
斗牛,dou'niu
二五八将,er'wu'ba'jiang
嘎丘不得料,ga'qiu'bu'de'liao
搞鬼屎,gao'gui'shi
高坑,gao'keng
高坑矿,gao'keng'kuang
高坑洗煤厂,gao'keng'xi'mei'chang
搞毛,gao'mao
个里,ge'li
挂地,gua'di
黄牙白,huang'ya'bai
几扎把子,ji'zha'ba'zi
家不搞杂里切里,jia'bu'gao'za'li'qie'li
将将胡,jiang'jiang'hu
巨源,ju'yuan
巨源矿,ju'yuan'kuang
老公子,lao'gong'zi
肋瓜,lei'gua
六六一厂,liu'liu'yi'chang
柳源,liu'yuan
芦溪,lu'xi
马错憋,ma'cuo'bie
马错西,ma'cuo'xi
麻山,ma'shan
马屎旱,ma'shi'han
买马,mai'ma
埋人,mai'ren
埋人酒,mai'ren'jiu
冇的搞,mao'de'gao
冒得搞式,mao'de'gao'shi
冒的钱,mao'de'qian
妹几,mei'ji
闷古,men'gu
魔器,mo'qi
乃古,nai'gu
乃古几,nai'gu'ji
娘子遮屎气,niang'zi'zhe'shi'qi
牛角坪,niu'jiao'ping
碰碰胡,peng'peng'hu
萍柳,ping'liu
萍乡煤矿,ping'xiang'mei'kuang
婆老,po'lao
婆老几,po'lao'ji
青山矿,qing'shan'kuang
秋收起义,qiu'shou'qi'yi
上埠,shang'bu
商城,shang'cheng
石坂,shi'ban
十三烂,shi'san'lan
炭古佬,tan'gu'lao
特码,te'ma
通沟,tong'gou
汪公潭,wang'gong'tan
武功山,wu'gong'shan
五坯下,wu'pi'xia
洗冷水澡,xi'leng'shui'zao
西乐,xi'yue
下埠,xia'bu
写礼,xie'li
鸭吧等几,ya'ba'deng'ji
亚不几,ya'bu'ji
丫妹几,ya'mei'ji
雅天,ya'tian
杨胡子米面,yang'hu'zi'mi'mian
有命恰妞冒命恰竹,you'ming'qia'niu'mao'ming'qia'zhu
捉蒙蒙口几,zhuo'meng'meng'kou'ji
