阿姆达尔定律,a'mu'da'er'ding'lv
阿姆斯特朗公理,a'mu'si'te'lang'gong'li
按内容存取存储器,an'nei'rong'cun'qu'cun'chu'qi
安全操作系统,an'quan'cao'zuo'xi'tong
安全策略,an'quan'ce'lue
安全类,an'quan'lei
安全识别,an'quan'shi'bie
安全网关,an'quan'wang'guan
安装,an'zhuang
安装处理控制,an'zhuang'chu'li'kong'zhi
八进制,ba'jin'zhi
白体,bai'ti
办公流程,ban'gong'liu'cheng
板内时钟分配,ban'nei'shi'zhong'fen'pei
半色调图像,ban'se'diao'tu'xiang
板上电源分配,ban'shang'dian'yuan'fen'pei
报酬分析,bao'chou'fen'xi
保留页选项,bao'liu'ye'xuan'xiang
包式终端,bao'shi'zhong'duan
报文交换,bao'wen'jiao'huan
贝叶斯分类器,bei'ye'si'fen'lei'qi
备用,bei'yong
本地加电,ben'di'jia'dian
本原演绎,ben'yuan'yan'yi
避错,bi'cuo
闭合式,bi'he'shi
闭环电波探测器,bi'huan'dian'bo'tan'ce'qi
比较语言学,bi'jiao'yu'yan'xue
笔顺,bi'shun
变更转储,bian'geng'zhuan'chu
变化检测,bian'hua'jian'ce
变换分析,bian'huan'fen'xi
变换语义,bian'huan'yu'yi
边界检测,bian'jie'jian'ce
边界条件,bian'jie'tiao'jian
编码表示,bian'ma'biao'shi
编码方法,bian'ma'fang'fa
边缘触发时钟,bian'yuan'chu'fa'shi'zhong
边缘连接,bian'yuan'lian'jie
变址,bian'zhi
标号标识网,biao'hao'biao'zhi'wang
标号化安全,biao'hao'hua'an'quan
标记变量,biao'ji'bian'liang
表决器,biao'jue'qi
标量,biao'liang
标量流水线,biao'liang'liu'shui'xian
标量数据流分析,biao'liang'shu'ju'liu'fen'xi
表面安装技术,biao'mian'an'zhuang'ji'shu
标签集,biao'qian'ji
标识符,biao'zhi'fu
标准幅度带,biao'zhun'fu'du'dai
标准文件,biao'zhun'wen'jian
并发公理,bing'fa'gong'li
并发模拟,bing'fa'mo'ni
并行传输,bing'xing'chuan'shu
并行感染,bing'xing'gan'ran
并行计算,bing'xing'ji'suan
并行算法,bing'xing'suan'fa
并行图论算法,bing'xing'tu'lun'suan'fa
并行虚拟机,bing'xing'xu'ni'ji
并行选择算法,bing'xing'xuan'ze'suan'fa
波峰焊,bo'feng'han
伯努利盘,bo'nu'li'pan
博弈树搜索,bo'yi'shu'sou'suo
布尔运算,bu'er'yun'suan
部分加电,bu'fen'jia'dian
不归零制,bu'gui'ling'zhi
不合逻辑,bu'he'luo'ji
部件编码,bu'jian'bian'ma
不间断电源,bu'jian'duan'dian'yuan
不可重复读,bu'ke'chong'fu'du
不可逆加密,bu'ke'ni'jia'mi
不完全信息,bu'wan'quan'xin'xi
布线程序,bu'xian'cheng'xu
不重性,bu'zhong'xing
彩色打印机,cai'se'da'yin'ji
彩色显示器,cai'se'xian'shi'qi
采样系统,cai'yang'xi'tong
参考,can'kao
参数估计,can'shu'gu'ji
操作过程,cao'zuo'guo'cheng
操作码,cao'zuo'ma
操作系统处理器,cao'zuo'xi'tong'chu'li'qi
策略管理机构,ce'lue'guan'li'ji'gou
测试规约,ce'shi'gui'yue
测试可重复性,ce'shi'ke'chong'fu'xing
测试码生成程序,ce'shi'ma'sheng'cheng'cheng'xu
测试驱动器,ce'shi'qu'dong'qi
测试日志,ce'shi'ri'zhi
测试数据,ce'shi'shu'ju
测试仪,ce'shi'yi
测试语言,ce'shi'yu'yan
测试运行,ce'shi'yun'xing
测试综合,ce'shi'zong'he
层次序列键码,ceng'ci'xu'lie'jian'ma
层析成像,ceng'xi'cheng'xiang
层压板,ceng'ya'ban
差错潜伏期,cha'cuo'qian'fu'qi
差分双绞线,cha'fen'shuang'jiao'xian
插件边缘连接器,cha'jian'bian'yuan'lian'jie'qi
插孔,cha'kong
插入排序,cha'ru'pai'xu
插座,cha'zuo
产品认证,chan'pin'ren'zheng
产生式语言知识,chan'sheng'shi'yu'yan'zhi'shi
场地自治,chang'di'zi'zhi
常规密码体制,chang'gui'mi'ma'ti'zhi
长距离依存关系,chang'ju'li'yi'cun'guan'xi
常识推理,chang'shi'tui'li
超标量结构,chao'biao'liang'jie'gou
超低位速率编码,chao'di'wei'su'lv'bian'ma
超流水线,chao'liu'shui'xian
超前补偿,chao'qian'bu'chang
撤除,che'chu
撤消,che'xiao
撤消原语,che'xiao'yuan'yu
衬底,chen'di
成分语义学,cheng'fen'yu'yi'xue
乘商寄存器,cheng'shang'ji'cun'qi
成熟度,cheng'shu'du
程序逻辑单元,cheng'xu'luo'ji'dan'yuan
程序设计逻辑,cheng'xu'she'ji'luo'ji
程序修改,cheng'xu'xiu'gai
程序验证,cheng'xu'yan'zheng
程序优先级,cheng'xu'you'xian'ji
程序正确性,cheng'xu'zheng'que'xing
程序综合,cheng'xu'zong'he
成组传送,cheng'zu'chuan'song
尺度空间,chi'du'kong'jian
重传,chong'chuan
重叠寄存器窗口,chong'die'ji'cun'qi'chuang'kou
重复标识,chong'fu'biao'zhi
重复选择排序,chong'fu'xuan'ze'pai'xu
冲突消解,chong'tu'xiao'jie
重新安装,chong'xin'an'zhuang
重新启动,chong'xin'qi'dong
重运行点,chong'yun'xing'dian
丑恶报文,chou'e'bao'wen
抽象,chou'xiang
抽象数据类型,chou'xiang'shu'ju'lei'xing
出错中断,chu'cuo'zhong'duan
触点,chu'dian
除法回路,chu'fa'hui'lu
初级输出,chu'ji'shu'chu
处理单元存储器,chu'li'dan'yuan'cun'chu'qi
处理机对,chu'li'ji'dui
初启程序,chu'qi'cheng'xu
初始程序装入,chu'shi'cheng'xu'zhuang'ru
初始模型,chu'shi'mo'xing
初始装入,chu'shi'zhuang'ru
串并转换器,chuan'bing'zhuan'huan'qi
传导冷却,chuan'dao'leng'que
