按钮,an'niu
安全带,an'quan'dai
班组,ban'zu
报表,bao'biao
包箍,bao'gu
抱箍,bao'gu
保护断路器,bao'hu'duan'lu'qi
保护特性,bao'hu'te'xing
保险丝,bao'xian'si
被盗,bei'dao
备件,bei'jian
备品,bei'pin
备注,bei'zhu
避雷器,bi'lei'qi
避雷器试验,bi'lei'qi'shi'yan
避雷器型号,bi'lei'qi'xing'hao
变比,bian'bi
变电站,bian'dian'zhan
编号,bian'hao
边坡,bian'po
边线,bian'xian
变压器,bian'ya'qi
变压器系统调试,bian'ya'qi'xi'tong'tiao'shi
标准的机组数据显示,biao'zhun'de'ji'zu'shu'ju'xian'shi
标准弧垂,biao'zhun'hu'chui
并沟线夹,bing'gou'xian'jia
并联电容器,bing'lian'dian'rong'qi
并列的,bing'lie'de
玻璃绝缘子,bo'li'jue'yuan'zi
波纹板,bo'wen'ban
波形,bo'xing
补偿度,bu'chang'du
不够,bu'gou
部件名称,bu'jian'ming'cheng
不锈钢,bu'xiu'gang
采样频率,cai'yang'pin'lv
采样周期,cai'yang'zhou'qi
参考值,can'kao'zhi
参数值,can'shu'zhi
测量方法,ce'liang'fang'fa
测量记录,ce'liang'ji'lu
测量人,ce'liang'ren
测量日期,ce'liang'ri'qi
测量时温度,ce'liang'shi'wen'du
测量信号,ce'liang'xin'hao
测试方法,ce'shi'fang'fa
测试人,ce'shi'ren
测试日期,ce'shi'ri'qi
测试仪,ce'shi'yi
叉梁,cha'liang
叉梁拉线,cha'liang'la'xian
插座,cha'zuo
厂级实时监控系统,chang'ji'shi'shi'jian'kong'xi'tong
抄表时间,chao'biao'shi'jian
超高压输电线,chao'gao'ya'shu'dian'xian
超速故障停机,chao'su'gu'zhang'ting'ji
沉落,chen'luo
城区,cheng'qu
充电式高空液压钳,chong'dian'shi'gao'kong'ye'ya'qian
处理措施,chu'li'cuo'shi
处理意见,chu'li'yi'jian
初探,chu'tan
传递函数,chuan'di'han'shu
垂直距离,chui'zhi'ju'li
大螺帽,da'luo'mao
大容量发电机组,da'rong'liang'fa'dian'ji'zu
大唐辽源热电厂,da'tang'liao'yuan're'dian'chang
打印机,da'yin'ji
单机无穷大系统,dan'ji'wu'qiong'da'xi'tong
单价,dan'jia
单联碗头,dan'lian'wan'tou
单联碗头挂板,dan'lian'wan'tou'gua'ban
单位,dan'wei
单相电度表,dan'xiang'dian'du'biao
单相电压,dan'xiang'dian'ya
单相交联电缆头,dan'xiang'jiao'lian'dian'lan'tou
档距,dang'ju
档位,dang'wei
导地线规格,dao'di'xian'gui'ge
刀开关,dao'kai'guan
导纳,dao'na
导线,dao'xian
导线断股,dao'xian'duan'gu
导线防震锤,dao'xian'fang'zhen'chui
导线温度,dao'xian'wen'du
刀闸隔离开关,dao'zha'ge'li'kai'guan
等效于,deng'xiao'yu
等值波阻抗,deng'zhi'bo'zu'kang
地线,di'xian
地线防震锤,di'xian'fang'zhen'chui
低压,di'ya
低压进线柜,di'ya'jin'xian'gui
低油压故障停机,di'you'ya'gu'zhang'ting'ji
电厂,dian'chang
电导,dian'dao
电动机,dian'dong'ji
电动机保护器,dian'dong'ji'bao'hu'qi
电度表,dian'du'biao
电感,dian'gan
电杆,dian'gan
电抗,dian'kang
电抗器,dian'kang'qi
电缆固定抱箍,dian'lan'gu'ding'bao'gu
电缆试验,dian'lan'shi'yan
电缆头,dian'lan'tou
电老虎,dian'lao'hu
电力法规,dian'li'fa'gui
电力系统,dian'li'xi'tong
电力系统自动化,dian'li'xi'tong'zi'dong'hua
电量报送,dian'liang'bao'song
电铃,dian'ling
电流,dian'liu
电流表,dian'liu'biao
电流互感器,dian'liu'hu'gan'qi
电纳,dian'na
电脑,dian'nao
电能量,dian'neng'liang
电能质量,dian'neng'zhi'liang
垫片,dian'pian
电瓶电压表,dian'ping'dian'ya'biao
电容,dian'rong
电容柜,dian'rong'gui
电容器,dian'rong'qi
电容器高压容器熔,dian'rong'qi'gao'ya'rong'qi'rong
电容熔断器,dian'rong'rong'duan'qi
电刷,dian'shua
电网,dian'wang
电位,dian'wei
电压,dian'ya
电压表,dian'ya'biao
电压等级,dian'ya'deng'ji
电压互感器,dian'ya'hu'gan'qi
电压稳定,dian'ya'wen'ding
电压源,dian'ya'yuan
电阻,dian'zu
电阻表,dian'zu'biao
电阻器,dian'zu'qi
跌落式熔断器,die'luo'shi'rong'duan'qi
定子,ding'zi
东北电力设计院,dong'bei'dian'li'she'ji'yuan
动力工程系,dong'li'gong'cheng'xi
动态,dong'tai
动作次数,dong'zuo'ci'shu
动作速度,dong'zuo'su'du
镀锌台架,du'xin'tai'jia
端盖,duan'gai
端盖式轴承,duan'gai'shi'zhou'cheng
断股,duan'gu
短路故障,duan'lu'gu'zhang
断路器,duan'lu'qi
对地距离,dui'di'ju'li
对讲机,dui'jiang'ji
对讲门铃,dui'jiang'men'ling
多功能导线卡线器,duo'gong'neng'dao'xian'ka'xian'qi
多功能电子表多功能电子表,duo'gong'neng'dian'zi'biao'duo'gong'neng'dian'zi'biao
多功能起子,duo'gong'neng'qi'zi
额定,e'ding
发电厂,fa'dian'chang
发电机,fa'dian'ji
发电机端,fa'dian'ji'duan
反传算法,fan'chuan'suan'fa
仿真,fang'zhen
防震锤,fang'zhen'chui
仿真分析,fang'zhen'fen'xi
仿真数据,fang'zhen'shu'ju
非线性系统,fei'xian'xing'xi'tong
费用类别,fei'yong'lei'bie
分接头,fen'jie'tou
分相操作箱,fen'xiang'cao'zuo'xiang
分闸线圈,fen'zha'xian'quan
风偏,feng'pian
复合绝缘子,fu'he'jue'yuan'zi
负荷状态,fu'he'zhuang'tai
附加网络,fu'jia'wang'luo
附加系统,fu'jia'xi'tong
副教授,fu'jiao'shou
副线,fu'xian
负序阻抗,fu'xu'zu'kang
负载电流百分比显示,fu'zai'dian'liu'bai'fen'bi'xian'shi
负责人,fu'ze'ren
辅助触点,fu'zhu'chu'dian
杆塔号,gan'ta'hao
杆塔型式,gan'ta'xing'shi
钢并沟线夹,gang'bing'gou'xian'jia
钢绞线,gang'jiao'xian
钢线卡子,gang'xian'qia'zi
钢芯铝绞线,gang'xin'lv'jiao'xian
高顶值,gao'ding'zhi
高精度,gao'jing'du
高抗,gao'kang
高水温故障停机,gao'shui'wen'gu'zhang'ting'ji
高压,gao'ya
高压保险,gao'ya'bao'xian
高压侧,gao'ya'ce
高压电缆削皮器,gao'ya'dian'lan'xiao'pi'qi
高压容器熔,gao'ya'rong'qi'rong
高压熔丝,gao'ya'rong'si
高压验电器,gao'ya'yan'dian'qi
隔离开关,ge'li'kai'guan
隔离器,ge'li'qi
给定的,gei'ding'de
更换,geng'huan
功角,gong'jiao
功角稳定,gong'jiao'wen'ding
工具名称,gong'ju'ming'cheng
功率,gong'lv
功率因数,gong'lv'yin'shu
工频,gong'pin
弓形支架,gong'xing'zhi'jia
供应,gong'ying
固定串联电容补偿,gu'ding'chuan'lian'dian'rong'bu'chang
故障,gu'zhang
故障点,gu'zhang'dian
故障切除时间,gu'zhang'qie'chu'shi'jian
观测档,guan'ce'dang
管理制度,guan'li'zhi'du
广东电网公司,guang'dong'dian'wang'gong'si
光纤差动保护,guang'xian'cha'dong'bao'hu
规格型号,gui'ge'xing'hao
过渡夹,guo'du'jia
国家电网公司,guo'jia'dian'wang'gong'si
哈夫抱箍,ha'fu'bao'gu
行波,hang'bo
行波保护,hang'bo'bao'hu
行波继电器,hang'bo'ji'dian'qi
行波信号,hang'bo'xin'hao
核定控制费用,he'ding'kong'zhi'fei'yong
合价,he'jia
合闸线圈,he'zha'xian'quan
横档,heng'dang
红丹漆,hong'dan'qi
弧垂,hu'chui
蝴蝶瓷瓶,hu'die'ci'ping
互感器,hu'gan'qi
弧焊机,hu'han'ji
护环,hu'huan
户内单芯,hu'nei'dan'xin
户外单芯,hu'wai'dan'xin
户外三芯电缆头,hu'wai'san'xin'dian'lan'tou
滑石,hua'shi
回填土,hui'tian'tu
基础,ji'chu
基础高差,ji'chu'gao'cha
继电保护,ji'dian'bao'hu
继电器,ji'dian'qi
机动绞磨,ji'dong'jiao'mo
机端,ji'duan
机端电压控制,ji'duan'dian'ya'kong'zhi
技改,ji'gai
计划完成日期,ji'hua'wan'cheng'ri'qi
记录人,ji'lu'ren
及时消除合计,ji'shi'xiao'chu'he'ji
计算机管理信息系统,ji'suan'ji'guan'li'xin'xi'xi'tong
极限切除时间,ji'xian'qie'chu'shi'jian
机械冲孔机,ji'xie'chong'kong'ji
机械冲孔机压模,ji'xie'chong'kong'ji'ya'mo
机械过速,ji'xie'guo'su
机油油压表,ji'you'you'ya'biao
机组,ji'zu
机组运行小时表,ji'zu'yun'xing'xiao'shi'biao
机组运行正常,ji'zu'yun'xing'zheng'chang
架空光缆,jia'kong'guang'lan
驾空线,jia'kong'xian
检查人,jian'cha'ren
检查日期,jian'cha'ri'qi
检查时间,jian'cha'shi'jian
检查项目,jian'cha'xiang'mu
减法运算,jian'fa'yun'suan
建设日期,jian'she'ri'qi
检修,jian'xiu
脚钉,jiao'ding
脚扣,jiao'kou
交流,jiao'liu
交流励磁机,jiao'liu'li'ci'ji
接触器,jie'chu'qi
接地棒接地线,jie'di'bang'jie'di'xian
