半球,ban'qiu
半球一球,ban'qiu'yi'qiu
两球,liang'qiu
两球两球半,liang'qiu'liang'qiu'ban
平手,ping'shou
平手半球,ping'shou'ban'qiu
球半,qiu'ban
球半两球,qiu'ban'liang'qiu
受半球,shou'ban'qiu
受半一,shou'ban'yi
受两球,shou'liang'qiu
受两球两球半,shou'liang'qiu'liang'qiu'ban
受平手半球,shou'ping'shou'ban'qiu
受球半,shou'qiu'ban
受球半两球,shou'qiu'ban'liang'qiu
受一球,shou'yi'qiu
受一球球半,shou'yi'qiu'qiu'ban
一球,yi'qiu
一球球半,yi'qiu'qiu'ban
