耙耧地,ba'lou'di
扒皮儿,ba'pi'er
白子,bai'zi
傍黑儿天,bang'hei'er'tian
苞儿米,bao'er'mi
鼻孔眼子,bi'kong'yan'zi
鼻脐,bi'qi
鼻青,bi'qing
别乖我,bie'guai'wo
冰溜,bing'liu
饽饽,bo'bo
拨拉盖,bo'la'gai
波愣,bo'leng
不大好,bu'da'hao
布肚儿,bu'du'er
补肚儿,bu'du'er
布鸽,bu'ge
布土,bu'tu
草驴,cao'lv
草鞋底,cao'xie'di
草猪儿,cao'zhu'er
场儿,chang'er
长疙儿,chang'ge'er
长果豆儿,chang'guo'dou'er
长果儿,chang'guo'er
长果油,chang'guo'you
吃儿饭啦,chi'er'fan'la
吃水,chi'shui
吃烟,chi'yan
臭板虫,chou'ban'chong
臭哄蛋儿,chou'hong'dan'er
抽头,chou'tou
出阁,chu'ge
吹灯,chui'deng
戳头戏,chuo'tou'xi
促织儿,cu'zhi'er
大氅,da'chang
大爹,da'die
打够斗,da'gou'dou
打呼隆,da'hu'long
大妈姆,da'ma'mu
大师傅,da'shi'fu
大爷,da'ye
打仗,da'zhang
逮饭,dai'fan
带子,dai'zi
当每儿,dang'mei'er
叨叨儿木,dao'dao'er'mu
刀螂,dao'lang
得喽儿,de'lou'er
地蛋,di'dan
地豆子,di'dou'zi
掂拢,dian'long
爹爹,die'die
爹儿,die'er
兜斗,dou'dou
蹲级,dun'ji
多伯,duo'bo
儿马,er'ma
耳门台子,er'men'tai'zi
耳绒皮,er'rong'pi
发殡,fa'bin
发风儿,fa'feng'er
发付闺娘,fa'fu'gui'niang
发脾汗,fa'pi'han
烦弃,fan'qi
烦气,fan'qi
风格楼,feng'ge'lou
扶台,fu'tai
嘎固,ga'gu
嘎啦,ga'la
敢本儿,gan'ben'er
干粮,gan'liang
嗝得儿,ge'de'er
蛤目,ge'mu
蛤目各登儿,ge'mu'ge'deng'er
虼蚤,ge'zao
弓腰,gong'yao
馉儿汤,gu'er'tang
箍炉儿,gu'lu'er
估摸,gu'mo
咕念,gu'nian
骨髓凌,gu'sui'ling
馉子,gu'zi
挂挂,gua'gua
拐枕头子,guai'zhen'tou'zi
乖子,guai'zi
灌绳,guan'sheng
闺娘,gui'niang
过儿年,guo'er'nian
过晌,guo'shang
锅腰儿,guo'yao'er
果子,guo'zi
哈虎,ha'hu
蛤蟆咯噔儿,ha'ma'ge'deng'er
哈目噶,ha'mu'ga
害蛋,hai'dan
害卡了,hai'ka'le
汗流儿,han'liu'er
壕沟,hao'gou
荷花子儿,he'hua'zi'er
后日,hou'ri
胡秸,hu'jie
胡了巴,hu'le'ba
呼雷,hu'lei
胡秫,hu'shu
滑皮,hua'pi
花桃儿,hua'tao'er
荤油,hun'you
火油,huo'you
忌讳,ji'hui
饥困,ji'kun
饥困了,ji'kun'le
