安达泰,an'da'tai
安定保,an'ding'bao
摆闸,bai'zha
板机,ban'ji
半球,ban'qiu
半球摄像机,ban'qiu'she'xiang'ji
半球型摄像机,ban'qiu'xing'she'xiang'ji
曝光,bao'guang
报警,bao'jing
报警系统,bao'jing'xi'tong
保千里,bao'qian'li
被动红外,bei'dong'hong'wai
背光,bei'guang
背光补偿,bei'guang'bu'chang
背光可调,bei'guang'ke'tiao
备用电源,bei'yong'dian'yuan
标准读卡器,biao'zhun'du'ka'qi
宾得,bin'de
玻璃破碎探测器,bo'li'po'sui'tan'ce'qi
博士安防,bo'shi'an'fang
波特率,bo'te'lv
布撤防,bu'che'fang
彩色红外,cai'se'hong'wai
彩色可视,cai'se'ke'shi
彩色摄像机,cai'se'she'xiang'ji
彩转黑,cai'zhuan'hei
操作台,cao'zuo'tai
超级降噪,chao'ji'jiang'zao
超强光,chao'qiang'guang
超速抓拍,chao'su'zhua'pai
车辆检测器,che'liang'jian'ce'qi
车牌识别,che'pai'shi'bie
车牌自动识别,che'pai'zi'dong'shi'bie
车位显示屏,che'wei'xian'shi'ping
车位引导,che'wei'yin'dao
城市,cheng'shi
充氮,chong'dan
触发,chu'fa
处理器,chu'li'qi
出门按钮,chu'men'an'niu
出入口机,chu'ru'kou'ji
闯红灯抓拍,chuang'hong'deng'zhua'pai
创通,chuang'tong
磁力锁型支架,ci'li'suo'xing'zhi'jia
存储,cun'chu
存储产品,cun'chu'chan'pin
大厦一卡通,da'sha'yi'ka'tong
单机,dan'ji
单门磁力锁,dan'men'ci'li'suo
单门控制器,dan'men'kong'zhi'qi
道闸,dao'zha
低线,di'xian
低照度,di'zhao'du
电插锁,dian'cha'suo
电控机,dian'kong'ji
电控锁,dian'kong'suo
电控锁扣,dian'kong'suo'kou
电视墙,dian'shi'qiang
电梯控制,dian'ti'kong'zhi
电子变倍,dian'zi'bian'bei
电子警察,dian'zi'jing'cha
电子围栏,dian'zi'wei'lan
电子眼,dian'zi'yan
动态检测,dong'tai'jian'ce
读卡距离,du'ka'ju'li
读卡器,du'ka'qi
断电,duan'dian
断电记忆功能,duan'dian'ji'yi'gong'neng
断电数据保存,duan'dian'shu'ju'bao'cun
端口,duan'kou
对比度,dui'bi'du
对讲系统,dui'jiang'xi'tong
对焦,dui'jiao
发卡器,fa'ka'qi
防暴半球,fang'bao'ban'qiu
防盗报警,fang'dao'bao'jing
防盗联动,fang'dao'lian'dong
防护等级,fang'hu'deng'ji
防护罩,fang'hu'zhao
防雷,fang'lei
防潜返,fang'qian'fan
防胁迫,fang'xie'po
飞碟式,fei'die'shi
非接触式,fei'jie'chu'shi
非可视,fei'ke'shi
分配器,fen'pei'qi
分体门禁,fen'ti'men'jin
富士,fu'shi
富士能,fu'shi'neng
感红外,gan'hong'wai
感应时间,gan'ying'shi'jian
高标准,gao'biao'zhun
高画质,gao'hua'zhi
高清晰,gao'qing'xi
高速,gao'su
高速对焦,gao'su'dui'jiao
高速球,gao'su'qiu
高线,gao'xian
工程案例,gong'cheng'an'li
功耗,gong'hao
工作电压,gong'zuo'dian'ya
工作湿度,gong'zuo'shi'du
工作温度,gong'zuo'wen'du
工作状态,gong'zuo'zhuang'tai
故障,gu'zhang
光端机,guang'duan'ji
光圈,guang'quan
