八角楼社区,ba'jiao'lou'she'qu
八里铺村,ba'li'pu'cun
八里铺二队,ba'li'pu'er'dui
八里铺二四三家属院,ba'li'pu'er'si'san'jia'shu'yuan
八里铺三队,ba'li'pu'san'dui
八里铺一队,ba'li'pu'yi'dui
八一社区,ba'yi'she'qu
百柳社区,bai'liu'she'qu
滨河社区,bin'he'she'qu
长青办事处,chang'qing'ban'shi'chu
长青社区,chang'qing'she'qu
陈营子北营子,chen'ying'zi'bei'ying'zi
陈营子村,chen'ying'zi'cun
陈营子大队,chen'ying'zi'da'dui
陈营子大新地,chen'ying'zi'da'xin'di
陈营子号,chen'ying'zi'hao
陈营子侯营子,chen'ying'zi'hou'ying'zi
陈营子潘家窝铺,chen'ying'zi'pan'jia'wo'pu
陈营子瓦盆窑,chen'ying'zi'wa'pen'yao
陈营子小南营,chen'ying'zi'xiao'nan'ying
陈营子小西营,chen'ying'zi'xiao'xi'ying
陈营子油库,chen'ying'zi'you'ku
陈营子周营子,chen'ying'zi'zhou'ying'zi
陈营子砖厂,chen'ying'zi'zhuan'chang
城南村,cheng'nan'cun
赤平路社区,chi'ping'lu'she'qu
大修厂胡同,da'xiu'chang'hu'tong
大营社区,da'ying'she'qu
大营子村,da'ying'zi'cun
地质队家属院,di'zhi'dui'jia'shu'yuan
钓鱼台社区,diao'yu'tai'she'qu
东城办事处,dong'cheng'ban'shi'chu
东旱河社区,dong'han'he'she'qu
东郊村部分,dong'jiao'cun'bu'fen
东南营子村,dong'nan'ying'zi'cun
东三眼井村,dong'san'yan'jing'cun
东树林社区,dong'shu'lin'she'qu
队文中大队,dui'wen'zhong'da'dui
二道井子村,er'dao'jing'zi'cun
二三四社区,er'san'si'she'qu
二中街社区,er'zhong'jie'she'qu
富龙社区,fu'long'she'qu
钢铁社区,gang'tie'she'qu
果菜批发城,guo'cai'pi'fa'cheng
哈达办事处,ha'da'ban'shi'chu
哈达和硕村,ha'da'he'shuo'cun
黒沟门村,hei'gou'men'cun
红庙子镇,hong'miao'zi'zhen
红山郡,hong'shan'jun
红山社区,hong'shan'she'qu
红星社区,hong'xing'she'qu
后道村,hou'dao'cun
华源社区,hua'yuan'she'qu
花园社区,hua'yuan'she'qu
火花社区,huo'hua'she'qu
机务段社区,ji'wu'duan'she'qu
贾营子村,jia'ying'zi'cun
贾营子六,jia'ying'zi'liu
贾营子四号,jia'ying'zi'si'hao
贾营子五号,jia'ying'zi'wu'hao
解放社区,jie'fang'she'qu
接官厅社区,jie'guan'ting'she'qu
九队北,jiu'dui'bei
九队南,jiu'dui'nan
九神庙社区,jiu'shen'miao'she'qu
郎营子村,lang'ying'zi'cun
老爷庙社区,lao'ye'miao'she'qu
立交桥社区,li'jiao'qiao'she'qu
粮市社区,liang'shi'she'qu
林研所,lin'yan'suo
六大份村,liu'da'fen'cun
柳条沟村,liu'tiao'gou'cun
六西街社区,liu'xi'jie'she'qu
龙头山社区,long'tou'shan'she'qu
毛家窝铺北变,mao'jia'wo'pu'bei'bian
南菜窖,nan'cai'jiao
南山社区,nan'shan'she'qu
南上台子社区,nan'shang'tai'zi'she'qu
南新街办事处,nan'xin'jie'ban'shi'chu
聂胡地村,nie'hu'di'cun
千禧社区,qian'xi'she'qu
桥北办事处,qiao'bei'ban'shi'chu
桥北物流园区中昊大街以北,qiao'bei'wu'liu'yuan'qu'zhong'hao'da'jie'yi'bei
曲家沟村,qu'jia'gou'cun
热电社区,re'dian'she'qu
三道井子村,san'dao'jing'zi'cun
三家村,san'jia'cun
三家村四队南变台,san'jia'cun'si'dui'nan'bian'tai
三家大水缸,san'jia'da'shui'gang
三家二队,san'jia'er'dui
三家三队西,san'jia'san'dui'xi
三家四队北,san'jia'si'dui'bei
三家四队南,san'jia'si'dui'nan
三家新房身地,san'jia'xin'fang'shen'di
三家一队,san'jia'yi'dui
三眼井村,san'yan'jing'cun
三中街办事处,san'zhong'jie'ban'shi'chu
三中街社区,san'zhong'jie'she'qu
胜天池社区,sheng'tian'chi'she'qu
十北大三家新房身地,shi'bei'da'san'jia'xin'fang'shen'di
十队南,shi'dui'nan
首地房地产,shou'di'fang'di'chan
双桥社区,shuang'qiao'she'qu
水土保持站,shui'tu'bao'chi'zhan
四中街社区,si'zhong'jie'she'qu
松树园社区,song'shu'yuan'she'qu
松州园社区,song'zhou'yuan'she'qu
天丰区,tian'feng'qu
铁北社区,tie'bei'she'qu
铁匠营社区,tie'jiang'ying'she'qu
铁路家属院,tie'lu'jia'shu'yuan
铁南办事处,tie'nan'ban'shi'chu
铁南薄板以南,tie'nan'bao'ban'yi'nan
铁南社区,tie'nan'she'qu
团结社区,tuan'jie'she'qu
万达广场,wan'da'guang'chang
万源德社区,wan'yuan'de'she'qu
文联路社区,wen'lian'lu'she'qu
文中八,wen'zhong'ba
文中别墅,wen'zhong'bie'shu
文中部队北营,wen'zhong'bu'dui'bei'ying
文中村,wen'zhong'cun
文中村二队,wen'zhong'cun'er'dui
文中村一队,wen'zhong'cun'yi'dui
文中黄土梁子,wen'zhong'huang'tu'liang'zi
文中九队,wen'zhong'jiu'dui
文中六,wen'zhong'liu
文中七队,wen'zhong'qi'dui
文中十,wen'zhong'shi
文中四,wen'zhong'si
文中五,wen'zhong'wu
文中西山弯,wen'zhong'xi'shan'wan
文中小区,wen'zhong'xiao'qu
文中镇,wen'zhong'zhen
文钟镇部分,wen'zhong'zhen'bu'fen
文钟镇部分赤潮高速大桥以南,wen'zhong'zhen'bu'fen'chi'chao'gao'su'da'qiao'yi'nan
文中镇电管站,wen'zhong'zhen'dian'guan'zhan
五中街社区,wu'zhong'jie'she'qu
西城办事处,xi'cheng'ban'shi'chu
西城菜市场,xi'cheng'cai'shi'chang
西城社区,xi'cheng'she'qu
西郊平双公路师专南口,xi'jiao'ping'shuang'gong'lu'shi'zhuan'nan'kou
西南地村,xi'nan'di'cun
西南地干白菜地,xi'nan'di'gan'bai'cai'di
西南地干白菜地二号地,xi'nan'di'gan'bai'cai'di'er'hao'di
西南地九队,xi'nan'di'jiu'dui
西南地九队南,xi'nan'di'jiu'dui'nan
西南地六七队,xi'nan'di'liu'qi'dui
西南地四十队,xi'nan'di'si'shi'dui
西南地五队,xi'nan'di'wu'dui
西水地村,xi'shui'di'cun
西水泉村,xi'shui'quan'cun
西屯办事处,xi'tun'ban'shi'chu
西屯社区,xi'tun'she'qu
西新街社区,xi'xin'jie'she'qu
小房村,xiao'fang'cun
新地村,xin'di'cun
新地二组,xin'di'er'zu
