阿比可糖,a'bi'ke'tang
吖啶橙,a'ding'cheng
吖啶黄吖啶黄素原顶体,a'ding'huang'a'ding'huang'su'yuan'ding'ti
吖啶类生物碱,a'ding'lei'sheng'wu'jian
吖啶燃料,a'ding'ran'liao
阿尔茨海默病,a'er'ci'hai'mo'bing
阿克拉霉素,a'ke'la'mei'su
阿洛糖异染色体,a'luo'tang'yi'ran'se'ti
阿霉素亚德里亚霉素,a'mei'su'ya'de'li'ya'mei'su
阿明露法,a'ming'lu'fa
啊糖腺苷,a'tang'xian'gan
氨苄,an'bian
氨苄青霉素抗性酰胺酶,an'bian'qing'mei'su'kang'xing'xian'an'mei
安瓿瓶阿霉素,an'bu'ping'a'mei'su
氨茴霉素,an'hui'mei'su
氨茴酸邻氨基,an'hui'suan'lin'an'ji
氨茴酰邻氨基,an'hui'xian'lin'an'ji
氨基保护剂,an'ji'bao'hu'ji
氨基苯甲酸,an'ji'ben'jia'suan
氨基氮氨酰基,an'ji'dan'an'xian'ji
氨基蝶呤,an'ji'die'ling
氨基胍,an'ji'gua
氨基嘌呤,an'ji'piao'ling
氨基青酶烷酸,an'ji'qing'mei'wan'suan
氨基酸,an'ji'suan
氨基酸臂,an'ji'suan'bi
氨基酸残基,an'ji'suan'can'ji
氨基酸残基接触面,an'ji'suan'can'ji'jie'chu'mian
氨基酸的活化酯,an'ji'suan'de'huo'hua'zhi
氨基酸偏爱性,an'ji'suan'pian'ai'xing
氨基酸使用,an'ji'suan'shi'yong
氨基酸使用频率,an'ji'suan'shi'yong'pin'lv
氨基酸转运,an'ji'suan'zhuan'yun
氨基酸转运蛋白,an'ji'suan'zhuan'yun'dan'bai
氨基糖苷类抗生素,an'ji'tang'gan'lei'kang'sheng'su
氨基糖苷磷酸转移酶,an'ji'tang'gan'lin'suan'zhuan'yi'mei
氨基头孢菌酸,an'ji'tou'bao'jun'suan
氨基乙酸铵,an'ji'yi'suan'an
氨基转移酶,an'ji'zhuan'yi'mei
氨甲蝶呤友菌素,an'jia'die'ling'you'jun'su
胺前体摄取,an'qian'ti'she'qu
安丝菌素,an'si'jun'su
氨肽酶,an'tai'mei
氨肽酶氨茶碱,an'tai'mei'an'cha'jian
安替比林,an'ti'bi'lin
氨烷基亚磷酰胺,an'wan'ji'ya'lin'xian'an
氨烷基吲哚,an'wan'ji'yin'duo
氨酰氨酰化,an'xian'an'xian'hua
氨酰基位,an'xian'ji'wei
氨酰磷脂酰甘油,an'xian'lin'zhi'xian'gan'you
氨酰酯酶,an'xian'zhi'mei
氨乙基,an'yi'ji
氨乙基硫醇巯基,an'yi'ji'liu'chun'qiu'ji
白水母素,bai'shui'mu'su
败育,bai'yu
败育卵,bai'yu'luan
胞饮作用,bao'yin'zuo'yong
苯胺蓝,ben'an'lan
苯甲醚,ben'jia'mi
苯甲酸,ben'jia'suan
苯甲酰,ben'jia'xian
变态反应,bian'tai'fan'ying
扁桃苷,bian'tao'gan
变形运动,bian'xing'yun'dong
变应性疾病,bian'ying'xing'ji'bing
标记物,biao'ji'wu
别构,bie'gou
别构部位,bie'gou'bu'wei
别构蛋白,bie'gou'dan'bai
别构活化,bie'gou'huo'hua
别构活化剂,bie'gou'huo'hua'ji
别构剂,bie'gou'ji
别构激活,bie'gou'ji'huo
别构激活剂,bie'gou'ji'huo'ji
别构酶,bie'gou'mei
