八一站,ba'yi'zhan
北国商城,bei'guo'shang'cheng
河北医大,he'bei'yi'da
和平医院,he'ping'yi'yuan
纪念碑,ji'nian'bei
建华百货大楼,jian'hua'bai'huo'da'lou
军医学院,jun'yi'xue'yuan
烈士陵园,lie'shi'ling'yuan
陆院东门,lu'yuan'dong'men
南三条,nan'san'tiao
平安中山路口,ping'an'zhong'shan'lu'kou
人民广场,ren'min'guang'chang
省博物馆,sheng'bo'wu'guan
省民航,sheng'min'hang
省中医院,sheng'zhong'yi'yuan
市报社先天下广场,shi'bao'she'xian'tian'xia'guang'chang
时光街北口,shi'guang'jie'bei'kou
谈固,tan'gu
维明中山路口,wei'ming'zhong'shan'lu'kou
西里,xi'li
西王,xi'wang
新百广场东习三内画博物馆,xin'bai'guang'chang'dong'xi'san'nei'hua'bo'wu'guan
新百广场西,xin'bai'guang'chang'xi
裕西公园,yu'xi'gong'yuan
