暗晡夜,an'bu'ye
岸多下数,an'duo'xia'shu
岸外兵尼激啊死哦,an'wai'bing'ni'ji'a'si'o
岸足相,an'zu'xiang
八月半,ba'yue'ban
搬运大楼,ban'yun'da'lou
笨箕鬼,ben'ji'gui
笨箕里,ben'ji'li
车大炮,che'da'pao
抽车尼,chou'che'ni
打把鬼,da'ba'gui
大坝里,da'ba'li
打斗四,da'dou'si
大炮古,da'pao'gu
打泼赖,da'po'lai
得人闹,de'ren'nao
得胜货,de'sheng'huo
东岳宫,dong'yue'gong
赌三公,du'san'gong
短命鬼,duan'ming'gui
屙痢肚,e'li'du
番薯头,fan'shu'tou
粪机鬼,fen'ji'gui
粪机里,fen'ji'li
风车风谷胖先行,feng'che'feng'gu'pang'xian'xing
峰山围,feng'shan'wei
福丰村,fu'feng'cun
搞笑矛,gao'xiao'mao
狗都外狂阿,gou'dou'wai'kuang'a
狗屎泼,gou'shi'po
孤寒鬼,gu'han'gui
官汕路,guan'shan'lu
鬼神鬼相,gui'shen'gui'xiang
锅铲里,guo'chan'li
锅摸绝代,guo'mo'jue'dai
合水,he'shui
洪溪桥,hong'xi'qiao
火板鬼,huo'ban'gui
脚板乱串,jiao'ban'luan'chuan
金百锤,jin'bai'chui
金脑盖,jin'nao'gai
控哥,kong'ge
狂鬼打功夫,kuang'gui'da'gong'fu
腊猪肉,la'zhu'rou
赖步鸡,lai'bu'ji
老妇人家,lao'fu'ren'jia
老领屎,lao'ling'shi
老牛哒嫩草,lao'niu'da'nen'cao
聊神嫁声,liao'shen'jia'sheng
盲得使,mang'dei'shi
矛岸控,mao'an'kong
矛岸太气脉,mao'an'tai'qi'mai
矛革煞,mao'ge'sha
矛人生,mao'ren'sheng
矛太过,mao'tai'guo
矛味道,mao'wei'dao
矛药医,mao'yao'yi
没大没小,mei'da'mei'xiao
明星公园,ming'xing'gong'yuan
明朝日,ming'zhao'ri
南坛路,nan'tan'lu
年三十布,nian'san'shi'bu
酿板里,niang'ban'li
酿豆腐,niang'dou'fu
酿革煞,niang'ge'sha
捏脚鬼,nie'jiao'gui
宁江路,ning'jiang'lu
宁江桥,ning'jiang'qiao
嫖货里,piao'huo'li
泼妇道,po'fu'dao
七佬,qi'lao
乔古,qiao'gu
乔麻,qiao'ma
人都外狂阿,ren'dou'wai'kuang'a
撒跳皮,sa'tiao'pi
傻傻耕耕,sha'sha'geng'geng
杀头鬼,sha'tou'gui
山猪矛尼岸猪,shan'zhu'mao'ni'an'zhu
蛇精解也精,she'jing'jie'ye'jing
神光山,shen'guang'shan
十分跳量,shi'fen'tiao'liang
十分移虚,shi'fen'yi'xu
食怪做袜也,shi'guai'zuo'wa'ye
食里饭盲,shi'li'fan'mang
食里住盲,shi'li'zhu'mang
是唔是爱惹人家叼骂,shi'wu'shi'ai're'ren'jia'diao'ma
睡目了,shui'mu'le
死控哥,si'kong'ge
四六货,si'liu'huo
死乔古,si'qiao'gu
死乔麻,si'qiao'ma
汤湖里,tang'hu'li
天上飞,tian'shang'fei
天早八盲,tian'zao'ba'mang
跳焊火,tiao'han'huo
跳量鬼,tiao'liang'gui
同阵无得,tong'zhen'wu'de
头几日,tou'ji'ri
团结路,tuan'jie'lu
文化鬼,wen'hua'gui
唔得闲,wu'de'xian
唔话尼滴,wu'hua'ni'di
唔讲兵尼滴,wu'jiang'bing'ni'di
唔妹岸足相,wu'mei'an'zu'xiang
唔係,wu'xi
唔知,wu'zhi
相百赛,xiang'bai'sai
新陂,xin'bei
兴佛路,xing'fo'lu
兴合路,xing'he'lu
兴宁,xing'ning
兴田路,xing'tian'lu
叶南,ye'nan
移移虚虚,yi'yi'xu'xu
造光鬼,zao'guang'gui
造过当,zao'guo'dang
贼古老,zei'gu'lao
招神头,zhao'shen'tou
猪仔里博家里搞省阿里,zhu'zai'li'bo'jia'li'gao'sheng'a'li
自家人,zi'jia'ren
